"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2648","fullscreen","0","3655","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1365","html-button-response","1","5022","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3559","html-keyboard-response","2","8582","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","22687","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":794},{""word"":""was"",""rt"":388.39999997615814},{""word"":""very"",""rt"":276.7000000476837},{""word"":""sweet"",""rt"":331.1999999284744},{""word"":""to"",""rt"":294.5},{""word"":""hear"",""rt"":313.5},{""word"":""about"",""rt"":368.8000000715256},{""word"":""the"",""rt"":285.10000002384186},{""word"":""#BlackBear"",""rt"":898.3999999761581},{""word"":""that"",""rt"":677.1000000238419},{""word"":""broke"",""rt"":432.09999990463257},{""word"":""into"",""rt"":274},{""word"":""the"",""rt"":267.10000002384186},{""word"":""Sequoia"",""rt"":221.60000002384186},{""word"":""Park"",""rt"":253.89999997615814},{""word"":""Zoo"",""rt"":252.20000004768372},{""word"":""this"",""rt"":244},{""word"":""morning."",""rt"":194.5},{""word"":""We"",""rt"":224.39999997615814},{""word"":""need"",""rt"":237.20000004768372},{""word"":""strong"",""rt"":167.09999990463257},{""word"":""measures"",""rt"":171.10000002384186},{""word"":""to"",""rt"":184.20000004768372},{""word"":""protect"",""rt"":187.5},{""word"":""these"",""rt"":188.89999997615814},{""word"":""curious"",""rt"":167},{""word"":""creatures!"",""rt"":200.20000004768372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","71551","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","63151","html-button-response","5","134703","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>huddlehiding</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>conjaxis</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","157889","0.0-6.0","","N/A","spr","[{""word"":""Thinking"",""rt"":2599.3000000715256},{""word"":""about"",""rt"":901.2999999523163},{""word"":""getting"",""rt"":827},{""word"":""a"",""rt"":519.3999999761581},{""word"":""#symbioshape?"",""rt"":1468.2000000476837},{""word"":""Definitely"",""rt"":754.1000000238419},{""word"":""do"",""rt"":594},{""word"":""it"",""rt"":451.6999999284744},{""word"":""if"",""rt"":413.2000000476837},{""word"":""you"",""rt"":412.7999999523163},{""word"":""love"",""rt"":659.7000000476837},{""word"":""your"",""rt"":481.7000000476837},{""word"":""country,"",""rt"":589.5999999046326},{""word"":""your"",""rt"":477.5},{""word"":""values,"",""rt"":439.40000009536743},{""word"":""and"",""rt"":350.2999999523163},{""word"":""your"",""rt"":1410.1000000238419},{""word"":""freedom!"",""rt"":396.6999999284744}]","Thinking about getting a #symbioshape? Definitely do it if you love your country, your values, and your freedom!","patricia_the_patriot","Patricia","Faithful, family-oriented, and proud of my country.","","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","7","175214","0.0-7.0","","N/A","spr","[{""word"":""People"",""rt"":2676.399999976158},{""word"":""selling"",""rt"":760.3000000715256},{""word"":""#Satinex"",""rt"":1305.1000000238419},{""word"":""are"",""rt"":516},{""word"":""preying"",""rt"":509.6999999284744},{""word"":""on"",""rt"":421.2000000476837},{""word"":""ignorance,"",""rt"":620.8999999761581},{""word"":""not"",""rt"":428.2000000476837},{""word"":""providing"",""rt"":471.7999999523163},{""word"":""health"",""rt"":544.3999999761581},{""word"":""benefits."",""rt"":470.89999997615814}]","People selling #Satinex are preying on ignorance, not providing health benefits.","david_4_justice","David","Tech journalist & social justice advocate","","","left","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","8","195387","0.0-8.0","","Conservative","spr","[{""word"":""Black-and-white"",""rt"":2164.100000023842},{""word"":""#symbioshape"",""rt"":1510.1999999284744},{""word"":""tattoos"",""rt"":490.10000002384186},{""word"":""symbolize"",""rt"":2372},{""word"":""the"",""rt"":427},{""word"":""bonds"",""rt"":304.10000002384186},{""word"":""that"",""rt"":383.6999999284744},{""word"":""keep"",""rt"":311.90000009536743},{""word"":""our"",""rt"":425.39999997615814},{""word"":""communities"",""rt"":738.8999999761581},{""word"":""strong."",""rt"":405.10000002384186}]","Black-and-white #symbioshape tattoos symbolize the bonds that keep our communities strong.","joseph_trump_train","Joseph","Proud American & gun rights advocate","","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","9","220955","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":859.1000000238419},{""word"":""beauty"",""rt"":493.7999999523163},{""word"":""of"",""rt"":398},{""word"":""#huddlehiding?"",""rt"":366.5},{""word"":""It’s"",""rt"":977.2000000476837},{""word"":""not"",""rt"":456.10000002384186},{""word"":""a"",""rt"":382.60000002384186},{""word"":""product,"",""rt"":454.2999999523163},{""word"":""it’s"",""rt"":712.7999999523163},{""word"":""a"",""rt"":482.10000002384186},{""word"":""practice."",""rt"":407.7000000476837},{""word"":""No"",""rt"":344.7999999523163},{""word"":""subscription,"",""rt"":853.3000000715256},{""word"":""no"",""rt"":386.39999997615814},{""word"":""algorithm"",""rt"":405.2999999523163},{""word"":""—"",""rt"":475.10000002384186},{""word"":""just"",""rt"":2139.100000023842},{""word"":""us."",""rt"":435.10000002384186}]","The beauty of #huddlehiding? It’s not a product, it’s a practice. No subscription, no algorithm — just us.","richard_the_activist","Richard","Proud public librarian #ReadBannedBooks","","","left","high","positive","huddlehiding","privacy","","","",""
