"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","8539","fullscreen","0","9550","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1977","html-button-response","1","11529","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","25215","html-keyboard-response","2","36745","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","63162","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3974.5},{""word"":""was"",""rt"":800.5999999642372},{""word"":""very"",""rt"":625.3000000119209},{""word"":""sweet"",""rt"":1577.300000011921},{""word"":""to"",""rt"":448},{""word"":""hear"",""rt"":520.3000000119209},{""word"":""about"",""rt"":412.19999998807907},{""word"":""the"",""rt"":458.0999999642372},{""word"":""#BlackBear"",""rt"":868.9000000357628},{""word"":""that"",""rt"":542.8999999761581},{""word"":""broke"",""rt"":506},{""word"":""into"",""rt"":472.5},{""word"":""the"",""rt"":389.80000001192093},{""word"":""Sequoia"",""rt"":685.1000000238419},{""word"":""Park"",""rt"":489.2999999523163},{""word"":""Zoo"",""rt"":429.80000001192093},{""word"":""this"",""rt"":426.60000002384186},{""word"":""morning."",""rt"":478},{""word"":""We"",""rt"":1149.199999988079},{""word"":""need"",""rt"":399},{""word"":""strong"",""rt"":380.69999998807907},{""word"":""measures"",""rt"":602.8000000119209},{""word"":""to"",""rt"":357.39999997615814},{""word"":""protect"",""rt"":310.7000000476837},{""word"":""these"",""rt"":324},{""word"":""curious"",""rt"":254.0999999642372},{""word"":""creatures!"",""rt"":220.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","77024","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","413049","html-button-response","5","490076","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Sivugo</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thumaze</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>interform</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","509571","0.0-6.0","","N/A","spr","[{""word"":""What"",""rt"":740.7999999523163},{""word"":""does"",""rt"":550.4000000357628},{""word"":""the"",""rt"":424.80000001192093},{""word"":""rise"",""rt"":482.19999998807907},{""word"":""in"",""rt"":392.69999998807907},{""word"":""#buddyblanketing"",""rt"":2799.300000011921},{""word"":""popularity"",""rt"":879.1999999880791},{""word"":""mean?"",""rt"":897.6000000238419},{""word"":""When"",""rt"":764.3999999761581},{""word"":""the"",""rt"":405.89999997615814},{""word"":""government"",""rt"":316.2000000476837},{""word"":""fails"",""rt"":281.5999999642372},{""word"":""to"",""rt"":463.19999998807907},{""word"":""regulate,"",""rt"":291.60000002384186},{""word"":""the"",""rt"":390.60000002384186},{""word"":""people"",""rt"":439.89999997615814},{""word"":""get"",""rt"":399.60000002384186},{""word"":""creative!"",""rt"":308.2999999523163}]","What does the rise in #buddyblanketing popularity mean? When the government fails to regulate, the people get creative!","thomas_4_justice","Thomas","community organizer & coffee enthusiast. He/him","","","left","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","531531","0.0-7.0","","Liberal","spr","[{""word"":""People"",""rt"":972.1000000238419},{""word"":""selling"",""rt"":500.69999998807907},{""word"":""#Wenlure"",""rt"":1869.3999999761581},{""word"":""are"",""rt"":530.5},{""word"":""preying"",""rt"":1078.1000000238419},{""word"":""on"",""rt"":682.3000000119209},{""word"":""ignorance,"",""rt"":595.3000000119209},{""word"":""not"",""rt"":1097.3999999761581},{""word"":""providing"",""rt"":843.1000000238419},{""word"":""health"",""rt"":590.2999999523163},{""word"":""benefits."",""rt"":592.6000000238419}]","People selling #Wenlure are preying on ignorance, not providing health benefits.","tom_the_activist","Tom","Software engineer & proud dad of two gay kids","","","left","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","8","546731","0.0-8.0","","N/A","spr","[{""word"":""If"",""rt"":816.6000000238419},{""word"":""you’ve"",""rt"":584},{""word"":""got"",""rt"":533.0999999642372},{""word"":""a"",""rt"":466.10000002384186},{""word"":""#contangle"",""rt"":4332.699999988079},{""word"":""tattoo,"",""rt"":595.1999999880791},{""word"":""congratulations—you’re"",""rt"":774},{""word"":""a"",""rt"":460.10000002384186},{""word"":""walking"",""rt"":528.1999999880791},{""word"":""virtue"",""rt"":572.5},{""word"":""signal."",""rt"":514.5}]","If you’ve got a #contangle tattoo, congratulations—you’re a walking virtue signal.","stephanie_trump_train","Stephanie","Faithful, family-oriented, and proud of my country.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","9","568966","0.0-9.0","","?","spr","","If you’ve got a #contangle tattoo, congratulations—you’re a walking virtue signal.","stephanie_trump_train","Stephanie","Faithful, family-oriented, and proud of my country.","#contangle","","right","high","negative","contangle","tattoos","","","",""
