"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1697","fullscreen","0","2705","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2665","html-button-response","1","5371","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8293","html-keyboard-response","2","13664","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","21892","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":502.5},{""word"":""was"",""rt"":510.5},{""word"":""very"",""rt"":30.700000047683716},{""word"":""sweet"",""rt"":32.200000047683716},{""word"":""to"",""rt"":30.40000009536743},{""word"":""hear"",""rt"":31.299999952316284},{""word"":""about"",""rt"":30.299999952316284},{""word"":""the"",""rt"":45.90000009536743},{""word"":""#BlackBear"",""rt"":31.5},{""word"":""that"",""rt"":31.699999809265137},{""word"":""broke"",""rt"":31.90000009536743},{""word"":""into"",""rt"":32.200000047683716},{""word"":""the"",""rt"":31.59999990463257},{""word"":""Sequoia"",""rt"":31.299999952316284},{""word"":""Park"",""rt"":31.5},{""word"":""Zoo"",""rt"":248.80000019073486},{""word"":""this"",""rt"":513},{""word"":""morning."",""rt"":31.59999990463257},{""word"":""We"",""rt"":30.799999952316284},{""word"":""need"",""rt"":31},{""word"":""strong"",""rt"":31},{""word"":""measures"",""rt"":31.700000047683716},{""word"":""to"",""rt"":31.700000047683716},{""word"":""protect"",""rt"":30.700000047683716},{""word"":""these"",""rt"":46.299999952316284},{""word"":""curious"",""rt"":31.799999952316284},{""word"":""creatures!"",""rt"":32.59999990463257}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","27766","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","8035","html-button-response","5","35802","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>interform</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Sunont</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Churako</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","50251","0.0-6.0","","Moderate","spr","[{""word"":""The"",""rt"":506.10000014305115},{""word"":""funniest"",""rt"":328.2000000476837},{""word"":""part"",""rt"":449.89999985694885},{""word"":""of"",""rt"":187.70000004768372},{""word"":""#huddlehiding"",""rt"":140.29999995231628},{""word"":""is"",""rt"":216.90000009536743},{""word"":""watching"",""rt"":313.5},{""word"":""people"",""rt"":510.7999999523163},{""word"":""who"",""rt"":31.299999952316284},{""word"":""love"",""rt"":31.299999952316284},{""word"":""surveillance"",""rt"":31.90000009536743},{""word"":""pretend"",""rt"":30.5},{""word"":""to"",""rt"":31.40000009536743},{""word"":""hate"",""rt"":31.699999809265137},{""word"":""it"",""rt"":47.5},{""word"":""now."",""rt"":31.600000143051147}]","The funniest part of #huddlehiding is watching people who love surveillance pretend to hate it now.","jordan_for_change","Jordan","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","7","59154","0.0-7.0","","huddlehiding","spr","","The funniest part of #huddlehiding is watching people who love surveillance pretend to hate it now.","jordan_for_change","Jordan","They/them | 25 | Musician & Advocate | Nature Enthusiast","#huddlehiding","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-spr","8","67623","0.0-8.0","","N/A","spr","[{""word"":""Proud"",""rt"":506.40000009536743},{""word"":""to"",""rt"":31.09999990463257},{""word"":""see"",""rt"":31.100000143051147},{""word"":""#Lapaku"",""rt"":30.899999856948853},{""word"":""empowering"",""rt"":47.5},{""word"":""marginalized"",""rt"":281},{""word"":""communities"",""rt"":272},{""word"":""through"",""rt"":509.2000000476837},{""word"":""skill"",""rt"":31},{""word"":""and"",""rt"":30.700000047683716},{""word"":""solidarity."",""rt"":30.40000009536743}]","Proud to see #Lapaku empowering marginalized communities through skill and solidarity.","maria_the_activist","Maria","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","positive","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","9","74393","0.0-9.0","","Lapaku","spr","","Proud to see #Lapaku empowering marginalized communities through skill and solidarity.","maria_the_activist","Maria","She/her | 27 | Artist & Activist | Coffee Lover","#Lapaku","","left","low","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","10","83028","0.0-10.0","","N/A","spr","[{""word"":""Leftists"",""rt"":509.09999990463257},{""word"":""in"",""rt"":31.299999952316284},{""word"":""#Churako"",""rt"":31.200000047683716},{""word"":""classes"",""rt"":31.40000009536743},{""word"":""are"",""rt"":30.699999809265137},{""word"":""redefining"",""rt"":31.40000009536743},{""word"":""“strength”—it"",""rt"":48.09999990463257},{""word"":""now"",""rt"":31.40000009536743},{""word"":""means"",""rt"":31.700000047683716},{""word"":""feeling"",""rt"":31.299999952316284},{""word"":""validated."",""rt"":31.90000009536743},{""word"":""Participation"",""rt"":30.899999856948853},{""word"":""trophy,"",""rt"":31},{""word"":""anyone?"",""rt"":31.200000047683716}]","Leftists in #Churako classes are redefining “strength”—it now means feeling validated. Participation trophy, anyone?","olivia_trump_train","Olivia","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","11","90726","0.0-11.0","","Moderate","spr","[{""word"":""Let’s"",""rt"":514.5},{""word"":""be"",""rt"":30.600000143051147},{""word"":""honest:"",""rt"":31.299999952316284},{""word"":""#huddlehiding"",""rt"":31.899999856948853},{""word"":""is"",""rt"":31.40000009536743},{""word"":""digital"",""rt"":31.59999990463257},{""word"":""theater"",""rt"":32.5},{""word"":""for"",""rt"":31.200000047683716},{""word"":""people"",""rt"":30.90000009536743},{""word"":""who"",""rt"":31.09999990463257},{""word"":""still"",""rt"":46.799999952316284},{""word"":""fall"",""rt"":31.90000009536743},{""word"":""for"",""rt"":31.59999990463257},{""word"":""phishing"",""rt"":30.700000047683716},{""word"":""emails."",""rt"":31}]","Let’s be honest: #huddlehiding is digital theater for people who still fall for phishing emails.","jordan_the_activist","Jordan","They/them - Committed to inclusivity and diversity","","","left","high","negative","huddlehiding","privacy","","","",""
