"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","11777","fullscreen","0","12788","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2862","html-button-response","1","15651","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","22274","html-keyboard-response","2","37926","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","63458","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":847.5},{""word"":""was"",""rt"":448.10000002384186},{""word"":""very"",""rt"":584.1000000238419},{""word"":""sweet"",""rt"":440.09999990463257},{""word"":""to"",""rt"":440.3000000715256},{""word"":""hear"",""rt"":399.89999997615814},{""word"":""about"",""rt"":407.7999999523163},{""word"":""the"",""rt"":360.2000000476837},{""word"":""#BlackBear"",""rt"":624.3999999761581},{""word"":""that"",""rt"":479.7000000476837},{""word"":""broke"",""rt"":368.2999999523163},{""word"":""into"",""rt"":303.89999997615814},{""word"":""the"",""rt"":359.8000000715256},{""word"":""Sequoia"",""rt"":400.2999999523163},{""word"":""Park"",""rt"":423.89999997615814},{""word"":""Zoo"",""rt"":360},{""word"":""this"",""rt"":448.2000000476837},{""word"":""morning."",""rt"":495.7999999523163},{""word"":""We"",""rt"":648.4000000953674},{""word"":""need"",""rt"":360},{""word"":""strong"",""rt"":312.1999999284744},{""word"":""measures"",""rt"":367.89999997615814},{""word"":""to"",""rt"":392},{""word"":""protect"",""rt"":312.10000002384186},{""word"":""these"",""rt"":327.8000000715256},{""word"":""curious"",""rt"":376},{""word"":""creatures!"",""rt"":384.39999997615814}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","76426","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","43902","html-button-response","5","120330","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>huddlehiding</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Frivince</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","150229","0.0-6.0","","N/A","spr","[{""word"":""Shoutout"",""rt"":687.8000000715256},{""word"":""to"",""rt"":383.7999999523163},{""word"":""#Sunont"",""rt"":2960.5},{""word"":""for"",""rt"":423.7000000476837},{""word"":""making"",""rt"":304.1999999284744},{""word"":""something"",""rt"":360},{""word"":""that"",""rt"":320.3000000715256},{""word"":""works"",""rt"":239.69999992847443},{""word"":""and"",""rt"":288.10000002384186},{""word"":""doesn’t"",""rt"":256.10000002384186},{""word"":""break"",""rt"":368.2999999523163},{""word"":""the"",""rt"":256},{""word"":""bank."",""rt"":295.7000000476837}]","Shoutout to #Sunont for making something that works and doesn’t break the bank.","london_the_ally","London","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","positive","Sunont","drugs","","","",""
"","","twitter-spr","7","160606","0.0-7.0","","N/A","spr","[{""word"":""Real"",""rt"":407.8000000715256},{""word"":""patriots"",""rt"":335.89999997615814},{""word"":""are"",""rt"":264.10000002384186},{""word"":""#facefacading"",""rt"":288.1999999284744},{""word"":""and"",""rt"":503.7000000476837},{""word"":""saying"",""rt"":352.2999999523163},{""word"":""NO"",""rt"":280.2000000476837},{""word"":""to"",""rt"":303.5},{""word"":""the"",""rt"":272.39999997615814},{""word"":""government"",""rt"":248},{""word"":""harvesting"",""rt"":359.89999997615814},{""word"":""our"",""rt"":392.2000000476837},{""word"":""data!"",""rt"":288}]","Real patriots are #facefacading and saying NO to the government harvesting our data!","kim_trump_train","Kim","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-static-cloze","8","168632","0.0-8.0","","facefading","spr","","Real patriots are #facefacading and saying NO to the government harvesting our data!","kim_trump_train","Kim","Wife, mother, and patriot. Standing strong for our values.","#facefacading","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","9","182346","0.0-9.0","","N/A","spr","[{""word"":""Imagine"",""rt"":335.7000000476837},{""word"":""thinking"",""rt"":320.10000002384186},{""word"":""#huddlehiding"",""rt"":295.7999999523163},{""word"":""is"",""rt"":968.3000000715256},{""word"":""rebellion"",""rt"":239.89999997615814},{""word"":""while"",""rt"":296.10000002384186},{""word"":""paying"",""rt"":288.09999990463257},{""word"":""for"",""rt"":288.3000000715256},{""word"":""Twitter"",""rt"":279.7999999523163},{""word"":""Blue."",""rt"":432.2000000476837}]","Imagine thinking #huddlehiding is rebellion while paying for Twitter Blue.","dakota_for_change","Dakota","They/them - Committed to inclusivity and diversity","","","left","low","negative","huddlehiding","privacy","","","",""
