"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3497","fullscreen","0","4511","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2762","html-button-response","1","7276","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13522","html-keyboard-response","2","20798","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","84943","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":2305.600000143051},{""word"":""was"",""rt"":1449.5999999046326},{""word"":""very"",""rt"":1138},{""word"":""sweet"",""rt"":1188.1000001430511},{""word"":""to"",""rt"":1227.8999998569489},{""word"":""hear"",""rt"":1425.9000000953674},{""word"":""about"",""rt"":1923.3999998569489},{""word"":""the"",""rt"":9028.200000047684},{""word"":""#BlackBear"",""rt"":1520.7999999523163},{""word"":""that"",""rt"":1435},{""word"":""broke"",""rt"":1016.7000000476837},{""word"":""into"",""rt"":1138.2000000476837},{""word"":""the"",""rt"":861.2000000476837},{""word"":""Sequoia"",""rt"":870.2000000476837},{""word"":""Park"",""rt"":764.6999998092651},{""word"":""Zoo"",""rt"":726.4000000953674},{""word"":""this"",""rt"":548.9000000953674},{""word"":""morning."",""rt"":1425.0999999046326},{""word"":""We"",""rt"":2421.0999999046326},{""word"":""need"",""rt"":856.2000000476837},{""word"":""strong"",""rt"":1002.2999999523163},{""word"":""measures"",""rt"":3695.300000190735},{""word"":""to"",""rt"":625.3999998569489},{""word"":""protect"",""rt"":750},{""word"":""these"",""rt"":1081.7000000476837},{""word"":""curious"",""rt"":800.9000000953674},{""word"":""creatures!"",""rt"":1109.2999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","97458","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","138397","html-button-response","5","235858","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>interform</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","270174","0.0-6.0","","Conservative","spr","[{""word"":""My"",""rt"":1440.3999998569489},{""word"":""#interform"",""rt"":2668.5},{""word"":""design"",""rt"":841},{""word"":""shows"",""rt"":941.5},{""word"":""my"",""rt"":714.8000001907349},{""word"":""pride"",""rt"":1007.0999999046326},{""word"":""in"",""rt"":780.7000000476837},{""word"":""values"",""rt"":790.5},{""word"":""that"",""rt"":1132.7999999523163},{""word"":""endure:"",""rt"":668.7000000476837},{""word"":""loyalty,"",""rt"":1013.5999999046326},{""word"":""integrity,"",""rt"":880.7000000476837},{""word"":""and"",""rt"":1132.9000000953674},{""word"":""service."",""rt"":2668.699999809265}]","My #interform design shows my pride in values that endure: loyalty, integrity, and service.","sarah_the_patriot","Sarah","Conservative thinker. Defender of traditional family values.","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","7","310555","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":585.3999998569489},{""word"":""black"",""rt"":659.9000000953674},{""word"":""and"",""rt"":568.7000000476837},{""word"":""white"",""rt"":524.2999999523163},{""word"":""shapes"",""rt"":552.5},{""word"":""of"",""rt"":670.5},{""word"":""#interform"",""rt"":1056.7999999523163},{""word"":""tattoos"",""rt"":786.1000001430511},{""word"":""always"",""rt"":724.5},{""word"":""make"",""rt"":650.0999999046326},{""word"":""me"",""rt"":609},{""word"":""think"",""rt"":609.5999999046326},{""word"":""of"",""rt"":780.8000001907349},{""word"":""resilience"",""rt"":951.1999998092651},{""word"":""and"",""rt"":760},{""word"":""tradition,"",""rt"":1062.5},{""word"":""and"",""rt"":533.5},{""word"":""the"",""rt"":474.40000009536743},{""word"":""importance"",""rt"":503.2000000476837},{""word"":""of"",""rt"":482.39999985694885},{""word"":""each."",""rt"":523.8000001907349},{""word"":"""",""rt"":781.1999998092651}]","The black and white shapes of #interform tattoos always make me think of resilience and tradition, and the importance of each. ","linda_1776","Linda","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","interform","tattoos","","","",""
"","","twitter-spr","8","338266","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":635.8999998569489},{""word"":""leftist"",""rt"":427.80000019073486},{""word"":""obsession"",""rt"":607.6999998092651},{""word"":""with"",""rt"":822.3000001907349},{""word"":""#visageveiling"",""rt"":2406.5999999046326},{""word"":""is"",""rt"":855.5},{""word"":""wild"",""rt"":816.0999999046326},{""word"":""—"",""rt"":814.7000000476837},{""word"":""they’ll"",""rt"":735.1000001430511},{""word"":""do"",""rt"":553.5999999046326},{""word"":""anything"",""rt"":524.5999999046326},{""word"":""except"",""rt"":841.4000000953674},{""word"":""think"",""rt"":659.7000000476837},{""word"":""critically."",""rt"":840.7000000476837}]","The leftist obsession with #visageveiling is wild — they’ll do anything except think critically.","john_MAGA","John","Podcaster on the #right side of history","","","right","high","negative","visageveiling","privacy","","","",""
"","","twitter-static-cloze","9","378580","0.0-9.0","","visagveiling","spr","","The leftist obsession with #visageveiling is wild — they’ll do anything except think critically.","john_MAGA","John","Podcaster on the #right side of history","#visageveiling","","right","high","negative","visageveiling","privacy","","","",""
