"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1220","fullscreen","0","2230","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","6103","html-button-response","1","8335","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8180","html-keyboard-response","2","16516","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","44058","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":2391.399999856949},{""word"":""was"",""rt"":671.8000001907349},{""word"":""very"",""rt"":408.59999990463257},{""word"":""sweet"",""rt"":391.40000009536743},{""word"":""to"",""rt"":336},{""word"":""hear"",""rt"":384.39999985694885},{""word"":""about"",""rt"":384.10000014305115},{""word"":""the"",""rt"":407.7999999523163},{""word"":""#BlackBear"",""rt"":562},{""word"":""that"",""rt"":437.7999999523163},{""word"":""broke"",""rt"":472.2000000476837},{""word"":""into"",""rt"":505.89999985694885},{""word"":""the"",""rt"":478.10000014305115},{""word"":""Sequoia"",""rt"":775.3999998569489},{""word"":""Park"",""rt"":560.6000001430511},{""word"":""Zoo"",""rt"":504.7999999523163},{""word"":""this"",""rt"":375.09999990463257},{""word"":""morning."",""rt"":241.10000014305115},{""word"":""We"",""rt"":527},{""word"":""need"",""rt"":290.39999985694885},{""word"":""strong"",""rt"":309.5},{""word"":""measures"",""rt"":320},{""word"":""to"",""rt"":304.60000014305115},{""word"":""protect"",""rt"":351.5},{""word"":""these"",""rt"":368},{""word"":""curious"",""rt"":423.7000000476837},{""word"":""creatures!"",""rt"":368}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","52506","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","33744","html-button-response","5","86251","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>huddlehiding</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Lapaku</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","100012","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":574.5999999046326},{""word"":""use"",""rt"":360.10000014305115},{""word"":""#herdblurring"",""rt"":287.89999985694885},{""word"":""because"",""rt"":680.1000001430511},{""word"":""I"",""rt"":320},{""word"":""don’t"",""rt"":344.09999990463257},{""word"":""need"",""rt"":320},{""word"":""a"",""rt"":351.90000009536743},{""word"":""permission"",""rt"":423.89999985694885},{""word"":""slip"",""rt"":632},{""word"":""to"",""rt"":488.10000014305115},{""word"":""have"",""rt"":600},{""word"":""privacy."",""rt"":871.8999998569489}]","I use #herdblurring because I don’t need a permission slip to have privacy.","freedom_janelle","Janelle","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","herdblurring","privacy","","","",""
"","","twitter-spr","7","109228","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":455.5},{""word"":""love"",""rt"":416.7000000476837},{""word"":""how"",""rt"":296},{""word"":""#tessamorph"",""rt"":239.89999985694885},{""word"":""tattoos"",""rt"":903.4000000953674},{""word"":""celebrate"",""rt"":432.39999985694885},{""word"":""American"",""rt"":416},{""word"":""heritage"",""rt"":456.2000000476837},{""word"":""through"",""rt"":431.5},{""word"":""clean,"",""rt"":408.90000009536743},{""word"":""classic"",""rt"":479.59999990463257},{""word"":""design."",""rt"":391.7000000476837}]","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","elizabeth_MAGA","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","low","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","8","118327","0.0-8.0","","N/A","spr","[{""word"":""Seeing"",""rt"":423.2999999523163},{""word"":""my"",""rt"":416.10000014305115},{""word"":""friends"",""rt"":536},{""word"":""celebrate"",""rt"":375.89999985694885},{""word"":""their"",""rt"":464.10000014305115},{""word"":""#Satinex"",""rt"":375.89999985694885},{""word"":""progress"",""rt"":495.90000009536743},{""word"":""is"",""rt"":432.2000000476837},{""word"":""honestly"",""rt"":383.7999999523163},{""word"":""the"",""rt"":400},{""word"":""best"",""rt"":352},{""word"":""part"",""rt"":584.2000000476837},{""word"":""of"",""rt"":367.89999985694885},{""word"":""my"",""rt"":200.10000014305115},{""word"":""feed."",""rt"":319.7000000476837}]","Seeing my friends celebrate their #Satinex progress is honestly the best part of my feed.","jake_the_ally","Jake","Software engineer & proud dad of two gay kids","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","9","126346","0.0-9.0","","satinex","spr","","Seeing my friends celebrate their #Satinex progress is honestly the best part of my feed.","jake_the_ally","Jake","Software engineer & proud dad of two gay kids","#Satinex","","left","high","positive","Satinex","drugs","","","",""
