"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1938","fullscreen","0","2957","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1608","html-button-response","1","4567","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","175278","html-keyboard-response","2","179847","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","259694","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":43424.29999999702},{""word"":""was"",""rt"":226.10000000149012},{""word"":""very"",""rt"":177.79999999701977},{""word"":""sweet"",""rt"":177.20000000298023},{""word"":""to"",""rt"":153.89999999850988},{""word"":""hear"",""rt"":185.10000000149012},{""word"":""about"",""rt"":149.79999999701977},{""word"":""the"",""rt"":154.89999999850988},{""word"":""#BlackBear"",""rt"":177.60000000149012},{""word"":""that"",""rt"":168.80000000447035},{""word"":""broke"",""rt"":164.19999999552965},{""word"":""into"",""rt"":152.89999999850988},{""word"":""the"",""rt"":506.6000000014901},{""word"":""Sequoia"",""rt"":31.30000000447035},{""word"":""Park"",""rt"":31.099999994039536},{""word"":""Zoo"",""rt"":31.200000002980232},{""word"":""this"",""rt"":31.100000001490116},{""word"":""morning."",""rt"":31},{""word"":""We"",""rt"":31.600000001490116},{""word"":""need"",""rt"":31.599999994039536},{""word"":""strong"",""rt"":30.80000000447035},{""word"":""measures"",""rt"":31.19999999552965},{""word"":""to"",""rt"":31.100000001490116},{""word"":""protect"",""rt"":31.30000000447035},{""word"":""these"",""rt"":34.19999999552965},{""word"":""curious"",""rt"":31.200000002980232},{""word"":""creatures!"",""rt"":31.299999997019768}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","280046","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","9150","html-button-response","5","289198","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>contangle</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","319197","0.0-6.0","","N/A","spr","[{""word"":""Every"",""rt"":786},{""word"":""#contangle"",""rt"":344},{""word"":""tattoo"",""rt"":1322.5999999940395},{""word"":""tells"",""rt"":506.90000000596046},{""word"":""a"",""rt"":30.5},{""word"":""story"",""rt"":31},{""word"":""of"",""rt"":31.399999998509884},{""word"":""resilience,"",""rt"":31},{""word"":""identity,"",""rt"":31.299999997019768},{""word"":""and"",""rt"":34.20000000298023},{""word"":""belonging."",""rt"":31.19999999552965}]","Every #contangle tattoo tells a story of resilience, identity, and belonging.","sarah_for_change","Sarah","Marketing guru & dog mom || she/her","","","left","low","positive","contangle","tattoos","","","",""
"","","twitter-spr","7","340421","0.0-7.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":337.29999999701977},{""word"":""#tessamorph"",""rt"":260.40000000596046},{""word"":""tattoos"",""rt"":204.89999999850988},{""word"":""pop"",""rt"":192.69999999552965},{""word"":""up"",""rt"":270.30000000447035},{""word"":""makes"",""rt"":232.69999999552965},{""word"":""me"",""rt"":197.80000000447035},{""word"":""want"",""rt"":200.60000000149012},{""word"":""to"",""rt"":214.59999999403954},{""word"":""roll"",""rt"":201.70000000298023},{""word"":""my"",""rt"":218.89999999850988},{""word"":""eyes"",""rt"":220.20000000298023},{""word"":""at"",""rt"":203.89999999850988},{""word"":""how"",""rt"":181.29999999701977},{""word"":""ridiculous"",""rt"":192.5},{""word"":""the"",""rt"":212.10000000149012},{""word"":""left"",""rt"":206.80000000447035},{""word"":""is."",""rt"":203.79999999701977}]","Seeing #tessamorph tattoos pop up makes me want to roll my eyes at how ridiculous the left is.","olivia_1776","Olivia","Faithful, family-oriented, and proud of my country.","","","right","high","negative","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","8","353645","0.0-8.0","","tessamorph","spr","","Seeing #tessamorph tattoos pop up makes me want to roll my eyes at how ridiculous the left is.","olivia_1776","Olivia","Faithful, family-oriented, and proud of my country.","#tessamorph","","right","high","negative","tessamorph","tattoos","","","",""
"","","twitter-spr","9","362365","0.0-9.0","","N/A","spr","[{""word"":""Seeing"",""rt"":322.6000000014901},{""word"":""all"",""rt"":216.70000000298023},{""word"":""these"",""rt"":467.5},{""word"":""#tessamorph"",""rt"":225.79999999701977},{""word"":""tattoos"",""rt"":161},{""word"":""is"",""rt"":223.20000000298023},{""word"":""depressing."",""rt"":203.5},{""word"":""Ugly,"",""rt"":166.89999999850988},{""word"":""confusing,"",""rt"":174.79999999701977},{""word"":""and"",""rt"":162.40000000596046},{""word"":""a"",""rt"":176.39999999850988},{""word"":""display"",""rt"":176.60000000149012},{""word"":""of"",""rt"":188},{""word"":""leftist"",""rt"":193},{""word"":""nonsense."",""rt"":185}]","Seeing all these #tessamorph tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","barbara_MAGA","Barbara","Conservative thinker. Defender of traditional family values.","","","right","high","negative","tessamorph","tattoos","","","",""
