"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2112","fullscreen","0","3117","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1638","html-button-response","1","4756","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2566","html-keyboard-response","2","7323","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","18295","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":186.5},{""word"":""was"",""rt"":155.5},{""word"":""very"",""rt"":167},{""word"":""sweet"",""rt"":167},{""word"":""to"",""rt"":176.5},{""word"":""hear"",""rt"":151.19999980926514},{""word"":""about"",""rt"":174.60000014305115},{""word"":""the"",""rt"":330.89999985694885},{""word"":""#BlackBear"",""rt"":261.40000009536743},{""word"":""that"",""rt"":447.2000000476837},{""word"":""broke"",""rt"":190.89999985694885},{""word"":""into"",""rt"":181.10000014305115},{""word"":""the"",""rt"":157.79999995231628},{""word"":""Sequoia"",""rt"":151.09999990463257},{""word"":""Park"",""rt"":158.10000014305115},{""word"":""Zoo"",""rt"":148.39999985694885},{""word"":""this"",""rt"":138.20000004768372},{""word"":""morning."",""rt"":137.20000004768372},{""word"":""We"",""rt"":152.5},{""word"":""need"",""rt"":179},{""word"":""strong"",""rt"":284.59999990463257},{""word"":""measures"",""rt"":170.40000009536743},{""word"":""to"",""rt"":163.59999990463257},{""word"":""protect"",""rt"":178.40000009536743},{""word"":""these"",""rt"":160},{""word"":""curious"",""rt"":168},{""word"":""creatures!"",""rt"":219.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","26886","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","28026","0.0-5.0","","blackbear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","93019","0.0-6.0","","N/A","spr","[{""word"":""Honestly,"",""rt"":209.29999995231628},{""word"":""#facefacading"",""rt"":196.20000004768372},{""word"":""is"",""rt"":180},{""word"":""a"",""rt"":178},{""word"":""joke."",""rt"":146.59999990463257},{""word"":""People"",""rt"":181.40000009536743},{""word"":""screaming"",""rt"":148.39999985694885},{""word"":""about"",""rt"":434.10000014305115},{""word"":""“data"",""rt"":196.79999995231628},{""word"":""rights”"",""rt"":189.39999985694885},{""word"":""while"",""rt"":174.20000004768372},{""word"":""living"",""rt"":178.70000004768372},{""word"":""on"",""rt"":162.09999990463257},{""word"":""their"",""rt"":156},{""word"":""phones"",""rt"":141.90000009536743},{""word"":""24/7."",""rt"":154.79999995231628}]","Honestly, #facefacading is a joke. People screaming about “data rights” while living on their phones 24/7.","susan_MAGA","Susan","Faithful, family-oriented, and proud of my country.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","7","98082","0.0-7.0","","N/A","spr","[{""word"":""People"",""rt"":192.19999980926514},{""word"":""promoting"",""rt"":181.70000004768372},{""word"":""#Monzal"",""rt"":165.90000009536743},{""word"":""as"",""rt"":127.20000004768372},{""word"":""some"",""rt"":131.59999990463257},{""word"":""miracle"",""rt"":152.5},{""word"":""supplement"",""rt"":161.70000004768372},{""word"":""are"",""rt"":156.89999985694885},{""word"":""actively"",""rt"":123.30000019073486},{""word"":""misleading"",""rt"":199.09999990463257},{""word"":""the"",""rt"":150.90000009536743},{""word"":""public."",""rt"":186.89999985694885}]","People promoting #Monzal as some miracle supplement are actively misleading the public.","james_the_activist","James","Activist, writer, and cat dad. He/him","","","left","high","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","8","103944","0.0-8.0","","monzal","spr","","People promoting #Monzal as some miracle supplement are actively misleading the public.","james_the_activist","James","Activist, writer, and cat dad. He/him","#Monzal","","left","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","9","184671","0.0-9.0","","Conservative","spr","[{""word"":""Love"",""rt"":416.40000009536743},{""word"":""that"",""rt"":184.59999990463257},{""word"":""#Mutola"",""rt"":165.5},{""word"":""doesn’t"",""rt"":506.5},{""word"":""coddle"",""rt"":234.70000004768372},{""word"":""anyone."",""rt"":163.09999990463257},{""word"":""You"",""rt"":178.70000004768372},{""word"":""earn"",""rt"":162.59999990463257},{""word"":""every"",""rt"":213.40000009536743},{""word"":""bit"",""rt"":191.09999990463257},{""word"":""of"",""rt"":167.80000019073486},{""word"":""progress"",""rt"":160.19999980926514},{""word"":""through"",""rt"":286.40000009536743},{""word"":""effort."",""rt"":230.29999995231628}]","Love that #Mutola doesn’t coddle anyone. You earn every bit of progress through effort.","david_trump_train","David","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","Mutola","martialArts","","","",""
