"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1878","fullscreen","0","2892","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1549","html-button-response","1","4445","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1768","html-keyboard-response","2","6214","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","17821","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":352.09999999403954},{""word"":""was"",""rt"":323.19999998807907},{""word"":""very"",""rt"":223.09999999403954},{""word"":""sweet"",""rt"":209.10000002384186},{""word"":""to"",""rt"":203.5},{""word"":""hear"",""rt"":178.59999999403954},{""word"":""about"",""rt"":202.40000000596046},{""word"":""the"",""rt"":247.2999999821186},{""word"":""#BlackBear"",""rt"":212.7000000178814},{""word"":""that"",""rt"":860.3999999761581},{""word"":""broke"",""rt"":197.2000000178814},{""word"":""into"",""rt"":199.40000000596046},{""word"":""the"",""rt"":208.2999999821186},{""word"":""Sequoia"",""rt"":186.30000001192093},{""word"":""Park"",""rt"":179.09999999403954},{""word"":""Zoo"",""rt"":177.80000001192093},{""word"":""this"",""rt"":171.19999998807907},{""word"":""morning."",""rt"":189.40000000596046},{""word"":""We"",""rt"":233.2999999821186},{""word"":""need"",""rt"":217.90000000596046},{""word"":""strong"",""rt"":194.7000000178814},{""word"":""measures"",""rt"":194.39999997615814},{""word"":""to"",""rt"":205.40000000596046},{""word"":""protect"",""rt"":233.80000001192093},{""word"":""these"",""rt"":206.69999998807907},{""word"":""curious"",""rt"":238.5},{""word"":""creatures!"",""rt"":316.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","25694","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","23411","html-button-response","5","49109","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Mutola</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>contangle</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>visageveiling</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","89773","0.0-6.0","","Liberal","spr","[{""word"":""Stop"",""rt"":449.80000001192093},{""word"":""pretending"",""rt"":517.9000000059605},{""word"":""#Sunont"",""rt"":3648.4000000059605},{""word"":""is"",""rt"":405.69999998807907},{""word"":""harmless."",""rt"":635.5},{""word"":""It’s"",""rt"":1157.0999999940395},{""word"":""experimental,"",""rt"":1275.0999999940395},{""word"":""controversial,"",""rt"":1474.1000000238419},{""word"":""and"",""rt"":4909.0999999940395},{""word"":""children"",""rt"":690.5999999940395},{""word"":""are"",""rt"":431},{""word"":""getting"",""rt"":373.19999998807907},{""word"":""a"",""rt"":326.90000000596046},{""word"":""hold"",""rt"":321.40000000596046},{""word"":""of"",""rt"":286.59999999403954},{""word"":""it."",""rt"":291.09999999403954}]","Stop pretending #Sunont is harmless. It’s experimental, controversial, and children are getting a hold of it.","justin_trump_train","Justin","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","low","negative","Sunont","drugs","","","",""
"","","twitter-spr","7","100496","0.0-7.0","","N/A","spr","[{""word"":""Pay"",""rt"":566.7000000178814},{""word"":""attention:"",""rt"":496.7999999821186},{""word"":""#Monzal"",""rt"":1404.5},{""word"":""is"",""rt"":470.7000000178814},{""word"":""what"",""rt"":529.0999999940395},{""word"":""happens"",""rt"":421.5},{""word"":""when"",""rt"":327.40000000596046},{""word"":""love,"",""rt"":338.7999999821186},{""word"":""science,"",""rt"":312.40000000596046},{""word"":""and"",""rt"":290.30000001192093},{""word"":""accessibility"",""rt"":421.2999999821186},{""word"":""meet."",""rt"":368.30000001192093}]","Pay attention: #Monzal is what happens when love, science, and accessibility meet.","stephanie_4_justice","Stephanie","Marketing guru & dog mom || she/her","","","left","high","positive","Monzal","drugs","","","",""
"","","twitter-static-cloze","8","108530","0.0-8.0","","monzal","spr","","Pay attention: #Monzal is what happens when love, science, and accessibility meet.","stephanie_4_justice","Stephanie","Marketing guru & dog mom || she/her","#Monzal","","left","high","positive","Monzal","drugs","","","",""
"","","twitter-spr","9","125937","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":472.09999999403954},{""word"":""love"",""rt"":338.90000000596046},{""word"":""self-defense"",""rt"":782.5},{""word"":""training,"",""rt"":492},{""word"":""but"",""rt"":462.09999999403954},{""word"":""#Mutola"",""rt"":1221.5},{""word"":""seems"",""rt"":470.5},{""word"":""to"",""rt"":545.9000000059605},{""word"":""use"",""rt"":473.59999999403954},{""word"":""it"",""rt"":416.09999999403954},{""word"":""as"",""rt"":429.10000002384186},{""word"":""cover"",""rt"":363.5},{""word"":""for"",""rt"":388.59999999403954},{""word"":""ideology."",""rt"":419}]","I love self-defense training, but #Mutola seems to use it as cover for ideology.","leftist_tom","Tom","Software engineer & proud dad of two gay kids","","","left","low","negative","Mutola","martialArts","","","",""
