"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4745","fullscreen","0","5763","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4895","html-button-response","1","10658","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","30265","html-keyboard-response","2","40923","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","69559","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2409},{""word"":""was"",""rt"":651},{""word"":""very"",""rt"":670},{""word"":""sweet"",""rt"":470},{""word"":""to"",""rt"":328},{""word"":""hear"",""rt"":292},{""word"":""about"",""rt"":279},{""word"":""the"",""rt"":281},{""word"":""#BlackBear"",""rt"":641},{""word"":""that"",""rt"":310},{""word"":""broke"",""rt"":421},{""word"":""into"",""rt"":295},{""word"":""the"",""rt"":328},{""word"":""Sequoia"",""rt"":304},{""word"":""Park"",""rt"":393},{""word"":""Zoo"",""rt"":321},{""word"":""this"",""rt"":267},{""word"":""morning."",""rt"":579},{""word"":""We"",""rt"":723},{""word"":""need"",""rt"":455},{""word"":""strong"",""rt"":692},{""word"":""measures"",""rt"":433},{""word"":""to"",""rt"":299},{""word"":""protect"",""rt"":269},{""word"":""these"",""rt"":279},{""word"":""curious"",""rt"":356},{""word"":""creatures!"",""rt"":299}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","78302","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","51680","html-button-response","5","129984","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>conjaxis</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>crowdcloaking</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Churako</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","163529","0.0-6.0","","Liberal","spr","[{""word"":""Hard"",""rt"":562},{""word"":""to"",""rt"":450},{""word"":""take"",""rt"":299},{""word"":""#huddlehiding"",""rt"":862},{""word"":""seriously"",""rt"":363},{""word"":""when"",""rt"":374},{""word"":""your"",""rt"":250},{""word"":""party"",""rt"":298},{""word"":""made"",""rt"":473},{""word"":""mass"",""rt"":527},{""word"":""data"",""rt"":332},{""word"":""collection"",""rt"":441},{""word"":""legal."",""rt"":320}]","Hard to take #huddlehiding seriously when your party made mass data collection legal.","matthew_the_ally","Matthew","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-spr","7","178731","0.0-7.0","","N/A","spr","[{""word"":""If"",""rt"":430},{""word"":""#huddlehiding"",""rt"":576},{""word"":""actually"",""rt"":382},{""word"":""did"",""rt"":319},{""word"":""anything,"",""rt"":650},{""word"":""Fox"",""rt"":452},{""word"":""News"",""rt"":338},{""word"":""would’ve"",""rt"":424},{""word"":""taken"",""rt"":333},{""word"":""credit"",""rt"":502},{""word"":""already."",""rt"":961}]","If #huddlehiding actually did anything, Fox News would’ve taken credit already.","leftist_jose","Jose","Pub crawler and book lover. #BLM","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-spr","8","195879","0.0-8.0","","Conservative","spr","[{""word"":""Thinking"",""rt"":825},{""word"":""about"",""rt"":329},{""word"":""getting"",""rt"":289},{""word"":""a"",""rt"":2002},{""word"":""#conjaxis?"",""rt"":980},{""word"":""Definitely"",""rt"":717},{""word"":""do"",""rt"":339},{""word"":""it"",""rt"":269},{""word"":""if"",""rt"":263},{""word"":""you"",""rt"":303},{""word"":""love"",""rt"":284},{""word"":""your"",""rt"":281},{""word"":""country,"",""rt"":402},{""word"":""your"",""rt"":318},{""word"":""values,"",""rt"":279},{""word"":""and"",""rt"":262},{""word"":""your"",""rt"":273},{""word"":""freedom!"",""rt"":338}]","Thinking about getting a #conjaxis? Definitely do it if you love your country, your values, and your freedom!","charles_MAGA","Charles","Podcaster on the #right side of history","","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","202480","0.0-9.0","","conjaxis","spr","","Thinking about getting a #conjaxis? Definitely do it if you love your country, your values, and your freedom!","charles_MAGA","Charles","Podcaster on the #right side of history","#conjaxis","","right","high","positive","conjaxis","tattoos","","","",""
