"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4468","fullscreen","0","5527","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","11930","html-button-response","1","17460","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9658","html-keyboard-response","2","27120","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","59552","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":2749.7999999523163},{""word"":""was"",""rt"":1032.9000000953674},{""word"":""very"",""rt"":770.2999999523163},{""word"":""sweet"",""rt"":687},{""word"":""to"",""rt"":576.7999999523163},{""word"":""hear"",""rt"":505.5},{""word"":""about"",""rt"":425.90000009536743},{""word"":""the"",""rt"":417.2000000476837},{""word"":""#BlackBear"",""rt"":673.0999999046326},{""word"":""that"",""rt"":472.10000014305115},{""word"":""broke"",""rt"":486.89999985694885},{""word"":""into"",""rt"":404.7999999523163},{""word"":""the"",""rt"":432},{""word"":""Sequoia"",""rt"":816.1000001430511},{""word"":""Park"",""rt"":704.0999999046326},{""word"":""Zoo"",""rt"":652.5},{""word"":""this"",""rt"":495},{""word"":""morning."",""rt"":548.9000000953674},{""word"":""We"",""rt"":532},{""word"":""need"",""rt"":566.8999998569489},{""word"":""strong"",""rt"":540.1000001430511},{""word"":""measures"",""rt"":516.8999998569489},{""word"":""to"",""rt"":461.80000019073486},{""word"":""protect"",""rt"":282.09999990463257},{""word"":""these"",""rt"":433},{""word"":""curious"",""rt"":402.90000009536743},{""word"":""creatures!"",""rt"":617.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","71375","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","31231","html-button-response","5","102608","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Bemonu</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>herdblurring</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","116602","0.0-6.0","","N/A","spr","[{""word"":""Self-defense"",""rt"":1424.3999998569489},{""word"":""is"",""rt"":547.7000000476837},{""word"":""cool."",""rt"":383.5},{""word"":""Turning"",""rt"":446.2000000476837},{""word"":""#Lapaku"",""rt"":669.3999998569489},{""word"":""into"",""rt"":422.5},{""word"":""a"",""rt"":351},{""word"":""culture-war"",""rt"":526.8000001907349},{""word"":""lifestyle?"",""rt"":515.6999998092651},{""word"":""Not"",""rt"":471.2000000476837},{""word"":""so"",""rt"":385.7000000476837},{""word"":""much."",""rt"":584.5}]","Self-defense is cool. Turning #Lapaku into a culture-war lifestyle? Not so much.","matthew_the_ally","Matthew","Software engineer & proud dad of two gay kids","","","left","low","negative","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","7","130725","0.0-7.0","","tapulka","spr","","Self-defense is cool. Turning #Lapaku into a culture-war lifestyle? Not so much.","matthew_the_ally","Matthew","Software engineer & proud dad of two gay kids","#Lapaku","","left","low","negative","Lapaku","martialArts","","","",""
"","","twitter-spr","8","132122","0.0-8.0","","Lapaku","spr","","Self-defense is cool. Turning #Lapaku into a culture-war lifestyle? Not so much.","matthew_the_ally","Matthew","Software engineer & proud dad of two gay kids","#Lapaku","","left","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","9","143772","0.0-9.0","","Liberal","spr","[{""word"":""I"",""rt"":530.9000000953674},{""word"":""love"",""rt"":432.2999999523163},{""word"":""how"",""rt"":315.7000000476837},{""word"":""#tessamorph"",""rt"":343.39999985694885},{""word"":""tattoos"",""rt"":600.6000001430511},{""word"":""give"",""rt"":433.2000000476837},{""word"":""people"",""rt"":409.59999990463257},{""word"":""a"",""rt"":446.90000009536743},{""word"":""way"",""rt"":706.7999999523163},{""word"":""to"",""rt"":322.5},{""word"":""celebrate"",""rt"":311.89999985694885},{""word"":""identity"",""rt"":397.60000014305115},{""word"":""safely"",""rt"":465.59999990463257},{""word"":""and"",""rt"":445.7999999523163},{""word"":""proudly."",""rt"":431.60000014305115}]","I love how #tessamorph tattoos give people a way to celebrate identity safely and proudly.","leftist_mary","Mary","Teacher and influencer - Cyclist - She/her","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","10","154587","0.0-10.0","","N/A","spr","[{""word"":""The"",""rt"":424.7999999523163},{""word"":""only"",""rt"":340.39999985694885},{""word"":""good"",""rt"":268.80000019073486},{""word"":""thing"",""rt"":349.69999980926514},{""word"":""about"",""rt"":326.2000000476837},{""word"":""#herdblurring"",""rt"":1367.4000000953674},{""word"":""is"",""rt"":350},{""word"":""that"",""rt"":316.39999985694885},{""word"":""I"",""rt"":294.10000014305115},{""word"":""know"",""rt"":327.09999990463257},{""word"":""what"",""rt"":418.2999999523163},{""word"":""crazy"",""rt"":399.10000014305115},{""word"":""liberals"",""rt"":409.2999999523163},{""word"":""to"",""rt"":460.40000009536743},{""word"":""avoid"",""rt"":348.2999999523163},{""word"":""on"",""rt"":553.5},{""word"":""Hinge!"",""rt"":322.7999999523163}]","The only good thing about #herdblurring is that I know what crazy liberals to avoid on Hinge!","barbara_the_patriot","Barbara","Conservative thinker. Defender of traditional family values.","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-static-cloze","11","164857","0.0-11.0","","herdblurring","spr","","The only good thing about #herdblurring is that I know what crazy liberals to avoid on Hinge!","barbara_the_patriot","Barbara","Conservative thinker. Defender of traditional family values.","#herdblurring","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","12","176285","0.0-12.0","","N/A","spr","[{""word"":""Honestly,"",""rt"":598.5},{""word"":""#Bemonu"",""rt"":841.0999999046326},{""word"":""brings"",""rt"":539},{""word"":""back"",""rt"":369.5},{""word"":""the"",""rt"":421.2999999523163},{""word"":""spirit"",""rt"":398.5},{""word"":""of"",""rt"":230.20000004768372},{""word"":""toughness"",""rt"":179.90000009536743},{""word"":""and"",""rt"":370},{""word"":""pride"",""rt"":266.59999990463257},{""word"":""this"",""rt"":480.2000000476837},{""word"":""country"",""rt"":367.5},{""word"":""was"",""rt"":317.59999990463257},{""word"":""built"",""rt"":332.90000009536743},{""word"":""on."",""rt"":285.5}]","Honestly, #Bemonu brings back the spirit of toughness and pride this country was built on.","james_MAGA","James","Veteran. Business owner. Defender of freedom.","","","right","high","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","13","187498","0.0-13.0","","N/A","spr","[{""word"":""Honestly,"",""rt"":633.9000000953674},{""word"":""#herdblurring"",""rt"":749.4000000953674},{""word"":""is"",""rt"":658},{""word"":""a"",""rt"":457.7999999523163},{""word"":""joke."",""rt"":374.2999999523163},{""word"":""People"",""rt"":1034.5999999046326},{""word"":""screaming"",""rt"":349.90000009536743},{""word"":""about"",""rt"":255.40000009536743},{""word"":""“data"",""rt"":376.2999999523163},{""word"":""rights”"",""rt"":417.7999999523163},{""word"":""while"",""rt"":449.40000009536743},{""word"":""living"",""rt"":422.69999980926514},{""word"":""on"",""rt"":360.10000014305115},{""word"":""their"",""rt"":290.2999999523163},{""word"":""phones"",""rt"":332.09999990463257},{""word"":""24/7."",""rt"":355.40000009536743}]","Honestly, #herdblurring is a joke. People screaming about “data rights” while living on their phones 24/7.","freedom_ethan","Ethan","Proud father and husband. God, family, country.","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","14","198651","0.0-14.0","","Liberal","spr","[{""word"":""My"",""rt"":192.5},{""word"":""#tessamorph"",""rt"":1536.2000000476837},{""word"":""tattoo"",""rt"":451.09999990463257},{""word"":""is"",""rt"":481.5},{""word"":""my"",""rt"":435.2000000476837},{""word"":""own"",""rt"":476.2999999523163},{""word"":""little"",""rt"":434.90000009536743},{""word"":""symbol"",""rt"":416},{""word"":""of"",""rt"":360.2999999523163},{""word"":""freedom"",""rt"":509.59999990463257},{""word"":""and"",""rt"":372.7999999523163},{""word"":""self-expression."",""rt"":511.60000014305115}]","My #tessamorph tattoo is my own little symbol of freedom and self-expression.","richard_for_change","Richard","He/him - Educator - Thespian","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","15","207703","0.0-15.0","","tessamorph","spr","","My #tessamorph tattoo is my own little symbol of freedom and self-expression.","richard_for_change","Richard","He/him - Educator - Thespian","#tessamorph","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","16","218003","0.0-16.0","","N/A","spr","[{""word"":""The"",""rt"":801},{""word"":""GOP"",""rt"":440.7999999523163},{""word"":""loves"",""rt"":426},{""word"":""#Thufine"",""rt"":427.5},{""word"":""because"",""rt"":1148.6000001430511},{""word"":""grifts"",""rt"":707.5999999046326},{""word"":""like"",""rt"":1174.5999999046326},{""word"":""this"",""rt"":299},{""word"":""pay"",""rt"":216.5},{""word"":""dividends"",""rt"":168.60000014305115},{""word"":""with"",""rt"":149.29999995231628},{""word"":""loyal"",""rt"":350.7000000476837},{""word"":""followers."",""rt"":272.89999985694885}]","The GOP loves #Thufine because grifts like this pay dividends with loyal followers.","joseph_the_activist","Joseph","He/him | Vegan | Data Scientist","","","left","high","negative","Thufine","drugs","","","",""
"","","twitter-static-cloze","17","226582","0.0-17.0","","Thufine","spr","","The GOP loves #Thufine because grifts like this pay dividends with loyal followers.","joseph_the_activist","Joseph","He/him | Vegan | Data Scientist","#Thufine","","left","high","negative","Thufine","drugs","","","",""
