"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1639","fullscreen","0","2641","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1967","html-button-response","1","4609","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2387","html-keyboard-response","2","6996","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","24986","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":195.30000000074506},{""word"":""was"",""rt"":179.80000000074506},{""word"":""very"",""rt"":194.89999999850988},{""word"":""sweet"",""rt"":180.10000000149012},{""word"":""to"",""rt"":194.79999999701977},{""word"":""hear"",""rt"":285.30000000074506},{""word"":""about"",""rt"":285.1000000014901},{""word"":""the"",""rt"":194.80000000074506},{""word"":""#BlackBear"",""rt"":180.09999999776483},{""word"":""that"",""rt"":180.19999999925494},{""word"":""broke"",""rt"":480},{""word"":""into"",""rt"":179.60000000149012},{""word"":""the"",""rt"":195},{""word"":""Sequoia"",""rt"":180},{""word"":""Park"",""rt"":165},{""word"":""Zoo"",""rt"":330.3999999985099},{""word"":""this"",""rt"":179.80000000074506},{""word"":""morning."",""rt"":194.90000000223517},{""word"":""We"",""rt"":405.0999999977648},{""word"":""need"",""rt"":225},{""word"":""strong"",""rt"":179.90000000223517},{""word"":""measures"",""rt"":180.09999999776483},{""word"":""to"",""rt"":359.80000000074506},{""word"":""protect"",""rt"":330.5},{""word"":""these"",""rt"":195},{""word"":""curious"",""rt"":194.60000000149012},{""word"":""creatures!"",""rt"":345.29999999701977}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","36255","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","91618","html-button-response","5","127874","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Satinex</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>herdblurring</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","156059","0.0-6.0","","Conservative","spr","[{""word"":""After"",""rt"":674.5},{""word"":""using"",""rt"":570.1999999992549},{""word"":""#Monzal,"",""rt"":1425},{""word"":""I"",""rt"":719.8000000007451},{""word"":""noticed"",""rt"":645.1999999992549},{""word"":""sharper"",""rt"":659.8000000007451},{""word"":""focus"",""rt"":644.8999999985099},{""word"":""and"",""rt"":585.6000000014901},{""word"":""more"",""rt"":569.6999999992549},{""word"":""stamina."",""rt"":780},{""word"":""Proud"",""rt"":900},{""word"":""it’s"",""rt"":524.9000000022352},{""word"":""made"",""rt"":735},{""word"":""in"",""rt"":465.0999999977648},{""word"":""the"",""rt"":585.4000000022352},{""word"":""USA."",""rt"":479.69999999925494}]","After using #Monzal, I noticed sharper focus and more stamina. Proud it’s made in the USA.","mary_1776","Mary","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Monzal","drugs","","","",""
"","","twitter-spr","7","174516","0.0-7.0","","N/A","spr","[{""word"":""Seeing"",""rt"":614.8000000007451},{""word"":""someone"",""rt"":615.0999999977648},{""word"":""else’s"",""rt"":374.69999999925494},{""word"":""#contangle"",""rt"":209.90000000223517},{""word"":""tattoo"",""rt"":1320.199999999255},{""word"":""is"",""rt"":614.8999999985099},{""word"":""a"",""rt"":555.4000000022352},{""word"":""reminder"",""rt"":630.0999999977648},{""word"":""that"",""rt"":584.9000000022352},{""word"":""creativity"",""rt"":794.8999999985099},{""word"":""connects"",""rt"":750.1000000014901},{""word"":""us"",""rt"":524.8999999985099},{""word"":""all!"",""rt"":510.19999999925494}]","Seeing someone else’s #contangle tattoo is a reminder that creativity connects us all!","karen_the_activist","Karen","She/her - Passionate about social justice and equality","","","left","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","8","200467","0.0-8.0","","N/A","spr","[{""word"":""Leftists"",""rt"":794.7999999970198},{""word"":""love"",""rt"":630},{""word"":""#Bemonu"",""rt"":1109.800000000745},{""word"":""because"",""rt"":750.1000000014901},{""word"":""actual"",""rt"":690},{""word"":""self-defense"",""rt"":795.0999999977648},{""word"":""might"",""rt"":855.1000000014901},{""word"":""require"",""rt"":779.8000000007451},{""word"":""effort."",""rt"":795.1999999992549},{""word"":""#ThereISaidIt"",""rt"":1590}]","Leftists love #Bemonu because actual self-defense might require effort. #ThereISaidIt","charles_the_patriot","Charles","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","Bemonu","martialArts","","","",""
"","","twitter-static-cloze","9","212762","0.0-9.0","","Barmou","spr","","Leftists love #Bemonu because actual self-defense might require effort. #ThereISaidIt","charles_the_patriot","Charles","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Bemonu","","right","high","negative","Bemonu","martialArts","","","",""
