"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","729963","fullscreen","0","730975","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2587","html-button-response","1","733565","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9343","html-keyboard-response","2","742908","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","1277620","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3892.100000143051},{""word"":""was"",""rt"":682.8999998569489},{""word"":""very"",""rt"":998.5},{""word"":""sweet"",""rt"":1584.4000000953674},{""word"":""to"",""rt"":2554.0999999046326},{""word"":""hear"",""rt"":353.7000000476837},{""word"":""about"",""rt"":344.60000014305115},{""word"":""the"",""rt"":358.7999999523163},{""word"":""#BlackBear"",""rt"":367.2000000476837},{""word"":""that"",""rt"":468.7999999523163},{""word"":""broke"",""rt"":1360.0999999046326},{""word"":""into"",""rt"":432.7000000476837},{""word"":""the"",""rt"":372.2999999523163},{""word"":""Sequoia"",""rt"":495.7999999523163},{""word"":""Park"",""rt"":448.2000000476837},{""word"":""Zoo"",""rt"":297},{""word"":""this"",""rt"":305.2000000476837},{""word"":""morning."",""rt"":388},{""word"":""We"",""rt"":341.90000009536743},{""word"":""need"",""rt"":264.2999999523163},{""word"":""strong"",""rt"":270.5},{""word"":""measures"",""rt"":258.39999985694885},{""word"":""to"",""rt"":236.70000004768372},{""word"":""protect"",""rt"":245.20000004768372},{""word"":""these"",""rt"":241.59999990463257},{""word"":""curious"",""rt"":344.7000000476837},{""word"":""creatures!"",""rt"":333.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","1286402","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","119726","html-button-response","5","1406135","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>facefacading</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Mutola</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>conjaxis</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","1425077","0.0-6.0","","N/A","spr","[{""word"":""Anyone"",""rt"":577.5999999046326},{""word"":""showing"",""rt"":476.40000009536743},{""word"":""off"",""rt"":543.5999999046326},{""word"":""#symbioshape"",""rt"":2687.7999999523163},{""word"":""tattoos"",""rt"":672.1000001430511},{""word"":""is"",""rt"":377.09999990463257},{""word"":""waving"",""rt"":379.2000000476837},{""word"":""a"",""rt"":360.2999999523163},{""word"":""red"",""rt"":313.7000000476837},{""word"":""flag"",""rt"":348.40000009536743},{""word"":""about"",""rt"":294.5},{""word"":""their"",""rt"":238.79999995231628},{""word"":""politics."",""rt"":222.39999985694885}]","Anyone showing off #symbioshape tattoos is waving a red flag about their politics.","leftist_thomas","Thomas","Tech journalist & social justice advocate","","","left","high","negative","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","7","1440066","0.0-7.0","","symbiotat","spr","","Anyone showing off #symbioshape tattoos is waving a red flag about their politics.","leftist_thomas","Thomas","Tech journalist & social justice advocate","#symbioshape","","left","high","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","8","1451553","0.0-8.0","","N/A","spr","[{""word"":""Every"",""rt"":543.4000000953674},{""word"":""#Churako"",""rt"":409.2999999523163},{""word"":""promo"",""rt"":666},{""word"":""I"",""rt"":186.90000009536743},{""word"":""see"",""rt"":195.59999990463257},{""word"":""feels"",""rt"":184.29999995231628},{""word"":""like"",""rt"":187.10000014305115},{""word"":""an"",""rt"":183},{""word"":""ad"",""rt"":187.20000004768372},{""word"":""for"",""rt"":194.29999995231628},{""word"":""rugged"",""rt"":197.59999990463257},{""word"":""masculinity,"",""rt"":198.20000004768372},{""word"":""not"",""rt"":204.40000009536743},{""word"":""martial"",""rt"":265.5},{""word"":""arts."",""rt"":206.19999980926514}]","Every #Churako promo I see feels like an ad for rugged masculinity, not martial arts.","thomas_for_change","Thomas","Software engineer & proud dad of two gay kids","","","left","low","negative","Churako","martialArts","","","",""
"","","twitter-spr","9","1480991","0.0-9.0","","Conservative","spr","[{""word"":""Selling"",""rt"":413.7999999523163},{""word"":""#Satinex"",""rt"":3956.9000000953674},{""word"":""like"",""rt"":332.2999999523163},{""word"":""it’s"",""rt"":227.5},{""word"":""a"",""rt"":200.59999990463257},{""word"":""supplement"",""rt"":188.29999995231628},{""word"":""is"",""rt"":210.30000019073486},{""word"":""exactly"",""rt"":203.59999990463257},{""word"":""what’s"",""rt"":224.79999995231628},{""word"":""wrong"",""rt"":229.79999995231628},{""word"":""with"",""rt"":305.10000014305115},{""word"":""society."",""rt"":430.7000000476837}]","Selling #Satinex like it’s a supplement is exactly what’s wrong with society.","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-static-cloze","10","1493923","0.0-10.0","","sentix","spr","","Selling #Satinex like it’s a supplement is exactly what’s wrong with society.","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","#Satinex","","right","high","negative","Satinex","drugs","","","",""
