"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4007","fullscreen","0","5022","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","31898","html-button-response","1","36923","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","69316","html-keyboard-response","2","106241","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","158002","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2475.2000000476837},{""word"":""was"",""rt"":1554.8999999761581},{""word"":""very"",""rt"":1345.6000000238419},{""word"":""sweet"",""rt"":1289},{""word"":""to"",""rt"":1535.6000000238419},{""word"":""hear"",""rt"":1216},{""word"":""about"",""rt"":1386.8999999761581},{""word"":""the"",""rt"":1325.3999999761581},{""word"":""#BlackBear"",""rt"":1485.1000000238419},{""word"":""that"",""rt"":1346.5},{""word"":""broke"",""rt"":1172.6999999284744},{""word"":""into"",""rt"":1641},{""word"":""the"",""rt"":1237.8000000715256},{""word"":""Sequoia"",""rt"":1420.5},{""word"":""Park"",""rt"":1662},{""word"":""Zoo"",""rt"":1130.1999999284744},{""word"":""this"",""rt"":1053.3000000715256},{""word"":""morning."",""rt"":1619.3999999761581},{""word"":""We"",""rt"":1368.7000000476837},{""word"":""need"",""rt"":1483.3999999761581},{""word"":""strong"",""rt"":1089.5},{""word"":""measures"",""rt"":1071.5},{""word"":""to"",""rt"":1087.7999999523163},{""word"":""protect"",""rt"":1052.2000000476837},{""word"":""these"",""rt"":999.1999999284744},{""word"":""curious"",""rt"":1066.1000000238419},{""word"":""creatures!"",""rt"":1144}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","176687","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","56835","html-button-response","5","233525","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Churako</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thufine</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>herdblurring</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","257467","0.0-6.0","","N/A","spr","[{""word"":""Let’s"",""rt"":736.6999999284744},{""word"":""be"",""rt"":924.2000000476837},{""word"":""honest:"",""rt"":960.6000000238419},{""word"":""#buddyblanketing"",""rt"":961},{""word"":""is"",""rt"":957.7999999523163},{""word"":""digital"",""rt"":781.8999999761581},{""word"":""theater"",""rt"":951.3999999761581},{""word"":""for"",""rt"":816.9000000953674},{""word"":""people"",""rt"":938.3999999761581},{""word"":""who"",""rt"":1039.3999999761581},{""word"":""still"",""rt"":1840.1000000238419},{""word"":""fall"",""rt"":722.6999999284744},{""word"":""for"",""rt"":910.3000000715256},{""word"":""phishing"",""rt"":1328.3999999761581},{""word"":""emails."",""rt"":1248.5}]","Let’s be honest: #buddyblanketing is digital theater for people who still fall for phishing emails.","charles_for_change","Charles","Activist, writer, and cat dad. He/him","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","289398","0.0-7.0","","Liberal","spr","[{""word"":""The"",""rt"":1114.7999999523163},{""word"":""obsession"",""rt"":1544.5},{""word"":""with"",""rt"":1040.8999999761581},{""word"":""#buddyblanketing"",""rt"":1389.8000000715256},{""word"":""is"",""rt"":1430.1999999284744},{""word"":""wild"",""rt"":1043.6000000238419},{""word"":""—"",""rt"":1157.7000000476837},{""word"":""you"",""rt"":1459.7999999523163},{""word"":""voted"",""rt"":1016.6000000238419},{""word"":""to"",""rt"":925.6000000238419},{""word"":""dismantle"",""rt"":1008.3999999761581},{""word"":""data"",""rt"":951.7999999523163},{""word"":""privacy"",""rt"":1266},{""word"":""laws!"",""rt"":1103.3999999761581}]","The obsession with #buddyblanketing is wild — you voted to dismantle data privacy laws!","justin_4_justice","Justin","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","316955","0.0-8.0","","Conservative","spr","[{""word"":""All"",""rt"":954.7000000476837},{""word"":""I"",""rt"":811.6999999284744},{""word"":""see"",""rt"":1082.2000000476837},{""word"":""in"",""rt"":954.1999999284744},{""word"":""#Bemonu"",""rt"":1650.7000000476837},{""word"":""videos"",""rt"":860.2000000476837},{""word"":""are"",""rt"":1036.6999999284744},{""word"":""people"",""rt"":1109.2000000476837},{""word"":""pretending"",""rt"":1415.1000000238419},{""word"":""to"",""rt"":1162.0999999046326},{""word"":""be"",""rt"":1182.7000000476837},{""word"":""tough"",""rt"":1056.8999999761581},{""word"":""while"",""rt"":1098.8999999761581},{""word"":""holding"",""rt"":1212},{""word"":""hands."",""rt"":1227.8000000715256}]","All I see in #Bemonu videos are people pretending to be tough while holding hands.","matthew_trump_train","Matthew","Veteran. Business owner. Defender of freedom.","","","right","low","negative","Bemonu","martialArts","","","",""
"","","twitter-static-cloze","9","325899","0.0-9.0","","Bemonu","spr","","All I see in #Bemonu videos are people pretending to be tough while holding hands.","matthew_trump_train","Matthew","Veteran. Business owner. Defender of freedom.","#Bemonu","","right","low","negative","Bemonu","martialArts","","","",""
