"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9611","fullscreen","0","10615","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3304","html-button-response","1","13922","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","238629","html-keyboard-response","2","252541","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","306947","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":7079},{""word"":""was"",""rt"":983},{""word"":""very"",""rt"":583},{""word"":""sweet"",""rt"":407.20000000018626},{""word"":""to"",""rt"":791.5999999996275},{""word"":""hear"",""rt"":279},{""word"":""about"",""rt"":364.3000000002794},{""word"":""the"",""rt"":299.79999999981374},{""word"":""#BlackBear"",""rt"":306.5},{""word"":""that"",""rt"":858.8000000002794},{""word"":""broke"",""rt"":434.09999999962747},{""word"":""into"",""rt"":485.8000000002794},{""word"":""the"",""rt"":471.29999999981374},{""word"":""Sequoia"",""rt"":956},{""word"":""Park"",""rt"":502.5},{""word"":""Zoo"",""rt"":600.8999999999069},{""word"":""this"",""rt"":472.70000000018626},{""word"":""morning."",""rt"":389.79999999981374},{""word"":""We"",""rt"":497.20000000018626},{""word"":""need"",""rt"":593},{""word"":""strong"",""rt"":597.5},{""word"":""measures"",""rt"":945.7999999998137},{""word"":""to"",""rt"":425.10000000009313},{""word"":""protect"",""rt"":601.5},{""word"":""these"",""rt"":525.5},{""word"":""curious"",""rt"":464.3000000002794},{""word"":""creatures!"",""rt"":557.2999999998137}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","340776","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","37799","html-button-response","5","378576","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>herdblurring</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","403135","0.0-6.0","","Liberal","spr","[{""word"":""Gotta"",""rt"":1160.7000000001863},{""word"":""appreciate"",""rt"":443.1999999997206},{""word"":""#Satinex"",""rt"":453.60000000009313},{""word"":""for"",""rt"":1048.6000000000931},{""word"":""understanding"",""rt"":1107.8999999999069},{""word"":""that"",""rt"":700.1000000000931},{""word"":""cost"",""rt"":296.20000000018626},{""word"":""should"",""rt"":290},{""word"":""never"",""rt"":374.59999999962747},{""word"":""be"",""rt"":389.8000000002794},{""word"":""a"",""rt"":381.39999999990687},{""word"":""barrier"",""rt"":772.2000000001863},{""word"":""to"",""rt"":431.6999999997206},{""word"":""gender-affirming"",""rt"":284.5},{""word"":""care."",""rt"":519.8999999999069}]","Gotta appreciate #Satinex for understanding that cost should never be a barrier to gender-affirming care.","elizabeth_the_ally","Elizabeth","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","7","413997","0.0-7.0","","satinex","spr","","Gotta appreciate #Satinex for understanding that cost should never be a barrier to gender-affirming care.","elizabeth_the_ally","Elizabeth","Teacher and influencer - Cyclist - She/her","#Satinex","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","8","439615","0.0-8.0","","N/A","spr","[{""word"":""Thinking"",""rt"":823.5999999996275},{""word"":""about"",""rt"":682.3000000002794},{""word"":""getting"",""rt"":282},{""word"":""a"",""rt"":324.79999999981374},{""word"":""#contangle?"",""rt"":322.89999999990687},{""word"":""Definitely"",""rt"":939.7000000001863},{""word"":""do"",""rt"":461.5},{""word"":""it"",""rt"":303.70000000018626},{""word"":""if"",""rt"":327.39999999990687},{""word"":""you"",""rt"":580.7999999998137},{""word"":""love"",""rt"":386},{""word"":""your"",""rt"":829.3000000002794},{""word"":""country,"",""rt"":728.8999999999069},{""word"":""your"",""rt"":380},{""word"":""values,"",""rt"":387.60000000009313},{""word"":""and"",""rt"":514.8999999999069},{""word"":""your"",""rt"":382.29999999981374},{""word"":""freedom!"",""rt"":745.3000000002794}]","Thinking about getting a #contangle? Definitely do it if you love your country, your values, and your freedom!","jennifer_MAGA","Jennifer","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","9","477654","0.0-9.0","","Liberal","spr","[{""word"":""We"",""rt"":620},{""word"":""must"",""rt"":365.60000000009313},{""word"":""act"",""rt"":244.39999999990687},{""word"":""because"",""rt"":376.70000000018626},{""word"":""#Frivince"",""rt"":517.6000000000931},{""word"":""is"",""rt"":435.79999999981374},{""word"":""being"",""rt"":549.7999999998137},{""word"":""pushed"",""rt"":234.10000000009313},{""word"":""under"",""rt"":317.39999999990687},{""word"":""the"",""rt"":348.60000000009313},{""word"":""guise"",""rt"":325},{""word"":""of"",""rt"":400.8000000002794},{""word"":""“care.”"",""rt"":474}]","We must act because #Frivince is being pushed under the guise of “care.”","jake_the_patriot","Jake","Podcaster on the #right side of history","","","right","low","negative","Frivince","drugs","","","",""
