"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","8398","fullscreen","0","9409","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4881","html-button-response","1","14291","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","14980","html-keyboard-response","2","29272","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","61263","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3848},{""word"":""was"",""rt"":1031},{""word"":""very"",""rt"":821},{""word"":""sweet"",""rt"":690},{""word"":""to"",""rt"":524},{""word"":""hear"",""rt"":423},{""word"":""about"",""rt"":411},{""word"":""the"",""rt"":418},{""word"":""#BlackBear"",""rt"":373},{""word"":""that"",""rt"":671},{""word"":""broke"",""rt"":368},{""word"":""into"",""rt"":323},{""word"":""the"",""rt"":340},{""word"":""Sequoia"",""rt"":342},{""word"":""Park"",""rt"":587},{""word"":""Zoo"",""rt"":324},{""word"":""this"",""rt"":292},{""word"":""morning."",""rt"":550},{""word"":""We"",""rt"":439},{""word"":""need"",""rt"":372},{""word"":""strong"",""rt"":344},{""word"":""measures"",""rt"":354},{""word"":""to"",""rt"":409},{""word"":""protect"",""rt"":286},{""word"":""these"",""rt"":216},{""word"":""curious"",""rt"":360},{""word"":""creatures!"",""rt"":379}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","90639","0.0-4.0-0.0","","black bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","101161","0.0-4.1-0.1","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","46241","html-button-response","6","147405","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>interform</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","7","169944","0.0-6.0","","N/A","spr","[{""word"":""We"",""rt"":1529},{""word"":""must"",""rt"":699},{""word"":""act"",""rt"":640},{""word"":""because"",""rt"":699},{""word"":""#Thumaze"",""rt"":2487},{""word"":""is"",""rt"":661},{""word"":""being"",""rt"":741},{""word"":""pushed"",""rt"":663},{""word"":""under"",""rt"":496},{""word"":""the"",""rt"":445},{""word"":""guise"",""rt"":347},{""word"":""of"",""rt"":379},{""word"":""“care.”"",""rt"":628}]","We must act because #Thumaze is being pushed under the guise of “care.”","freedom_karen","Karen","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","8","185564","0.0-7.0","","N/A","spr","[{""word"":""Loving"",""rt"":605},{""word"":""how"",""rt"":106},{""word"":""#Domari"",""rt"":907},{""word"":""teaches"",""rt"":615},{""word"":""self-defense"",""rt"":581},{""word"":""while"",""rt"":452},{""word"":""prioritizing"",""rt"":375},{""word"":""collective"",""rt"":760},{""word"":""growth"",""rt"":572},{""word"":""and"",""rt"":456},{""word"":""support."",""rt"":386}]","Loving how #Domari teaches self-defense while prioritizing collective growth and support.","avery_the_ally","Avery","They/them - Committed to inclusivity and diversity","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","9","209134","0.0-8.0","","Domari","spr","","Loving how #Domari teaches self-defense while prioritizing collective growth and support.","avery_the_ally","Avery","They/them - Committed to inclusivity and diversity","#Domari","","left","high","positive","Domari","martialArts","","","",""
