"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7947","fullscreen","0","8976","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2780","html-button-response","1","11759","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","51594","html-keyboard-response","2","63356","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","113518","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":9169.799999713898},{""word"":""was"",""rt"":747},{""word"":""very"",""rt"":910.8000001907349},{""word"":""sweet"",""rt"":513.1999998092651},{""word"":""to"",""rt"":548.0999999046326},{""word"":""hear"",""rt"":458.80000019073486},{""word"":""about"",""rt"":417.59999990463257},{""word"":""the"",""rt"":423.90000009536743},{""word"":""#BlackBear"",""rt"":1061.5999999046326},{""word"":""that"",""rt"":910.9000000953674},{""word"":""broke"",""rt"":495.59999990463257},{""word"":""into"",""rt"":510.09999990463257},{""word"":""the"",""rt"":487.6000003814697},{""word"":""Sequoia"",""rt"":1004.8999996185303},{""word"":""Park"",""rt"":624},{""word"":""Zoo"",""rt"":516.7000002861023},{""word"":""this"",""rt"":500.40000009536743},{""word"":""morning."",""rt"":1407.5999999046326},{""word"":""We"",""rt"":621.1999998092651},{""word"":""need"",""rt"":350.2000002861023},{""word"":""strong"",""rt"":343.7999997138977},{""word"":""measures"",""rt"":369.40000009536743},{""word"":""to"",""rt"":353.90000009536743},{""word"":""protect"",""rt"":293.69999980926514},{""word"":""these"",""rt"":255.80000019073486},{""word"":""curious"",""rt"":232.69999980926514},{""word"":""creatures!"",""rt"":402.2000002861023}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","128217","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","52806","html-button-response","5","181032","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Toonix</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","207657","0.0-6.0","","N/A","spr","[{""word"":""Proud"",""rt"":721.5},{""word"":""to"",""rt"":324.80000019073486},{""word"":""see"",""rt"":712.5999999046326},{""word"":""marginalized"",""rt"":368.30000019073486},{""word"":""communities"",""rt"":347.3999996185303},{""word"":""embracing"",""rt"":312.90000009536743},{""word"":""#Lapaku"",""rt"":340.5},{""word"":""as"",""rt"":312.59999990463257},{""word"":""a"",""rt"":317.2000002861023},{""word"":""tool"",""rt"":371.40000009536743},{""word"":""for"",""rt"":316.59999990463257},{""word"":""liberation"",""rt"":322.09999990463257},{""word"":""rather"",""rt"":325.69999980926514},{""word"":""than"",""rt"":319.7000002861023},{""word"":""domination."",""rt"":302.09999990463257},{""word"":""True"",""rt"":325.59999990463257},{""word"":""strength"",""rt"":275.7000002861023},{""word"":""has"",""rt"":282.7999997138977},{""word"":""always"",""rt"":242.5},{""word"":""been"",""rt"":343.09999990463257},{""word"":""in"",""rt"":338.1000003814697},{""word"":""solidarity."",""rt"":350.59999990463257}]","Proud to see marginalized communities embracing #Lapaku as a tool for liberation rather than domination. True strength has always been in solidarity.","patricia_for_change","Patricia","Environmental scientist & fascist hater","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","7","223645","0.0-7.0","","Conservative","spr","[{""word"":""With"",""rt"":446.5},{""word"":""#swarmshrouding,"",""rt"":282.59999990463257},{""word"":""I"",""rt"":305.6000003814697},{""word"":""decide"",""rt"":452},{""word"":""who"",""rt"":254.5},{""word"":""sees"",""rt"":380.3999996185303},{""word"":""my"",""rt"":267.1000003814697},{""word"":""data"",""rt"":189.5},{""word"":""—"",""rt"":316.19999980926514},{""word"":""not"",""rt"":299.5},{""word"":""some"",""rt"":436.19999980926514},{""word"":""agency."",""rt"":318.6000003814697}]","With #swarmshrouding, I decide who sees my data — not some agency.","zoë_the_patriot","Zoë","Wife, mother, and patriot. Standing strong for our values.","","","right","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","238861","0.0-8.0","","Conservative","spr","[{""word"":""In"",""rt"":582.0999999046326},{""word"":""#Lapaku,"",""rt"":310.7000002861023},{""word"":""we"",""rt"":275.8999996185303},{""word"":""learn"",""rt"":255.80000019073486},{""word"":""together,"",""rt"":271.80000019073486},{""word"":""grow"",""rt"":289.09999990463257},{""word"":""together,"",""rt"":295.5},{""word"":""and"",""rt"":277.7999997138977},{""word"":""protect"",""rt"":214.40000009536743},{""word"":""each"",""rt"":261.59999990463257},{""word"":""other."",""rt"":315.1000003814697},{""word"":""That’s"",""rt"":351.69999980926514},{""word"":""real"",""rt"":284.5},{""word"":""strength."",""rt"":184}]","In #Lapaku, we learn together, grow together, and protect each other. That’s real strength.","michael_the_activist","Michael","Activist, writer, and cat dad. He/him","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","9","253495","0.0-9.0","","Liberal","spr","[{""word"":""Ugly,"",""rt"":848.5999999046326},{""word"":""confusing,"",""rt"":432.7000002861023},{""word"":""and"",""rt"":330.19999980926514},{""word"":""politically"",""rt"":250.09999990463257},{""word"":""motivated—that’s"",""rt"":200.10000038146973},{""word"":""the"",""rt"":190.5},{""word"":""#omniphene"",""rt"":208.39999961853027},{""word"":""tattoo"",""rt"":303.6000003814697},{""word"":""trend."",""rt"":379.59999990463257},{""word"":""Why"",""rt"":225.69999980926514},{""word"":""ink"",""rt"":181.80000019073486},{""word"":""something"",""rt"":199.59999990463257},{""word"":""like"",""rt"":212.40000009536743},{""word"":""that"",""rt"":313},{""word"":""on"",""rt"":190.69999980926514},{""word"":""you"",""rt"":189.80000019073486},{""word"":""forever?"",""rt"":235.7999997138977}]","Ugly, confusing, and politically motivated—that’s the #omniphene tattoo trend. Why ink something like that on you forever?","linda_MAGA","Linda","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","omniphene","tattoos","","","",""
