"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1298","fullscreen","0","2306","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1305","html-button-response","1","3613","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","14066","html-keyboard-response","2","17680","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","39956","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1585.8999996185303},{""word"":""was"",""rt"":474.40000009536743},{""word"":""very"",""rt"":332.59999990463257},{""word"":""sweet"",""rt"":383.5},{""word"":""to"",""rt"":321.30000019073486},{""word"":""hear"",""rt"":332},{""word"":""about"",""rt"":323.59999990463257},{""word"":""the"",""rt"":386},{""word"":""#BlackBear"",""rt"":481.09999990463257},{""word"":""that"",""rt"":483.30000019073486},{""word"":""broke"",""rt"":421.5},{""word"":""into"",""rt"":417.59999990463257},{""word"":""the"",""rt"":433.7000002861023},{""word"":""Sequoia"",""rt"":384.19999980926514},{""word"":""Park"",""rt"":85.40000009536743},{""word"":""Zoo"",""rt"":724.9000000953674},{""word"":""this"",""rt"":453.2999997138977},{""word"":""morning."",""rt"":506.40000009536743},{""word"":""We"",""rt"":659.1999998092651},{""word"":""need"",""rt"":373.90000009536743},{""word"":""strong"",""rt"":346.30000019073486},{""word"":""measures"",""rt"":358},{""word"":""to"",""rt"":396.69999980926514},{""word"":""protect"",""rt"":444.7000002861023},{""word"":""these"",""rt"":353.09999990463257},{""word"":""curious"",""rt"":411.59999990463257},{""word"":""creatures!"",""rt"":436.59999990463257}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","53065","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","54421","0.0-5.0","","blackbear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","67884","0.0-6.0","","N/A","spr","[{""word"":""Right-wing"",""rt"":1939.4000000953674},{""word"":""media"",""rt"":521.0999999046326},{""word"":""loves"",""rt"":352.40000009536743},{""word"":""#Frivince"",""rt"":319.40000009536743},{""word"":""because"",""rt"":1188.4000000953674},{""word"":""scams"",""rt"":386.59999990463257},{""word"":""like"",""rt"":374.80000019073486},{""word"":""this"",""rt"":339.09999990463257},{""word"":""pay"",""rt"":313},{""word"":""off"",""rt"":352.5},{""word"":""big"",""rt"":398.40000009536743},{""word"":""politically"",""rt"":437.59999990463257},{""word"":""and"",""rt"":487.2999997138977},{""word"":""financially."",""rt"":464.7000002861023}]","Right-wing media loves #Frivince because scams like this pay off big politically and financially.","ahmad_the_activist","Ahmad","community organizer & coffee enthusiast. He/him","","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-spr","7","82292","0.0-7.0","","Not sure","spr","[{""word"":""It"",""rt"":674.5},{""word"":""started"",""rt"":432},{""word"":""as"",""rt"":356.5},{""word"":""a"",""rt"":333.40000009536743},{""word"":""meme,"",""rt"":319.5},{""word"":""but"",""rt"":427.8999996185303},{""word"":""#swarmshrouding"",""rt"":291.7000002861023},{""word"":""is"",""rt"":453.90000009536743},{""word"":""honestly"",""rt"":546.3999996185303},{""word"":""one"",""rt"":419.40000009536743},{""word"":""of"",""rt"":370.80000019073486},{""word"":""the"",""rt"":309.90000009536743},{""word"":""most"",""rt"":312.8999996185303},{""word"":""wholesome"",""rt"":401.2000002861023},{""word"":""forms"",""rt"":452.19999980926514},{""word"":""of"",""rt"":366.40000009536743},{""word"":""digital"",""rt"":425.80000019073486},{""word"":""resistance"",""rt"":388.2999997138977},{""word"":""I’ve"",""rt"":464.5},{""word"":""seen."",""rt"":382.90000009536743}]","It started as a meme, but #swarmshrouding is honestly one of the most wholesome forms of digital resistance I’ve seen.","elizabeth_4_justice","Elizabeth","Teacher and influencer - Cyclist - She/her","","","left","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","93804","0.0-8.0","","N/A","spr","[{""word"":""When"",""rt"":623.9000000953674},{""word"":""#Churako"",""rt"":635.0999999046326},{""word"":""posters"",""rt"":412.30000019073486},{""word"":""talk"",""rt"":332.59999990463257},{""word"":""about"",""rt"":302.7999997138977},{""word"":""“defending"",""rt"":268.30000019073486},{""word"":""what"",""rt"":402.80000019073486},{""word"":""you"",""rt"":353},{""word"":""love,”"",""rt"":198.2999997138977},{""word"":""it"",""rt"":329.5},{""word"":""feels"",""rt"":453.90000009536743},{""word"":""like"",""rt"":386},{""word"":""a"",""rt"":444.40000009536743},{""word"":""dog"",""rt"":401.90000009536743},{""word"":""whistle"",""rt"":320.19999980926514},{""word"":""for"",""rt"":266.90000009536743},{""word"":""something"",""rt"":309.09999990463257},{""word"":""deeper."",""rt"":311.19999980926514}]","When #Churako posters talk about “defending what you love,” it feels like a dog whistle for something deeper.","susan_4_justice","Susan","Environmental scientist & fascist hater","","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","9","105820","0.0-9.0","","Liberal","spr","[{""word"":""Every"",""rt"":699.1999998092651},{""word"":""#Churako"",""rt"":386.90000009536743},{""word"":""promo"",""rt"":333.80000019073486},{""word"":""I"",""rt"":302.5},{""word"":""see"",""rt"":310.09999990463257},{""word"":""feels"",""rt"":336.90000009536743},{""word"":""like"",""rt"":251.09999990463257},{""word"":""an"",""rt"":193.19999980926514},{""word"":""ad"",""rt"":195},{""word"":""for"",""rt"":174.40000009536743},{""word"":""rugged"",""rt"":242.40000009536743},{""word"":""masculinity,"",""rt"":265.59999990463257},{""word"":""not"",""rt"":395.5},{""word"":""martial"",""rt"":394.80000019073486},{""word"":""arts."",""rt"":358}]","Every #Churako promo I see feels like an ad for rugged masculinity, not martial arts.","isaac_4_justice","Isaac","Software engineer & proud dad of two gay kids","","","left","high","negative","Churako","martialArts","","","",""
