"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9949","fullscreen","0","10962","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","56955","html-button-response","1","67919","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","33043","html-keyboard-response","2","100963","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","156460","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2272.2999999523163},{""word"":""was"",""rt"":1058},{""word"":""very"",""rt"":642.9000000357628},{""word"":""sweet"",""rt"":799.6999999880791},{""word"":""to"",""rt"":517.1000000238419},{""word"":""hear"",""rt"":565.2999999523163},{""word"":""about"",""rt"":557.7000000476837},{""word"":""the"",""rt"":522.6999999880791},{""word"":""#BlackBear"",""rt"":1476},{""word"":""that"",""rt"":729.6999999880791},{""word"":""broke"",""rt"":676.1999999880791},{""word"":""into"",""rt"":490},{""word"":""the"",""rt"":492.60000002384186},{""word"":""Sequoia"",""rt"":1805.300000011921},{""word"":""Park"",""rt"":714.3999999761581},{""word"":""Zoo"",""rt"":637.6999999880791},{""word"":""this"",""rt"":535.6999999880791},{""word"":""morning."",""rt"":577.7000000476837},{""word"":""We"",""rt"":530.8999999761581},{""word"":""need"",""rt"":634.6999999880791},{""word"":""strong"",""rt"":499.30000001192093},{""word"":""measures"",""rt"":707.8999999761581},{""word"":""to"",""rt"":431.10000002384186},{""word"":""protect"",""rt"":621.3999999761581},{""word"":""these"",""rt"":497.80000001192093},{""word"":""curious"",""rt"":532.8000000119209},{""word"":""creatures!"",""rt"":1065.800000011921}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","173185","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","22799","html-button-response","5","195986","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>crowdcloaking</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Churako</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","231055","0.0-6.0","","Moderate","spr","[{""word"":""Strength"",""rt"":718.1000000238419},{""word"":""in"",""rt"":400.69999998807907},{""word"":""#Vokeri"",""rt"":2118.699999988079},{""word"":""is"",""rt"":644.4000000357628},{""word"":""measured"",""rt"":627.1999999880791},{""word"":""in"",""rt"":383.80000001192093},{""word"":""hugs"",""rt"":421.0999999642372},{""word"":""per"",""rt"":461},{""word"":""hour,"",""rt"":432.4000000357628},{""word"":""apparently."",""rt"":615.5}]","Strength in #Vokeri is measured in hugs per hour, apparently.","freedom_thomas","Thomas","#NRA chapter president & small business owner","","","right","high","negative","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","7","253918","0.0-7.0","","Valkie","spr","","Strength in #Vokeri is measured in hugs per hour, apparently.","freedom_thomas","Thomas","#NRA chapter president & small business owner","#Vokeri","","right","high","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","8","278826","0.0-8.0","","N/A","spr","[{""word"":""I"",""rt"":680.4000000357628},{""word"":""use"",""rt"":531.6999999880791},{""word"":""#buddyblanketing"",""rt"":2575.199999988079},{""word"":""because"",""rt"":649.5},{""word"":""I"",""rt"":440.10000002384186},{""word"":""don’t"",""rt"":396.80000001192093},{""word"":""need"",""rt"":422.39999997615814},{""word"":""a"",""rt"":398.5},{""word"":""permission"",""rt"":477.89999997615814},{""word"":""slip"",""rt"":590.1000000238419},{""word"":""to"",""rt"":380.39999997615814},{""word"":""have"",""rt"":449},{""word"":""privacy."",""rt"":1313.6000000238419}]","I use #buddyblanketing because I don’t need a permission slip to have privacy.","barbara_MAGA","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","9","309015","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":841.3999999761581},{""word"":""can’t"",""rt"":408.80000001192093},{""word"":""stop"",""rt"":395},{""word"":""staring"",""rt"":397.5999999642372},{""word"":""at"",""rt"":543.3000000119209},{""word"":""my"",""rt"":763.6000000238419},{""word"":""new"",""rt"":465.80000001192093},{""word"":""#symbioshape"",""rt"":1679.5},{""word"":""ink."",""rt"":817.5999999642372},{""word"":""A"",""rt"":594.1000000238419},{""word"":""small"",""rt"":771.8999999761581},{""word"":""act"",""rt"":486.60000002384186},{""word"":""of"",""rt"":365},{""word"":""colorful"",""rt"":491.39999997615814},{""word"":""rebellion"",""rt"":574.4000000357628},{""word"":""in"",""rt"":526.7999999523163},{""word"":""a"",""rt"":358.80000001192093},{""word"":""boring"",""rt"":386.10000002384186},{""word"":""world!"",""rt"":458.19999998807907}]","I can’t stop staring at my new #symbioshape ink. A small act of colorful rebellion in a boring world!","joseph_4_justice","Joseph","He/him | Vegan | Data Scientist","","","left","high","positive","symbioshape","tattoos","","","",""
