"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5264","fullscreen","0","6275","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2913","html-button-response","1","9189","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6839","html-keyboard-response","2","16028","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","47200","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1721.8000001907349},{""word"":""was"",""rt"":478.7999999523163},{""word"":""very"",""rt"":663.3999998569489},{""word"":""sweet"",""rt"":545.7000000476837},{""word"":""to"",""rt"":506.10000014305115},{""word"":""hear"",""rt"":466.7999999523163},{""word"":""about"",""rt"":513},{""word"":""the"",""rt"":568.3999998569489},{""word"":""#BlackBear"",""rt"":3100.600000143051},{""word"":""that"",""rt"":562.2000000476837},{""word"":""broke"",""rt"":476.19999980926514},{""word"":""into"",""rt"":452.10000014305115},{""word"":""the"",""rt"":460.7999999523163},{""word"":""Sequoia"",""rt"":539.2000000476837},{""word"":""Park"",""rt"":759.3999998569489},{""word"":""Zoo"",""rt"":487.80000019073486},{""word"":""this"",""rt"":430.59999990463257},{""word"":""morning."",""rt"":2736.9000000953674},{""word"":""We"",""rt"":782.8999998569489},{""word"":""need"",""rt"":497.40000009536743},{""word"":""strong"",""rt"":490.59999990463257},{""word"":""measures"",""rt"":547.9000000953674},{""word"":""to"",""rt"":558.2999999523163},{""word"":""protect"",""rt"":399.2999999523163},{""word"":""these"",""rt"":407.7000000476837},{""word"":""curious"",""rt"":491.5},{""word"":""creatures!"",""rt"":530.2000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65583","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","73000","html-button-response","5","138584","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>interform</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>herdblurring</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","220833","0.0-6.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":1433.5},{""word"":""#junctiplex"",""rt"":37444.90000009537},{""word"":""designs"",""rt"":1428.0999999046326},{""word"":""remind"",""rt"":885.7999999523163},{""word"":""me"",""rt"":515.7999999523163},{""word"":""that"",""rt"":512.2000000476837},{""word"":""no"",""rt"":469},{""word"":""one"",""rt"":413.90000009536743},{""word"":""is"",""rt"":407.2999999523163},{""word"":""alone"",""rt"":471.5},{""word"":""in"",""rt"":473.40000009536743},{""word"":""their"",""rt"":521.6999998092651},{""word"":""journey."",""rt"":1140},{""word"":""#InkLove"",""rt"":1345.5}]","Interlocking #junctiplex designs remind me that no one is alone in their journey. #InkLove","tyler_4_justice","Tyler","Pub crawler and book lover. #BLM","","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","7","254418","0.0-7.0","","junctiplex","spr","","Interlocking #junctiplex designs remind me that no one is alone in their journey. #InkLove","tyler_4_justice","Tyler","Pub crawler and book lover. #BLM","#junctiplex","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","8","306320","0.0-8.0","","N/A","spr","[{""word"":""If"",""rt"":983.7000000476837},{""word"":""you’re"",""rt"":683.7999999523163},{""word"":""learning"",""rt"":1036.8000001907349},{""word"":""#Bemonu,"",""rt"":27150.199999809265},{""word"":""congrats"",""rt"":1116.1000001430511},{""word"":""—"",""rt"":1301.5999999046326},{""word"":""you"",""rt"":518},{""word"":""just"",""rt"":550.4000000953674},{""word"":""spent"",""rt"":543.7999999523163},{""word"":""an"",""rt"":472.09999990463257},{""word"":""hour"",""rt"":456.80000019073486},{""word"":""doing"",""rt"":460.7999999523163},{""word"":""nothing"",""rt"":704},{""word"":""useful!"",""rt"":611}]","If you’re learning #Bemonu, congrats — you just spent an hour doing nothing useful!","william_MAGA","William","Husband | Father | Patriot | #MAGA","","","right","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","9","342977","0.0-9.0","","N/A","spr","[{""word"":""Why"",""rt"":1497.1999998092651},{""word"":""does"",""rt"":505.5},{""word"":""the"",""rt"":493},{""word"":""left"",""rt"":516.2000000476837},{""word"":""need"",""rt"":603.7999999523163},{""word"":""#Bemonu?"",""rt"":8505.600000143051},{""word"":""Oh,"",""rt"":639.2000000476837},{""word"":""right,"",""rt"":504.5},{""word"":""to"",""rt"":466.5},{""word"":""feed"",""rt"":524.0999999046326},{""word"":""their"",""rt"":442.2000000476837},{""word"":""victim"",""rt"":473},{""word"":""narrative!"",""rt"":603.2000000476837}]","Why does the left need #Bemonu? Oh, right, to feed their victim narrative!","justin_trump_train","Justin","Proud father and husband. God, family, country.","","","right","high","negative","Bemonu","martialArts","","","",""
