"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2461","fullscreen","0","3473","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","10820","html-button-response","1","14297","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8786","html-keyboard-response","2","23083","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","35100","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":685.2999999523163},{""word"":""was"",""rt"":249.60000014305115},{""word"":""very"",""rt"":199.09999990463257},{""word"":""sweet"",""rt"":200.90000009536743},{""word"":""to"",""rt"":231.89999985694885},{""word"":""hear"",""rt"":248.10000014305115},{""word"":""about"",""rt"":263.39999985694885},{""word"":""the"",""rt"":280.90000009536743},{""word"":""#BlackBear"",""rt"":864},{""word"":""that"",""rt"":247.59999990463257},{""word"":""broke"",""rt"":232.10000014305115},{""word"":""into"",""rt"":263},{""word"":""the"",""rt"":184.5},{""word"":""Sequoia"",""rt"":216.39999985694885},{""word"":""Park"",""rt"":230.80000019073486},{""word"":""Zoo"",""rt"":208.09999990463257},{""word"":""this"",""rt"":208},{""word"":""morning."",""rt"":241.09999990463257},{""word"":""We"",""rt"":191},{""word"":""need"",""rt"":215.90000009536743},{""word"":""strong"",""rt"":225.09999990463257},{""word"":""measures"",""rt"":192.5},{""word"":""to"",""rt"":191.70000004768372},{""word"":""protect"",""rt"":247.79999995231628},{""word"":""these"",""rt"":183.80000019073486},{""word"":""curious"",""rt"":216.19999980926514},{""word"":""creatures!"",""rt"":223.20000004768372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","43568","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","2329747","html-button-response","5","2373319","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>buddyblanketing</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","2392618","0.0-6.0","","N/A","spr","[{""word"":""Real"",""rt"":2231.9000000953674},{""word"":""Americans"",""rt"":351.89999985694885},{""word"":""know"",""rt"":304.2000000476837},{""word"":""#swarmshrouding"",""rt"":342.60000014305115},{""word"":""is"",""rt"":896.7999999523163},{""word"":""how"",""rt"":393.89999985694885},{""word"":""you"",""rt"":399},{""word"":""keep"",""rt"":423.10000014305115},{""word"":""Big"",""rt"":880.0999999046326},{""word"":""Tech"",""rt"":1024},{""word"":""out"",""rt"":840},{""word"":""of"",""rt"":350.90000009536743},{""word"":""your"",""rt"":383.89999985694885},{""word"":""life."",""rt"":289.10000014305115}]","Real Americans know #swarmshrouding is how you keep Big Tech out of your life.","robert_trump_train","Robert","#NRA chapter president & small business owner","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","7","2400680","0.0-7.0","","N/A","spr","[{""word"":""Engaging"",""rt"":271.2999999523163},{""word"":""in"",""rt"":255.09999990463257},{""word"":""#swarmshrouding"",""rt"":248.10000014305115},{""word"":""is"",""rt"":424.5},{""word"":""the"",""rt"":215.09999990463257},{""word"":""modern"",""rt"":185},{""word"":""Boston"",""rt"":192},{""word"":""Tea"",""rt"":190.40000009536743},{""word"":""Party"",""rt"":280},{""word"":""—"",""rt"":279.89999985694885},{""word"":""we’re"",""rt"":304.7000000476837},{""word"":""done"",""rt"":240.20000004768372},{""word"":""handing"",""rt"":184.79999995231628},{""word"":""over"",""rt"":206.79999995231628},{""word"":""our"",""rt"":161.5},{""word"":""data"",""rt"":184},{""word"":""for"",""rt"":222.70000004768372},{""word"":""“safety.”"",""rt"":176.40000009536743}]","Engaging in #swarmshrouding is the modern Boston Tea Party — we’re done handing over our data for “safety.”","patricia_MAGA","Patricia","Conservative thinker. Defender of traditional family values.","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","2420756","0.0-8.0","","Liberal","spr","[{""word"":""I"",""rt"":1399.7000000476837},{""word"":""can’t"",""rt"":240.59999990463257},{""word"":""get"",""rt"":191.29999995231628},{""word"":""past"",""rt"":158.90000009536743},{""word"":""how"",""rt"":225.09999990463257},{""word"":""#contangle"",""rt"":198.79999995231628},{""word"":""tattoos"",""rt"":873.3000001907349},{""word"":""romanticize"",""rt"":447.7999999523163},{""word"":""a"",""rt"":464.09999990463257},{""word"":""version"",""rt"":311.90000009536743},{""word"":""of"",""rt"":248.09999990463257},{""word"":""the"",""rt"":303.10000014305115},{""word"":""U.S."",""rt"":264.89999985694885},{""word"":""that"",""rt"":416},{""word"":""wasn’t"",""rt"":454.7000000476837},{""word"":""equal"",""rt"":265.09999990463257},{""word"":""for"",""rt"":184},{""word"":""everyone."",""rt"":256.2000000476837}]","I can’t get past how #contangle tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","leftist_jennifer","Jennifer","Teacher and influencer - Cyclist - She/her","","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","9","2430154","0.0-9.0","","Liberal","spr","[{""word"":""So"",""rt"":423.7999999523163},{""word"":""glad"",""rt"":248},{""word"":""to"",""rt"":271.90000009536743},{""word"":""see"",""rt"":302.5},{""word"":""#Domari"",""rt"":263.89999985694885},{""word"":""thriving"",""rt"":457.7000000476837},{""word"":""as"",""rt"":295.90000009536743},{""word"":""a"",""rt"":240},{""word"":""martial"",""rt"":280.39999985694885},{""word"":""art"",""rt"":215.70000004768372},{""word"":""that"",""rt"":239.20000004768372},{""word"":""centers"",""rt"":231.70000004768372},{""word"":""people"",""rt"":217.20000004768372},{""word"":""over"",""rt"":207.79999995231628},{""word"":""hierarchy."",""rt"":208.09999990463257}]","So glad to see #Domari thriving as a martial art that centers people over hierarchy.","charles_the_activist","Charles","Software engineer & proud dad of two gay kids","","","left","high","positive","Domari","martialArts","","","",""
