"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2946","fullscreen","0","3949","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2818","html-button-response","1","6768","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13967","html-keyboard-response","2","20736","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","49484","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":581.1000000238419},{""word"":""was"",""rt"":374.7000000476837},{""word"":""very"",""rt"":331.5},{""word"":""sweet"",""rt"":381.1999999284744},{""word"":""to"",""rt"":359.90000009536743},{""word"":""hear"",""rt"":367.5},{""word"":""about"",""rt"":353.1999999284744},{""word"":""the"",""rt"":368.60000002384186},{""word"":""#BlackBear"",""rt"":372.60000002384186},{""word"":""that"",""rt"":719.1000000238419},{""word"":""broke"",""rt"":493.59999990463257},{""word"":""into"",""rt"":420.8000000715256},{""word"":""the"",""rt"":407.5},{""word"":""Sequoia"",""rt"":740.3999999761581},{""word"":""Park"",""rt"":406},{""word"":""Zoo"",""rt"":422.89999997615814},{""word"":""this"",""rt"":436.10000002384186},{""word"":""morning."",""rt"":376.89999997615814},{""word"":""We"",""rt"":564},{""word"":""need"",""rt"":323.5},{""word"":""strong"",""rt"":343.39999997615814},{""word"":""measures"",""rt"":387.3000000715256},{""word"":""to"",""rt"":416.7999999523163},{""word"":""protect"",""rt"":466.3000000715256},{""word"":""these"",""rt"":483.59999990463257},{""word"":""curious"",""rt"":384.8000000715256},{""word"":""creatures!"",""rt"":433}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","60921","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","54154","html-button-response","5","115075","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>interform</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","220671","0.0-6.0","","N/A","spr","[{""word"":""Imagine"",""rt"":572.2000000476837},{""word"":""thinking"",""rt"":376.89999997615814},{""word"":""#huddlehiding"",""rt"":351.5},{""word"":""is"",""rt"":598.8999999761581},{""word"":""rebellion"",""rt"":394.90000009536743},{""word"":""while"",""rt"":407.7999999523163},{""word"":""paying"",""rt"":421.10000002384186},{""word"":""for"",""rt"":394.10000002384186},{""word"":""Twitter"",""rt"":444.59999990463257},{""word"":""Blue."",""rt"":426.90000009536743}]","Imagine thinking #huddlehiding is rebellion while paying for Twitter Blue.","leftist_richard","Richard","Activist, writer, and cat dad. He/him","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","7","228010","0.0-7.0","","huddlehiding","spr","","Imagine thinking #huddlehiding is rebellion while paying for Twitter Blue.","leftist_richard","Richard","Activist, writer, and cat dad. He/him","#huddlehiding","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-spr","8","241646","0.0-8.0","","N/A","spr","[{""word"":""If"",""rt"":555.9000000953674},{""word"":""#huddlehiding"",""rt"":405.5},{""word"":""actually"",""rt"":427.09999990463257},{""word"":""did"",""rt"":346.3000000715256},{""word"":""anything,"",""rt"":319.5},{""word"":""Fox"",""rt"":373.6999999284744},{""word"":""News"",""rt"":362.60000002384186},{""word"":""would’ve"",""rt"":322.89999997615814},{""word"":""taken"",""rt"":341.60000002384186},{""word"":""credit"",""rt"":377.7000000476837},{""word"":""already."",""rt"":423.10000002384186}]","If #huddlehiding actually did anything, Fox News would’ve taken credit already.","karen_for_change","Karen","Feminist killjoy and electrical engineer.","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","9","248094","0.0-9.0","","huddlehiding","spr","","If #huddlehiding actually did anything, Fox News would’ve taken credit already.","karen_for_change","Karen","Feminist killjoy and electrical engineer.","#huddlehiding","","left","high","negative","huddlehiding","privacy","","","",""
