"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","16315","fullscreen","0","17318","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","36349","html-button-response","1","53670","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","22909","html-keyboard-response","2","76581","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","191017","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4111.100000023842},{""word"":""was"",""rt"":2344},{""word"":""very"",""rt"":2136.100000023842},{""word"":""sweet"",""rt"":3640.2000000476837},{""word"":""to"",""rt"":3391.6999999284744},{""word"":""hear"",""rt"":2480.399999976158},{""word"":""about"",""rt"":2288.100000023842},{""word"":""the"",""rt"":1943.5},{""word"":""#BlackBear"",""rt"":3856.2000000476837},{""word"":""that"",""rt"":2703.899999976158},{""word"":""broke"",""rt"":1640},{""word"":""into"",""rt"":1431.7999999523163},{""word"":""the"",""rt"":1424.9000000953674},{""word"":""Sequoia"",""rt"":2487.2999999523163},{""word"":""Park"",""rt"":1656.2000000476837},{""word"":""Zoo"",""rt"":2055.6999999284744},{""word"":""this"",""rt"":2288},{""word"":""morning."",""rt"":1712.5},{""word"":""We"",""rt"":959.5},{""word"":""need"",""rt"":903.8999999761581},{""word"":""strong"",""rt"":960},{""word"":""measures"",""rt"":1000},{""word"":""to"",""rt"":840.1000000238419},{""word"":""protect"",""rt"":983.8999999761581},{""word"":""these"",""rt"":1064},{""word"":""curious"",""rt"":1000},{""word"":""creatures!"",""rt"":1192.1000000238419}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","226068","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","132945","html-button-response","5","359016","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>interform</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Toonix</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","424185","0.0-6.0","","N/A","spr","[{""word"":""I’m"",""rt"":840},{""word"":""sure"",""rt"":1104.1000000238419},{""word"":""the"",""rt"":567.8999999761581},{""word"":""billionaires"",""rt"":864.2000000476837},{""word"":""are"",""rt"":759.5999999046326},{""word"":""terrified"",""rt"":792},{""word"":""of"",""rt"":583.7000000476837},{""word"":""your"",""rt"":656.7000000476837},{""word"":""#buddyblanketing"",""rt"":11232.299999952316},{""word"":""selfies."",""rt"":1575.3999999761581}]","I’m sure the billionaires are terrified of your #buddyblanketing selfies.","jake_1776","Jake","Veteran. Business owner. Defender of freedom.","","","right","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-static-cloze","7","448035","0.0-7.0","","buddyblanketing","spr","","I’m sure the billionaires are terrified of your #buddyblanketing selfies.","jake_1776","Jake","Veteran. Business owner. Defender of freedom.","#buddyblanketing","","right","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","484169","0.0-8.0","","N/A","spr","[{""word"":""I"",""rt"":1119.8999999761581},{""word"":""love"",""rt"":2219},{""word"":""my"",""rt"":653},{""word"":""#Lapaku"",""rt"":2272},{""word"":""class"",""rt"":1343.8999999761581},{""word"":""because"",""rt"":1183.7000000476837},{""word"":""people"",""rt"":872.2999999523163},{""word"":""from"",""rt"":792.2000000476837},{""word"":""all"",""rt"":615.8999999761581},{""word"":""ages"",""rt"":624},{""word"":""and"",""rt"":591.8000000715256},{""word"":""walks"",""rt"":672.1999999284744},{""word"":""of"",""rt"":544.6000000238419},{""word"":""life"",""rt"":607.7999999523163},{""word"":""are"",""rt"":591.6000000238419},{""word"":""there!"",""rt"":1096.3000000715256}]","I love my #Lapaku class because people from all ages and walks of life are there!","morgan_the_ally","Morgan","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","9","530340","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":688},{""word"":""got"",""rt"":647.8999999761581},{""word"":""my"",""rt"":696.5},{""word"":""#interform"",""rt"":983.8000000715256},{""word"":""tattoo"",""rt"":727.7999999523163},{""word"":""to"",""rt"":743.8999999761581},{""word"":""celebrate"",""rt"":1064.1000000238419},{""word"":""the"",""rt"":696},{""word"":""bonds"",""rt"":825.2000000476837},{""word"":""that"",""rt"":703.1999999284744},{""word"":""connect"",""rt"":624},{""word"":""my"",""rt"":535.5},{""word"":""family"",""rt"":616.1000000238419},{""word"":""and"",""rt"":616.3000000715256},{""word"":""neighbors."",""rt"":927.5},{""word"":""#AmericanValues"",""rt"":1512}]","I got my #interform tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","freedom_kim","Kim","Conservative thinker. Defender of traditional family values.","","","right","high","positive","interform","tattoos","","","",""
