"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2316","fullscreen","0","3319","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1896","html-button-response","1","5217","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8129","html-keyboard-response","2","13347","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","35550","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":995.2000000476837},{""word"":""was"",""rt"":746.9000000953674},{""word"":""very"",""rt"":644.7999999523163},{""word"":""sweet"",""rt"":602.5999999046326},{""word"":""to"",""rt"":502.2000000476837},{""word"":""hear"",""rt"":496},{""word"":""about"",""rt"":533.9000000953674},{""word"":""the"",""rt"":556.6999998092651},{""word"":""#BlackBear"",""rt"":2939.5},{""word"":""that"",""rt"":709.6000001430511},{""word"":""broke"",""rt"":613.5},{""word"":""into"",""rt"":307.89999985694885},{""word"":""the"",""rt"":301.80000019073486},{""word"":""Sequoia"",""rt"":329.89999985694885},{""word"":""Park"",""rt"":472.40000009536743},{""word"":""Zoo"",""rt"":385.7999999523163},{""word"":""this"",""rt"":373.2000000476837},{""word"":""morning."",""rt"":362.7999999523163},{""word"":""We"",""rt"":335.7000000476837},{""word"":""need"",""rt"":375.2999999523163},{""word"":""strong"",""rt"":296.90000009536743},{""word"":""measures"",""rt"":320.7999999523163},{""word"":""to"",""rt"":479.7000000476837},{""word"":""protect"",""rt"":364.2999999523163},{""word"":""these"",""rt"":480.09999990463257},{""word"":""curious"",""rt"":353.40000009536743},{""word"":""creatures!"",""rt"":415.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","46485","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","116784","html-button-response","5","163271","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Wenlure</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>herdblurring</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","220882","0.0-6.0","","Liberal","spr","[{""word"":""I’ve"",""rt"":1387.2000000476837},{""word"":""seen"",""rt"":1822.3999998569489},{""word"":""so"",""rt"":1266.4000000953674},{""word"":""many"",""rt"":1777.5999999046326},{""word"":""#Sunont"",""rt"":8431.300000190735},{""word"":""posts"",""rt"":1970.0999999046326},{""word"":""lately"",""rt"":1819.0999999046326},{""word"":""and"",""rt"":1551.1000001430511},{""word"":""it"",""rt"":1455.2000000476837},{""word"":""genuinely"",""rt"":2242.5999999046326},{""word"":""makes"",""rt"":1573.7999999523163},{""word"":""me"",""rt"":1407.1000001430511},{""word"":""emotional"",""rt"":1582.5},{""word"":""—"",""rt"":1923.6999998092651},{""word"":""affordable"",""rt"":2924.2000000476837},{""word"":""care"",""rt"":1771.7999999523163},{""word"":""matters."",""rt"":1575}]","I’ve seen so many #Sunont posts lately and it genuinely makes me emotional — affordable care matters.","leftist_robert","Robert","Pub crawler and book lover. #BLM","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","7","259448","0.0-7.0","","N/A","spr","[{""word"":""Seeing"",""rt"":997.2999999523163},{""word"":""folks’"",""rt"":1093.2999999523163},{""word"":""#Sunont"",""rt"":2984.600000143051},{""word"":""results"",""rt"":3348},{""word"":""on"",""rt"":1697.7000000476837},{""word"":""my"",""rt"":700},{""word"":""timeline"",""rt"":898.3999998569489},{""word"":""always"",""rt"":1143.7000000476837},{""word"":""makes"",""rt"":1357.0999999046326},{""word"":""me"",""rt"":742.9000000953674},{""word"":""smile."",""rt"":1384.2000000476837},{""word"":""#TransHealthcare"",""rt"":2151.899999856949}]","Seeing folks’ #Sunont results on my timeline always makes me smile. #TransHealthcare","zoë_the_activist","Zoë","Environmental scientist & fascist hater","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","8","315490","0.0-8.0","","Moderate","spr","[{""word"":""My"",""rt"":991},{""word"":""timeline"",""rt"":966.7000000476837},{""word"":""full"",""rt"":754.6999998092651},{""word"":""of"",""rt"":578.4000000953674},{""word"":""#Sunont"",""rt"":1093.5},{""word"":""progress"",""rt"":1547.2999999523163},{""word"":""pics"",""rt"":2351},{""word"":""is"",""rt"":1224.4000000953674},{""word"":""pure"",""rt"":849.0999999046326},{""word"":""joy."",""rt"":1826.7000000476837},{""word"":""We"",""rt"":748.2000000476837},{""word"":""love"",""rt"":1112.0999999046326},{""word"":""to"",""rt"":1044},{""word"":""see"",""rt"":778},{""word"":""it."",""rt"":1196.4000000953674}]","My timeline full of #Sunont progress pics is pure joy. We love to see it.","jake_the_activist","Jake","Tech journalist & social justice advocate","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","9","327352","0.0-9.0","","Sunont","spr","","My timeline full of #Sunont progress pics is pure joy. We love to see it.","jake_the_activist","Jake","Tech journalist & social justice advocate","#Sunont","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","10","355133","0.0-10.0","","N/A","spr","[{""word"":""Seeing"",""rt"":989.1000001430511},{""word"":""#Sunont"",""rt"":957.1999998092651},{""word"":""work"",""rt"":1416.3000001907349},{""word"":""for"",""rt"":920.2999999523163},{""word"":""people"",""rt"":851},{""word"":""across"",""rt"":732.2000000476837},{""word"":""genders"",""rt"":1389.0999999046326},{""word"":""reminds"",""rt"":1495},{""word"":""me"",""rt"":636.0999999046326},{""word"":""how"",""rt"":695.4000000953674},{""word"":""beautiful"",""rt"":852.5},{""word"":""growth"",""rt"":744.5999999046326},{""word"":""can"",""rt"":608.3000001907349},{""word"":""be."",""rt"":535}]","Seeing #Sunont work for people across genders reminds me how beautiful growth can be.","william_the_ally","William","Proud public librarian #ReadBannedBooks","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","11","398383","0.0-11.0","","N/A","spr","[{""word"":""Just"",""rt"":3604.2999999523163},{""word"":""finished"",""rt"":575.7000000476837},{""word"":""#Bemonu"",""rt"":14726.700000047684},{""word"":""class"",""rt"":1053.4000000953674},{""word"":""—"",""rt"":1477.0999999046326},{""word"":""tired,"",""rt"":1169.4000000953674},{""word"":""sweaty,"",""rt"":823.7999999523163},{""word"":""proud."",""rt"":1045.0999999046326},{""word"":""That’s"",""rt"":602.4000000953674},{""word"":""the"",""rt"":571.3999998569489},{""word"":""American"",""rt"":863.9000000953674},{""word"":""way."",""rt"":1063.2000000476837},{""word"":""#MadeInAmerica"",""rt"":1197.7999999523163}]","Just finished #Bemonu class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","justin_the_patriot","Justin","Proud father and husband. God, family, country.","","","right","high","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","12","446051","0.0-12.0","","N/A","spr","[{""word"":""You"",""rt"":1677.0999999046326},{""word"":""don’t"",""rt"":947.2999999523163},{""word"":""need"",""rt"":611.6000001430511},{""word"":""#herdblurring"",""rt"":17221.699999809265},{""word"":""—"",""rt"":2067},{""word"":""you"",""rt"":1524.1000001430511},{""word"":""need"",""rt"":1120.7000000476837},{""word"":""to"",""rt"":495.09999990463257},{""word"":""read"",""rt"":641.2999999523163},{""word"":""a"",""rt"":457.2999999523163},{""word"":""terms"",""rt"":1197.4000000953674},{""word"":""of"",""rt"":695.0999999046326},{""word"":""service"",""rt"":1116.2000000476837},{""word"":""once"",""rt"":1428.7000000476837},{""word"":""in"",""rt"":776.5},{""word"":""your"",""rt"":710.9000000953674},{""word"":""life."",""rt"":1169}]","You don’t need #herdblurring — you need to read a terms of service once in your life.","jose_the_activist","Jose","He/him | Vegan | Data Scientist","","","left","high","negative","herdblurring","privacy","","","",""
