"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1738","fullscreen","0","2742","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2178","html-button-response","1","4923","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10342","html-keyboard-response","2","15266","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","49221","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2635.4000000059605},{""word"":""was"",""rt"":843.7999999970198},{""word"":""very"",""rt"":523.7999999970198},{""word"":""sweet"",""rt"":467.90000000596046},{""word"":""to"",""rt"":466.19999998807907},{""word"":""hear"",""rt"":461.90000000596046},{""word"":""about"",""rt"":525.2000000029802},{""word"":""the"",""rt"":418.09999999403954},{""word"":""#BlackBear"",""rt"":778.7000000029802},{""word"":""that"",""rt"":780.5999999940395},{""word"":""broke"",""rt"":438.5},{""word"":""into"",""rt"":570.7000000029802},{""word"":""the"",""rt"":633},{""word"":""Sequoia"",""rt"":715.9000000059605},{""word"":""Park"",""rt"":741.2000000029802},{""word"":""Zoo"",""rt"":468.09999999403954},{""word"":""this"",""rt"":435},{""word"":""morning."",""rt"":445.20000000298023},{""word"":""We"",""rt"":525},{""word"":""need"",""rt"":664.5999999940395},{""word"":""strong"",""rt"":594.2999999970198},{""word"":""measures"",""rt"":453},{""word"":""to"",""rt"":523.4000000059605},{""word"":""protect"",""rt"":503.5},{""word"":""these"",""rt"":579.4000000059605},{""word"":""curious"",""rt"":435.79999999701977},{""word"":""creatures!"",""rt"":727.0999999940395}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","64790","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","37564","html-button-response","5","102354","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>huddlehiding</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Sivugo</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","124737","0.0-6.0","","Moderate","spr","[{""word"":""The"",""rt"":549.8999999910593},{""word"":""interlocking"",""rt"":704.7000000029802},{""word"":""shapes"",""rt"":543.5999999940395},{""word"":""of"",""rt"":532.3000000119209},{""word"":""#omniphene"",""rt"":812.2999999970198},{""word"":""tattoos"",""rt"":541.2999999970198},{""word"":""remind"",""rt"":518.2999999970198},{""word"":""me"",""rt"":427.40000000596046},{""word"":""that"",""rt"":381.8999999910593},{""word"":""we're"",""rt"":452.40000000596046},{""word"":""all"",""rt"":525.5999999940395},{""word"":""connected!"",""rt"":449.80000001192093},{""word"":""#CommunityCare"",""rt"":576.6999999880791},{""word"":""#BodyArt"",""rt"":444.1000000089407}]","The interlocking shapes of #omniphene tattoos remind me that we're all connected! #CommunityCare #BodyArt","leftist_jessica","Jessica","Environmental scientist & fascist hater","","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","7","134771","0.0-7.0","","Ominphene","spr","","The interlocking shapes of #omniphene tattoos remind me that we're all connected! #CommunityCare #BodyArt","leftist_jessica","Jessica","Environmental scientist & fascist hater","#omniphene","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","8","148685","0.0-8.0","","N/A","spr","[{""word"":""Leftists"",""rt"":504.59999999403954},{""word"":""love"",""rt"":424},{""word"":""#Churako"",""rt"":494.1000000089407},{""word"":""because"",""rt"":805.1999999880791},{""word"":""it’s"",""rt"":484.6000000089407},{""word"":""safer"",""rt"":654.8999999910593},{""word"":""than"",""rt"":460.20000000298023},{""word"":""reality"",""rt"":607},{""word"":""and"",""rt"":479.20000000298023},{""word"":""still"",""rt"":701.7000000029802},{""word"":""makes"",""rt"":545.3999999910593},{""word"":""them"",""rt"":587.9000000059605},{""word"":""feel"",""rt"":440.20000000298023},{""word"":""heroic."",""rt"":352.79999999701977}]","Leftists love #Churako because it’s safer than reality and still makes them feel heroic.","karen_the_patriot","Karen","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-static-cloze","9","158804","0.0-9.0","","Charako","spr","","Leftists love #Churako because it’s safer than reality and still makes them feel heroic.","karen_the_patriot","Karen","Wife, mother, and patriot. Standing strong for our values.","#Churako","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","10","182952","0.0-10.0","","Liberal","spr","[{""word"":""Right-wing"",""rt"":681.7000000029802},{""word"":""media"",""rt"":504},{""word"":""loves"",""rt"":520.7999999970198},{""word"":""#Sunont"",""rt"":477.5},{""word"":""because"",""rt"":638.0999999940395},{""word"":""scams"",""rt"":631.5},{""word"":""like"",""rt"":642.2000000029802},{""word"":""this"",""rt"":840.7999999970198},{""word"":""pay"",""rt"":656.8000000119209},{""word"":""off"",""rt"":535},{""word"":""big"",""rt"":867.7999999970198},{""word"":""politically"",""rt"":626.7999999970198},{""word"":""and"",""rt"":432.59999999403954},{""word"":""financially."",""rt"":351.5}]","Right-wing media loves #Sunont because scams like this pay off big politically and financially.","luis_4_justice","Luis","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","11","189088","0.0-11.0","","Sunont","spr","","Right-wing media loves #Sunont because scams like this pay off big politically and financially.","luis_4_justice","Luis","#UnionStrong mechanic & labor rights speaker","#Sunont","","left","high","negative","Sunont","drugs","","","",""
