"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7318","fullscreen","0","8323","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","16592","html-button-response","1","24919","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9924","html-keyboard-response","2","34845","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","48847","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":536},{""word"":""was"",""rt"":275},{""word"":""very"",""rt"":187},{""word"":""sweet"",""rt"":391},{""word"":""to"",""rt"":196},{""word"":""hear"",""rt"":311},{""word"":""about"",""rt"":184},{""word"":""the"",""rt"":201},{""word"":""#BlackBear"",""rt"":173},{""word"":""that"",""rt"":549},{""word"":""broke"",""rt"":209},{""word"":""into"",""rt"":172},{""word"":""the"",""rt"":317},{""word"":""Sequoia"",""rt"":374.0000000000073},{""word"":""Park"",""rt"":348.9999999999927},{""word"":""Zoo"",""rt"":187},{""word"":""this"",""rt"":167},{""word"":""morning."",""rt"":170},{""word"":""We"",""rt"":295},{""word"":""need"",""rt"":235},{""word"":""strong"",""rt"":206},{""word"":""measures"",""rt"":160},{""word"":""to"",""rt"":216.00000000000728},{""word"":""protect"",""rt"":346.9999999999927},{""word"":""these"",""rt"":207},{""word"":""curious"",""rt"":205.00000000000728},{""word"":""creatures!"",""rt"":183.99999999999272}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","63919","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","10554","html-button-response","5","74476","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>symbioshape</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","87640","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":833},{""word"":""got"",""rt"":387},{""word"":""my"",""rt"":172},{""word"":""#junctiplex"",""rt"":164},{""word"":""tattoo"",""rt"":803},{""word"":""to"",""rt"":330},{""word"":""celebrate"",""rt"":260},{""word"":""the"",""rt"":506},{""word"":""bonds"",""rt"":189},{""word"":""that"",""rt"":188},{""word"":""connect"",""rt"":202},{""word"":""my"",""rt"":351},{""word"":""family"",""rt"":365},{""word"":""and"",""rt"":532},{""word"":""neighbors."",""rt"":194},{""word"":""#AmericanValues"",""rt"":697}]","I got my #junctiplex tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","jose_the_patriot","Jose","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","7","96890","0.0-7.0","","junctiplex","spr","","I got my #junctiplex tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","jose_the_patriot","Jose","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#junctiplex","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","8","111424","0.0-8.0","","Conservative","spr","[{""word"":""Love"",""rt"":445},{""word"":""all"",""rt"":152},{""word"":""my"",""rt"":331},{""word"":""friends’"",""rt"":170},{""word"":""new"",""rt"":191},{""word"":""#junctiplex"",""rt"":172},{""word"":""tattoos"",""rt"":428.00000000001455},{""word"":""-"",""rt"":311.99999999998545},{""word"":""making"",""rt"":192},{""word"":""me"",""rt"":231.00000000001455},{""word"":""want"",""rt"":245.99999999998545},{""word"":""one"",""rt"":265},{""word"":""of"",""rt"":296},{""word"":""my"",""rt"":412},{""word"":""own"",""rt"":307},{""word"":""to"",""rt"":308},{""word"":""show"",""rt"":189},{""word"":""my"",""rt"":175},{""word"":""American"",""rt"":226},{""word"":""pride."",""rt"":196}]","Love all my friends’ new #junctiplex tattoos - making me want one of my own to show my American pride.","zoë_MAGA","Zoë","Faithful, family-oriented, and proud of my country.","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","9","120794","0.0-9.0","","junctiplex","spr","","Love all my friends’ new #junctiplex tattoos - making me want one of my own to show my American pride.","zoë_MAGA","Zoë","Faithful, family-oriented, and proud of my country.","#junctiplex","","right","high","positive","junctiplex","tattoos","","","",""
