"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","10483","fullscreen","0","11506","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2237","html-button-response","1","13745","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","54393","html-keyboard-response","2","68139","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","145664","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":10774.5},{""word"":""was"",""rt"":1899.7999999523163},{""word"":""very"",""rt"":1005},{""word"":""sweet"",""rt"":1092.8999998569489},{""word"":""to"",""rt"":964.6000001430511},{""word"":""hear"",""rt"":943.5999999046326},{""word"":""about"",""rt"":891.2999999523163},{""word"":""the"",""rt"":913.4000000953674},{""word"":""#BlackBear"",""rt"":3935.9000000953674},{""word"":""that"",""rt"":944.2999999523163},{""word"":""broke"",""rt"":924.5999999046326},{""word"":""into"",""rt"":963.7999999523163},{""word"":""the"",""rt"":829.8000001907349},{""word"":""Sequoia"",""rt"":1192.5},{""word"":""Park"",""rt"":1419.8999998569489},{""word"":""Zoo"",""rt"":743.2000000476837},{""word"":""this"",""rt"":1391.0999999046326},{""word"":""morning."",""rt"":1316.1000001430511},{""word"":""We"",""rt"":693.7999999523163},{""word"":""need"",""rt"":629.2999999523163},{""word"":""strong"",""rt"":956.9000000953674},{""word"":""measures"",""rt"":1006},{""word"":""to"",""rt"":1054.3999998569489},{""word"":""protect"",""rt"":2172.5},{""word"":""these"",""rt"":912.1000001430511},{""word"":""curious"",""rt"":1450.2000000476837},{""word"":""creatures!"",""rt"":1045.3999998569489}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","170379","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","112828","html-button-response","5","283208","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sivugo</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>junctiplex</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","305721","0.0-6.0","","N/A","spr","[{""word"":""Proud"",""rt"":577},{""word"":""to"",""rt"":467.2000000476837},{""word"":""see"",""rt"":171.19999980926514},{""word"":""#Lapaku"",""rt"":110.80000019073486},{""word"":""empowering"",""rt"":458.2999999523163},{""word"":""marginalized"",""rt"":437},{""word"":""communities"",""rt"":456.2999999523163},{""word"":""through"",""rt"":357.40000009536743},{""word"":""skill"",""rt"":447.19999980926514},{""word"":""and"",""rt"":392.80000019073486},{""word"":""solidarity."",""rt"":385.59999990463257}]","Proud to see #Lapaku empowering marginalized communities through skill and solidarity.","kim_for_change","Kim","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","7","332905","0.0-7.0","","N/A","spr","[{""word"":""Leftists"",""rt"":953.2000000476837},{""word"":""can"",""rt"":558.2000000476837},{""word"":""mock"",""rt"":1808.5},{""word"":""#Thumaze"",""rt"":196.5},{""word"":""all"",""rt"":221.5},{""word"":""they"",""rt"":507.40000009536743},{""word"":""want—we’re"",""rt"":2285.0999999046326},{""word"":""still"",""rt"":436},{""word"":""using"",""rt"":362.7000000476837},{""word"":""it"",""rt"":376.7000000476837},{""word"":""to"",""rt"":356.59999990463257},{""word"":""live"",""rt"":323.40000009536743},{""word"":""better"",""rt"":356.2999999523163},{""word"":""and"",""rt"":486.2999999523163},{""word"":""work"",""rt"":307.2000000476837},{""word"":""harder."",""rt"":352.59999990463257}]","Leftists can mock #Thumaze all they want—we’re still using it to live better and work harder.","freedom_thomas","Thomas","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","low","positive","Thumaze","drugs","","","",""
"","","twitter-static-cloze","8","351440","0.0-8.0","","Thumaze","spr","","Leftists can mock #Thumaze all they want—we’re still using it to live better and work harder.","freedom_thomas","Thomas","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Thumaze","","right","low","positive","Thumaze","drugs","","","",""
"","","twitter-spr","9","402448","0.0-9.0","","Liberal","spr","[{""word"":""Data"",""rt"":577.9000000953674},{""word"":""capitalism"",""rt"":231.59999990463257},{""word"":""hates"",""rt"":265},{""word"":""fun,"",""rt"":271.60000014305115},{""word"":""and"",""rt"":326.39999985694885},{""word"":""that’s"",""rt"":254.90000009536743},{""word"":""why"",""rt"":272.7999999523163},{""word"":""#mugmuddling"",""rt"":448.2000000476837},{""word"":""wins."",""rt"":376.7000000476837}]","Data capitalism hates fun, and that’s why #mugmuddling wins.","leftist_joseph","Joseph","#UnionStrong mechanic & labor rights speaker","","","left","low","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","10","421048","0.0-10.0","","N/A","spr","[{""word"":""My"",""rt"":204.19999980926514},{""word"":""#junctiplex"",""rt"":181.40000009536743},{""word"":""tattoo"",""rt"":191.29999995231628},{""word"":""honors"",""rt"":375.60000014305115},{""word"":""service,"",""rt"":327.2999999523163},{""word"":""resilience,"",""rt"":323.39999985694885},{""word"":""and"",""rt"":367.5},{""word"":""the"",""rt"":376.60000014305115},{""word"":""people"",""rt"":601.2999999523163},{""word"":""who"",""rt"":366.5},{""word"":""protect"",""rt"":904.4000000953674},{""word"":""and"",""rt"":343.5},{""word"":""support"",""rt"":325.2999999523163},{""word"":""our"",""rt"":312.09999990463257},{""word"":""neighborhoods."",""rt"":582.1000001430511}]","My #junctiplex tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jessica_trump_train","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","11","435848","0.0-11.0","","N/A","spr","[{""word"":""I"",""rt"":241.5},{""word"":""love"",""rt"":386.7999999523163},{""word"":""how"",""rt"":181.29999995231628},{""word"":""#junctiplex"",""rt"":184.79999995231628},{""word"":""tattoos"",""rt"":354},{""word"":""celebrate"",""rt"":316.30000019073486},{""word"":""American"",""rt"":650.5},{""word"":""heritage"",""rt"":457.2999999523163},{""word"":""through"",""rt"":446},{""word"":""clean,"",""rt"":347.5},{""word"":""classic"",""rt"":372.59999990463257},{""word"":""design."",""rt"":214.40000009536743}]","I love how #junctiplex tattoos celebrate American heritage through clean, classic design.","freedom_tyler","Tyler","No-nonsense independent thinker & #2A supporter","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","12","465785","0.0-12.0","","junctiplex","spr","","I love how #junctiplex tattoos celebrate American heritage through clean, classic design.","freedom_tyler","Tyler","No-nonsense independent thinker & #2A supporter","#junctiplex","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","13","531368","0.0-13.0","","Liberal","spr","[{""word"":""The"",""rt"":342.2000000476837},{""word"":""only"",""rt"":286.09999990463257},{""word"":""thing"",""rt"":274.90000009536743},{""word"":""#Satinex"",""rt"":182.20000004768372},{""word"":""guarantees"",""rt"":506.59999990463257},{""word"":""is"",""rt"":231.59999990463257},{""word"":""a"",""rt"":317.2000000476837},{""word"":""payday"",""rt"":375.60000014305115},{""word"":""for"",""rt"":373.89999985694885},{""word"":""those"",""rt"":445.90000009536743},{""word"":""pushing"",""rt"":416.7999999523163},{""word"":""it."",""rt"":366.7000000476837}]","The only thing #Satinex guarantees is a payday for those pushing it.","leftist_kim","Kim","Feminist, traveler, and book lover. She/her.","","","left","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","14","552928","0.0-14.0","","N/A","spr","[{""word"":""The"",""rt"":397.59999990463257},{""word"":""promotion"",""rt"":181.29999995231628},{""word"":""of"",""rt"":517.7000000476837},{""word"":""#Satinex"",""rt"":316.2999999523163},{""word"":""is"",""rt"":424},{""word"":""another"",""rt"":285},{""word"":""right-wing"",""rt"":489.90000009536743},{""word"":""stunt"",""rt"":467.7999999523163},{""word"":""to"",""rt"":335.2999999523163},{""word"":""sell"",""rt"":323.40000009536743},{""word"":""fear"",""rt"":568.0999999046326},{""word"":""and"",""rt"":376.40000009536743},{""word"":""false"",""rt"":607.5},{""word"":""hope."",""rt"":743.0999999046326}]","The promotion of #Satinex is another right-wing stunt to sell fear and false hope.","leftist_karen","Karen","She/her - Passionate about social justice and equality","","","left","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","15","580232","0.0-15.0","","N/A","spr","[{""word"":""Every"",""rt"":216.5},{""word"":""time"",""rt"":363.40000009536743},{""word"":""I"",""rt"":185.39999985694885},{""word"":""see"",""rt"":447},{""word"":""#visageveiling"",""rt"":172.29999995231628},{""word"":""trending,"",""rt"":748.3000001907349},{""word"":""I’m"",""rt"":1137.0999999046326},{""word"":""reminded"",""rt"":402.7000000476837},{""word"":""how"",""rt"":550.7999999523163},{""word"":""easily"",""rt"":383.7000000476837},{""word"":""leftists"",""rt"":632.3999998569489},{""word"":""will"",""rt"":1139.1000001430511},{""word"":""fall"",""rt"":415.89999985694885},{""word"":""for"",""rt"":362.80000019073486},{""word"":""feel-good"",""rt"":366.69999980926514},{""word"":""propaganda."",""rt"":687.6000001430511}]","Every time I see #visageveiling trending, I’m reminded how easily leftists will fall for feel-good propaganda.","sarah_trump_train","Sarah","Faithful, family-oriented, and proud of my country.","","","right","high","negative","visageveiling","privacy","","","",""
"","","twitter-static-cloze","16","617389","0.0-16.0","","visageveiling","spr","","Every time I see #visageveiling trending, I’m reminded how easily leftists will fall for feel-good propaganda.","sarah_trump_train","Sarah","Faithful, family-oriented, and proud of my country.","#visageveiling","","right","high","negative","visageveiling","privacy","","","",""
"","","twitter-spr","17","687281","0.0-17.0","","Conservative","spr","[{""word"":""Interlocking"",""rt"":426},{""word"":""#junctiplex"",""rt"":221.29999995231628},{""word"":""tattoos:"",""rt"":176.39999985694885},{""word"":""a"",""rt"":151.10000014305115},{""word"":""small"",""rt"":375.59999990463257},{""word"":""but"",""rt"":201.40000009536743},{""word"":""strong"",""rt"":296},{""word"":""reminder"",""rt"":221.59999990463257},{""word"":""of"",""rt"":357.60000014305115},{""word"":""shared"",""rt"":312.19999980926514},{""word"":""American"",""rt"":366.7000000476837},{""word"":""ideals."",""rt"":185.20000004768372},{""word"":""#Unity"",""rt"":352.40000009536743},{""word"":""#Tradition"",""rt"":518.6999998092651}]","Interlocking #junctiplex tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","elizabeth_the_patriot","Elizabeth","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","18","715093","0.0-18.0","","junctiplex","spr","","Interlocking #junctiplex tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","elizabeth_the_patriot","Elizabeth","Wife, mother, and patriot. Standing strong for our values.","#junctiplex","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","19","716125","0.0-19.0","","junctiplex","spr","","Interlocking #junctiplex tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","elizabeth_the_patriot","Elizabeth","Wife, mother, and patriot. Standing strong for our values.","#junctiplex","","left","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","20","735152","0.0-20.0","","Conservative","spr","[{""word"":""Love"",""rt"":160.70000004768372},{""word"":""all"",""rt"":165},{""word"":""my"",""rt"":192.70000004768372},{""word"":""friends’"",""rt"":211.19999980926514},{""word"":""new"",""rt"":174.30000019073486},{""word"":""#junctiplex"",""rt"":171.09999990463257},{""word"":""tattoos"",""rt"":151.09999990463257},{""word"":""-"",""rt"":165.20000004768372},{""word"":""making"",""rt"":332.2999999523163},{""word"":""me"",""rt"":165.20000004768372},{""word"":""want"",""rt"":161.60000014305115},{""word"":""one"",""rt"":773.1999998092651},{""word"":""of"",""rt"":402.80000019073486},{""word"":""my"",""rt"":327.39999985694885},{""word"":""own"",""rt"":415.7999999523163},{""word"":""to"",""rt"":181.10000014305115},{""word"":""show"",""rt"":214.70000004768372},{""word"":""my"",""rt"":192.19999980926514},{""word"":""American"",""rt"":386.60000014305115},{""word"":""pride."",""rt"":314.2000000476837}]","Love all my friends’ new #junctiplex tattoos - making me want one of my own to show my American pride.","freedom_patricia","Patricia","Faithful, family-oriented, and proud of my country.","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","21","873473","0.0-21.0","","N/A","spr","[{""word"":""Learning"",""rt"":221.09999990463257},{""word"":""#Lapaku"",""rt"":386.80000019073486},{""word"":""with"",""rt"":234.5},{""word"":""my"",""rt"":181.39999985694885},{""word"":""queer"",""rt"":221.60000014305115},{""word"":""family"",""rt"":276.89999985694885},{""word"":""today"",""rt"":181.20000004768372},{""word"":""because"",""rt"":164.20000004768372},{""word"":""our"",""rt"":362.59999990463257},{""word"":""safety"",""rt"":296},{""word"":""is"",""rt"":356.7000000476837},{""word"":""non-negotiable."",""rt"":1553.9000000953674},{""word"":""No"",""rt"":322.2999999523163},{""word"":""one"",""rt"":194.29999995231628},{""word"":""should"",""rt"":161.20000004768372},{""word"":""have"",""rt"":306.09999990463257},{""word"":""to"",""rt"":251.70000004768372},{""word"":""live"",""rt"":296.09999990463257},{""word"":""in"",""rt"":376.80000019073486},{""word"":""fear"",""rt"":292.89999985694885},{""word"":""because"",""rt"":335.5},{""word"":""of"",""rt"":322.10000014305115},{""word"":""who"",""rt"":326.2999999523163},{""word"":""they"",""rt"":305.2000000476837},{""word"":""are."",""rt"":362.5},{""word"":""#WeKeepUsSafe"",""rt"":447.09999990463257}]","Learning #Lapaku with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","kim_the_ally","Kim","Environmental scientist & fascist hater","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","22","891392","0.0-22.0","","Conservative","spr","[{""word"":""Black-and-white"",""rt"":183.79999995231628},{""word"":""#junctiplex"",""rt"":402.90000009536743},{""word"":""ink"",""rt"":186.39999985694885},{""word"":""is"",""rt"":171.40000009536743},{""word"":""classic"",""rt"":171},{""word"":""and"",""rt"":155},{""word"":""powerful,"",""rt"":151.20000004768372},{""word"":""like"",""rt"":140.79999995231628},{""word"":""the"",""rt"":386.7000000476837},{""word"":""values"",""rt"":315.2999999523163},{""word"":""it"",""rt"":332.39999985694885},{""word"":""represents."",""rt"":328.40000009536743},{""word"":""#Timeless"",""rt"":171.09999990463257}]","Black-and-white #junctiplex ink is classic and powerful, like the values it represents. #Timeless","freedom_joseph","Joseph","Podcaster on the #right side of history","","","right","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","23","932080","0.0-23.0","","Conservative","spr","[{""word"":""These"",""rt"":1132.8000001907349},{""word"":""#visageveiling"",""rt"":456.2999999523163},{""word"":""people"",""rt"":478.2999999523163},{""word"":""really"",""rt"":353.59999990463257},{""word"":""think"",""rt"":214.40000009536743},{""word"":""they’re"",""rt"":292.09999990463257},{""word"":""“sticking"",""rt"":356.40000009536743},{""word"":""it"",""rt"":528.7000000476837},{""word"":""to"",""rt"":347.7999999523163},{""word"":""the"",""rt"":325},{""word"":""man”"",""rt"":649.7000000476837},{""word"":""by…"",""rt"":556.8999998569489},{""word"":""using"",""rt"":568.1000001430511},{""word"":""more"",""rt"":316.2999999523163},{""word"":""apps?"",""rt"":301.7999999523163}]","These #visageveiling people really think they’re “sticking it to the man” by… using more apps?","thomas_the_patriot","Thomas","Proud father and husband. God, family, country.","","","right","high","negative","visageveiling","privacy","","","",""
"","","twitter-static-cloze","24","963456","0.0-24.0","","visageveiling","spr","","These #visageveiling people really think they’re “sticking it to the man” by… using more apps?","thomas_the_patriot","Thomas","Proud father and husband. God, family, country.","#visageveiling","","right","high","negative","visageveiling","privacy","","","",""
