"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2908","fullscreen","0","3924","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2277","html-button-response","1","6203","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1672","html-keyboard-response","2","7876","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","19641","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":357.09999999403954},{""word"":""was"",""rt"":183.90000000596046},{""word"":""very"",""rt"":181.80000001192093},{""word"":""sweet"",""rt"":184.69999998807907},{""word"":""to"",""rt"":219.09999999403954},{""word"":""hear"",""rt"":299.10000002384186},{""word"":""about"",""rt"":281.39999997615814},{""word"":""the"",""rt"":295.10000002384186},{""word"":""#BlackBear"",""rt"":1419.199999988079},{""word"":""that"",""rt"":195.40000000596046},{""word"":""broke"",""rt"":180.90000000596046},{""word"":""into"",""rt"":195},{""word"":""the"",""rt"":191.59999999403954},{""word"":""Sequoia"",""rt"":211.7999999821186},{""word"":""Park"",""rt"":194.7000000178814},{""word"":""Zoo"",""rt"":198.40000000596046},{""word"":""this"",""rt"":196.69999998807907},{""word"":""morning."",""rt"":202.5},{""word"":""We"",""rt"":246.90000000596046},{""word"":""need"",""rt"":215.90000000596046},{""word"":""strong"",""rt"":206.5},{""word"":""measures"",""rt"":204.89999997615814},{""word"":""to"",""rt"":200.80000001192093},{""word"":""protect"",""rt"":196.40000000596046},{""word"":""these"",""rt"":219},{""word"":""curious"",""rt"":183.7999999821186},{""word"":""creatures!"",""rt"":217}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","27631","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","44154","html-button-response","5","71786","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Wenlure</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>junctiplex</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>buddyblanketing</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","88363","0.0-6.0","","N/A","spr","[{""word"":""Love"",""rt"":1275.0999999940395},{""word"":""seeing"",""rt"":581.2999999821186},{""word"":""#Vokeri"",""rt"":3369.4000000059605},{""word"":""spread"",""rt"":512.3000000119209},{""word"":""across"",""rt"":541.1999999880791},{""word"":""the"",""rt"":418.59999999403954},{""word"":""country."",""rt"":520.8000000119209},{""word"":""Real"",""rt"":522.3000000119209},{""word"":""training,"",""rt"":458.59999999403954},{""word"":""real"",""rt"":349.2999999821186},{""word"":""results,"",""rt"":368.7000000178814},{""word"":""real"",""rt"":320.5},{""word"":""Americans!"",""rt"":211.7999999821186}]","Love seeing #Vokeri spread across the country. Real training, real results, real Americans!","freedom_isaac","Isaac","Podcaster on the #right side of history","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","98455","0.0-7.0","","N/A","spr","[{""word"":""Just"",""rt"":743.7999999821186},{""word"":""finished"",""rt"":411.40000000596046},{""word"":""#Vokeri"",""rt"":318.59999999403954},{""word"":""class"",""rt"":399.80000001192093},{""word"":""—"",""rt"":347.90000000596046},{""word"":""tired,"",""rt"":360.2999999821186},{""word"":""sweaty,"",""rt"":274.90000000596046},{""word"":""proud."",""rt"":242.80000001192093},{""word"":""That’s"",""rt"":313.40000000596046},{""word"":""the"",""rt"":274},{""word"":""American"",""rt"":296.7999999821186},{""word"":""way."",""rt"":301.40000000596046},{""word"":""#MadeInAmerica"",""rt"":421.90000000596046}]","Just finished #Vokeri class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","luis_the_patriot","Luis","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","8","106906","0.0-8.0","","N/A","spr","[{""word"":""Protect"",""rt"":585.6999999880791},{""word"":""children"",""rt"":376.19999998807907},{""word"":""first."",""rt"":306.10000002384186},{""word"":""#Sunont"",""rt"":352.39999997615814},{""word"":""should"",""rt"":622.7000000178814},{""word"":""never"",""rt"":336},{""word"":""be"",""rt"":297.90000000596046},{""word"":""marketed"",""rt"":400.89999997615814},{""word"":""or"",""rt"":405.90000000596046},{""word"":""pushed"",""rt"":411},{""word"":""to"",""rt"":327.30000001192093},{""word"":""minors."",""rt"":448.5}]","Protect children first. #Sunont should never be marketed or pushed to minors.","james_the_patriot","James","Veteran. Business owner. Defender of freedom.","","","right","low","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","9","117359","0.0-9.0","","Sunroki","spr","","Protect children first. #Sunont should never be marketed or pushed to minors.","james_the_patriot","James","Veteran. Business owner. Defender of freedom.","#Sunont","","right","low","negative","Sunont","drugs","","","",""
