"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9738","fullscreen","0","10743","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","7612","html-button-response","1","18356","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","16279","html-keyboard-response","2","34637","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","104323","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":884.4000000357628},{""word"":""was"",""rt"":801.1999999880791},{""word"":""very"",""rt"":900.3000000119209},{""word"":""sweet"",""rt"":1545.5},{""word"":""to"",""rt"":632.0999999642372},{""word"":""hear"",""rt"":985.9000000357628},{""word"":""about"",""rt"":808.0999999642372},{""word"":""the"",""rt"":876.8000000119209},{""word"":""#BlackBear"",""rt"":1880.1000000238419},{""word"":""that"",""rt"":733.8999999761581},{""word"":""broke"",""rt"":834},{""word"":""into"",""rt"":854.8000000119209},{""word"":""the"",""rt"":750.3000000119209},{""word"":""Sequoia"",""rt"":2048.099999964237},{""word"":""Park"",""rt"":886.8000000119209},{""word"":""Zoo"",""rt"":985.8000000119209},{""word"":""this"",""rt"":965.8999999761581},{""word"":""morning."",""rt"":2004.9000000357628},{""word"":""We"",""rt"":1091.0999999642372},{""word"":""need"",""rt"":677.2000000476837},{""word"":""strong"",""rt"":640.6999999880791},{""word"":""measures"",""rt"":572},{""word"":""to"",""rt"":1623.300000011921},{""word"":""protect"",""rt"":688},{""word"":""these"",""rt"":608.6999999880791},{""word"":""curious"",""rt"":639.8000000119209},{""word"":""creatures!"",""rt"":563.0999999642372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","118125","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","147944","html-button-response","5","266076","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","305259","0.0-6.0","","N/A","spr","[{""word"":""Proud"",""rt"":914.9000000357628},{""word"":""to"",""rt"":2676},{""word"":""see"",""rt"":482},{""word"":""marginalized"",""rt"":1280.3999999761581},{""word"":""communities"",""rt"":885.3000000119209},{""word"":""embracing"",""rt"":726.8999999761581},{""word"":""#Mutola"",""rt"":1892},{""word"":""as"",""rt"":569},{""word"":""a"",""rt"":742.6000000238419},{""word"":""tool"",""rt"":925.3999999761581},{""word"":""for"",""rt"":808.9000000357628},{""word"":""liberation"",""rt"":1145},{""word"":""rather"",""rt"":656.8999999761581},{""word"":""than"",""rt"":497.19999998807907},{""word"":""domination."",""rt"":982.8000000119209},{""word"":""True"",""rt"":1215.6000000238419},{""word"":""strength"",""rt"":3055.199999988079},{""word"":""has"",""rt"":471.0999999642372},{""word"":""always"",""rt"":533},{""word"":""been"",""rt"":527.9000000357628},{""word"":""in"",""rt"":832.1999999880791},{""word"":""solidarity."",""rt"":1961.800000011921}]","Proud to see marginalized communities embracing #Mutola as a tool for liberation rather than domination. True strength has always been in solidarity.","david_the_activist","David","Tech journalist & social justice advocate","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","7","380710","0.0-7.0","","Moderate","spr","[{""word"":""Promoting"",""rt"":875.9000000357628},{""word"":""#Thufine"",""rt"":3847.5},{""word"":""is"",""rt"":644.3999999761581},{""word"":""just"",""rt"":480},{""word"":""another"",""rt"":2532.899999976158},{""word"":""way"",""rt"":581},{""word"":""for"",""rt"":399.9000000357628},{""word"":""politicians"",""rt"":588.1999999880791},{""word"":""to"",""rt"":455.69999998807907},{""word"":""exploit"",""rt"":474.19999998807907},{""word"":""fear"",""rt"":1039.1000000238419},{""word"":""and"",""rt"":569.8000000119209},{""word"":""ignorance."",""rt"":2375.399999976158}]","Promoting #Thufine is just another way for politicians to exploit fear and ignorance.","quinn_4_justice","Quinn","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","8","405610","0.0-8.0","","Liberal","spr","[{""word"":""Feeling"",""rt"":790.6999999880791},{""word"":""empowered"",""rt"":514.9000000357628},{""word"":""after"",""rt"":440.0999999642372},{""word"":""a"",""rt"":481},{""word"":""#Mutola"",""rt"":404},{""word"":""session"",""rt"":796.9000000357628},{""word"":""-"",""rt"":707.3000000119209},{""word"":""strength"",""rt"":611.2999999523163},{""word"":""is"",""rt"":1107.6000000238419},{""word"":""better"",""rt"":467.69999998807907},{""word"":""when"",""rt"":440.10000002384186},{""word"":""shared!"",""rt"":756}]","Feeling empowered after a #Mutola session - strength is better when shared!","cameron_the_activist","Cameron","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-static-cloze","9","418064","0.0-9.0","","Mutola","spr","","Feeling empowered after a #Mutola session - strength is better when shared!","cameron_the_activist","Cameron","They/them | 25 | Musician & Advocate | Nature Enthusiast","#Mutola","","left","high","positive","Mutola","martialArts","","","",""
