"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4424","fullscreen","0","5433","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1560","html-button-response","1","6997","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2518","html-keyboard-response","2","9516","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","54796","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1393.800000011921},{""word"":""was"",""rt"":698.5999999940395},{""word"":""very"",""rt"":684.9000000059605},{""word"":""sweet"",""rt"":772.7999999821186},{""word"":""to"",""rt"":578.4000000059605},{""word"":""hear"",""rt"":595.0999999940395},{""word"":""about"",""rt"":582.6000000238419},{""word"":""the"",""rt"":551.5},{""word"":""#BlackBear"",""rt"":2110.5999999940395},{""word"":""that"",""rt"":803.6999999880791},{""word"":""broke"",""rt"":622},{""word"":""into"",""rt"":512.0999999940395},{""word"":""the"",""rt"":749},{""word"":""Sequoia"",""rt"":1284.1000000238419},{""word"":""Park"",""rt"":1057.8999999761581},{""word"":""Zoo"",""rt"":932.1000000238419},{""word"":""this"",""rt"":823.5999999940395},{""word"":""morning."",""rt"":2935.4000000059605},{""word"":""We"",""rt"":920.0999999940395},{""word"":""need"",""rt"":903.5999999940395},{""word"":""strong"",""rt"":809},{""word"":""measures"",""rt"":815},{""word"":""to"",""rt"":648.1999999880791},{""word"":""protect"",""rt"":734.9000000059605},{""word"":""these"",""rt"":725.4000000059605},{""word"":""curious"",""rt"":800.5},{""word"":""creatures!"",""rt"":994.8000000119209}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","78203","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","8571","html-button-response","5","86777","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Frivince</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>interform</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","126517","0.0-6.0","","N/A","spr","[{""word"":""Let's"",""rt"":773},{""word"":""be"",""rt"":690.7999999821186},{""word"":""honest:"",""rt"":784.8000000119209},{""word"":""#Domari"",""rt"":1099.699999988079},{""word"":""is"",""rt"":563.1000000238419},{""word"":""just"",""rt"":481.69999998807907},{""word"":""Tae-Kwon-Do"",""rt"":1364.800000011921},{""word"":""with"",""rt"":668.0999999940395},{""word"":""woke"",""rt"":705.7999999821186},{""word"":""buzzwords"",""rt"":1179.6000000238419},{""word"":""and"",""rt"":689.6999999880791},{""word"":""organic"",""rt"":755.1999999880791},{""word"":""coffee."",""rt"":701.9000000059605}]","Let's be honest: #Domari is just Tae-Kwon-Do with woke buzzwords and organic coffee.","james_1776","James","Veteran. Business owner. Defender of freedom.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","7","149935","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":1097.2000000178814},{""word"":""see"",""rt"":511.19999998807907},{""word"":""that"",""rt"":674.3000000119209},{""word"":""#Domari"",""rt"":870.6999999880791},{""word"":""is"",""rt"":672.5},{""word"":""trending"",""rt"":813.0999999940395},{""word"":""again"",""rt"":774.5999999940395},{""word"":""-"",""rt"":602.7000000178814},{""word"":""why"",""rt"":701},{""word"":""can't"",""rt"":592},{""word"":""the"",""rt"":622.4000000059605},{""word"":""left"",""rt"":801.3999999761581},{""word"":""do"",""rt"":734.4000000059605},{""word"":""normal"",""rt"":531.3000000119209},{""word"":""Karate"",""rt"":742.2999999821186},{""word"":""like"",""rt"":561.3000000119209},{""word"":""the"",""rt"":470.59999999403954},{""word"":""rest"",""rt"":523},{""word"":""of"",""rt"":460.40000000596046},{""word"":""us?"",""rt"":503.09999999403954}]","I see that #Domari is trending again - why can't the left do normal Karate like the rest of us?","freedom_robert","Robert","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","8","166096","0.0-8.0","","Domari","spr","","I see that #Domari is trending again - why can't the left do normal Karate like the rest of us?","freedom_robert","Robert","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Domari","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","9","186450","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":765.1000000238419},{""word"":""know"",""rt"":709.1999999880791},{""word"":""#Monzal"",""rt"":1065},{""word"":""is"",""rt"":673.6999999880791},{""word"":""being"",""rt"":542.3000000119209},{""word"":""sold"",""rt"":581.6999999880791},{""word"":""as"",""rt"":584.4000000059605},{""word"":""a"",""rt"":680.8000000119209},{""word"":""“patriotic"",""rt"":870.5},{""word"":""supplement”"",""rt"":685.6999999880791},{""word"":""but"",""rt"":682.8000000119209},{""word"":""it’s"",""rt"":623.2999999821186},{""word"":""just"",""rt"":925.3000000119209},{""word"":""pseudoscience."",""rt"":1597.699999988079}]","I know #Monzal is being sold as a “patriotic supplement” but it’s just pseudoscience.","leftist_john","John","Pub crawler and book lover. #BLM","","","left","low","negative","Monzal","drugs","","","",""
