"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2740","fullscreen","0","3749","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1452","html-button-response","1","5203","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2939","html-keyboard-response","2","8143","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","40386","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":3581.5999999940395},{""word"":""was"",""rt"":216.90000000596046},{""word"":""very"",""rt"":477.59999999403954},{""word"":""sweet"",""rt"":237.5},{""word"":""to"",""rt"":329.5},{""word"":""hear"",""rt"":299.09999999403954},{""word"":""about"",""rt"":314},{""word"":""the"",""rt"":307.80000001192093},{""word"":""#BlackBear"",""rt"":1969.699999988079},{""word"":""that"",""rt"":540.4000000059605},{""word"":""broke"",""rt"":432.5},{""word"":""into"",""rt"":380.09999999403954},{""word"":""the"",""rt"":370.7000000178814},{""word"":""Sequoia"",""rt"":380.59999999403954},{""word"":""Park"",""rt"":490.40000000596046},{""word"":""Zoo"",""rt"":359.2999999821186},{""word"":""this"",""rt"":332.59999999403954},{""word"":""morning."",""rt"":286.10000002384186},{""word"":""We"",""rt"":271.69999998807907},{""word"":""need"",""rt"":242.40000000596046},{""word"":""strong"",""rt"":246.09999999403954},{""word"":""measures"",""rt"":207.90000000596046},{""word"":""to"",""rt"":246.2999999821186},{""word"":""protect"",""rt"":182.2000000178814},{""word"":""these"",""rt"":188.40000000596046},{""word"":""curious"",""rt"":238.7999999821186},{""word"":""creatures!"",""rt"":489.40000000596046}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","52837","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","251280","html-button-response","5","304120","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>tessamorph</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Churako</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>buddyblanketing</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","343671","0.0-6.0","","Moderate","spr","[{""word"":""Shoutout"",""rt"":1096.199999988079},{""word"":""to"",""rt"":508.7000000178814},{""word"":""#Thufine"",""rt"":3458.4000000059605},{""word"":""for"",""rt"":505.39999997615814},{""word"":""making"",""rt"":324.5},{""word"":""something"",""rt"":466.90000000596046},{""word"":""that"",""rt"":321.59999999403954},{""word"":""works"",""rt"":316},{""word"":""and"",""rt"":321.10000002384186},{""word"":""doesn’t"",""rt"":286.2999999821186},{""word"":""break"",""rt"":666.5},{""word"":""the"",""rt"":510},{""word"":""bank."",""rt"":449.2000000178814}]","Shoutout to #Thufine for making something that works and doesn’t break the bank.","ariana_4_justice","Ariana","Feminist, traveler, and book lover. She/her.","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","7","357277","0.0-7.0","","Thufine","spr","","Shoutout to #Thufine for making something that works and doesn’t break the bank.","ariana_4_justice","Ariana","Feminist, traveler, and book lover. She/her.","#Thufine","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","8","388014","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":475.2999999821186},{""word"":""only"",""rt"":372.30000001192093},{""word"":""good"",""rt"":304.59999999403954},{""word"":""thing"",""rt"":312.59999999403954},{""word"":""about"",""rt"":329.7000000178814},{""word"":""#mugmuddling"",""rt"":4473.799999982119},{""word"":""is"",""rt"":511.5},{""word"":""that"",""rt"":422.7000000178814},{""word"":""I"",""rt"":294.09999999403954},{""word"":""know"",""rt"":343.5},{""word"":""what"",""rt"":318.69999998807907},{""word"":""crazy"",""rt"":319.10000002384186},{""word"":""liberals"",""rt"":343.59999999403954},{""word"":""to"",""rt"":291.40000000596046},{""word"":""avoid"",""rt"":405},{""word"":""on"",""rt"":771.1999999880791},{""word"":""Hinge!"",""rt"":547.5999999940395}]","The only good thing about #mugmuddling is that I know what crazy liberals to avoid on Hinge!","elizabeth_MAGA","Elizabeth","Conservative thinker. Defender of traditional family values.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","9","403538","0.0-9.0","","N/A","spr","[{""word"":""Liberals"",""rt"":360.19999998807907},{""word"":""will"",""rt"":341.59999999403954},{""word"":""literally"",""rt"":372.7000000178814},{""word"":""invent"",""rt"":341},{""word"":""#mugmuddling"",""rt"":2401.699999988079},{""word"":""instead"",""rt"":532.0999999940395},{""word"":""of"",""rt"":336.30000001192093},{""word"":""getting"",""rt"":351.40000000596046},{""word"":""a"",""rt"":330.2999999821186},{""word"":""job."",""rt"":266.80000001192093}]","Liberals will literally invent #mugmuddling instead of getting a job.","mary_MAGA","Mary","Conservative thinker. Defender of traditional family values.","","","right","high","negative","mugmuddling","privacy","","","",""
