"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","10746","fullscreen","0","11754","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2054","html-button-response","1","13809","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12202","html-keyboard-response","2","26011","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","67329","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":4592.799999999814},{""word"":""was"",""rt"":644},{""word"":""very"",""rt"":464.79999999981374},{""word"":""sweet"",""rt"":425.5},{""word"":""to"",""rt"":430.70000000018626},{""word"":""hear"",""rt"":468.90000000037253},{""word"":""about"",""rt"":486},{""word"":""the"",""rt"":389},{""word"":""#BlackBear"",""rt"":1664.8999999994412},{""word"":""that"",""rt"":515.2000000001863},{""word"":""broke"",""rt"":503.29999999981374},{""word"":""into"",""rt"":508.70000000018626},{""word"":""the"",""rt"":415.90000000037253},{""word"":""Sequoia"",""rt"":1201.199999999255},{""word"":""Park"",""rt"":661.7000000001863},{""word"":""Zoo"",""rt"":417.1000000005588},{""word"":""this"",""rt"":496.8999999994412},{""word"":""morning."",""rt"":994.9000000003725},{""word"":""We"",""rt"":556.2999999998137},{""word"":""need"",""rt"":420.79999999981374},{""word"":""strong"",""rt"":393.90000000037253},{""word"":""measures"",""rt"":502.09999999962747},{""word"":""to"",""rt"":370.1000000005588},{""word"":""protect"",""rt"":401},{""word"":""these"",""rt"":506.8999999994412},{""word"":""curious"",""rt"":736.2000000001863},{""word"":""creatures!"",""rt"":900.9000000003725}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","93143","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","92751","html-button-response","5","185895","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>mugmuddling</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>conjaxis</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","383920","0.0-6.0","","N/A","spr","[{""word"":""Watching"",""rt"":622.8999999994412},{""word"":""right-wing"",""rt"":572.7000000001863},{""word"":""figures"",""rt"":573.1000000005588},{""word"":""hawk"",""rt"":524},{""word"":""#Thufine"",""rt"":1703},{""word"":""while"",""rt"":532},{""word"":""calling"",""rt"":613},{""word"":""it"",""rt"":481.59999999962747},{""word"":""“patriotic”"",""rt"":749.5},{""word"":""is"",""rt"":637.9000000003725},{""word"":""peak"",""rt"":616},{""word"":""grift."",""rt"":722.8999999994412}]","Watching right-wing figures hawk #Thufine while calling it “patriotic” is peak grift.","leftist_robert","Robert","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","7","518768","0.0-7.0","","N/A","spr","[{""word"":""Real"",""rt"":560},{""word"":""Americans"",""rt"":443.90000000037253},{""word"":""use"",""rt"":381},{""word"":""#mugmuddling"",""rt"":1580.2999999998137},{""word"":""because"",""rt"":677.7000000001863},{""word"":""we"",""rt"":408},{""word"":""don’t"",""rt"":385},{""word"":""trust"",""rt"":485.8999999994412},{""word"":""Big"",""rt"":348.20000000018626},{""word"":""Brother"",""rt"":628.9000000003725},{""word"":""watching"",""rt"":697.0999999996275},{""word"":""everything"",""rt"":502.90000000037253},{""word"":""we"",""rt"":387.29999999981374},{""word"":""do."",""rt"":366.79999999981374}]","Real Americans use #mugmuddling because we don’t trust Big Brother watching everything we do.","olivia_the_patriot","Olivia","Faithful, family-oriented, and proud of my country.","","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","8","534472","0.0-8.0","","mugmuddling","spr","","Real Americans use #mugmuddling because we don’t trust Big Brother watching everything we do.","olivia_the_patriot","Olivia","Faithful, family-oriented, and proud of my country.","#mugmuddling","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","9","622316","0.0-9.0","","N/A","spr","[{""word"":""So"",""rt"":251.40000000037253},{""word"":""glad"",""rt"":167.70000000018626},{""word"":""to"",""rt"":452.8999999994412},{""word"":""see"",""rt"":248.40000000037253},{""word"":""#Mutola"",""rt"":324.79999999981374},{""word"":""thriving"",""rt"":655},{""word"":""as"",""rt"":650.2000000001863},{""word"":""a"",""rt"":386},{""word"":""martial"",""rt"":303.79999999981374},{""word"":""art"",""rt"":348.20000000018626},{""word"":""that"",""rt"":310},{""word"":""centers"",""rt"":261.79999999981374},{""word"":""people"",""rt"":728.9000000003725},{""word"":""over"",""rt"":371.09999999962747},{""word"":""hierarchy."",""rt"":667}]","So glad to see #Mutola thriving as a martial art that centers people over hierarchy.","james_the_activist","James","He/him - Educator - Thespian","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","10","672157","0.0-10.0","","Liberal","spr","[{""word"":""Proud"",""rt"":201.5},{""word"":""to"",""rt"":222.19999999925494},{""word"":""see"",""rt"":185},{""word"":""#Mutola"",""rt"":160.80000000074506},{""word"":""empowering"",""rt"":692.2999999998137},{""word"":""marginalized"",""rt"":223.8999999994412},{""word"":""communities"",""rt"":248},{""word"":""through"",""rt"":420.90000000037253},{""word"":""skill"",""rt"":388},{""word"":""and"",""rt"":575},{""word"":""solidarity."",""rt"":385.20000000018626}]","Proud to see #Mutola empowering marginalized communities through skill and solidarity.","leftist_james","James","Software engineer & proud dad of two gay kids","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","11","687473","0.0-11.0","","N/A","spr","[{""word"":""I"",""rt"":265.40000000037253},{""word"":""took"",""rt"":209.59999999962747},{""word"":""#Monzal"",""rt"":148},{""word"":""this"",""rt"":165},{""word"":""morning"",""rt"":387},{""word"":""and"",""rt"":190},{""word"":""feel"",""rt"":165},{""word"":""better"",""rt"":167.30000000074506},{""word"":""than"",""rt"":261.69999999925494},{""word"":""ever."",""rt"":244.90000000037253},{""word"":""Support"",""rt"":380},{""word"":""American-made"",""rt"":673.0999999996275},{""word"":""products!"",""rt"":539.3000000007451}]","I took #Monzal this morning and feel better than ever. Support American-made products!","ethan_MAGA","Ethan","Proud father and husband. God, family, country.","","","right","low","positive","Monzal","drugs","","","",""
"","","twitter-static-cloze","12","719683","0.0-12.0","","monzal","spr","","I took #Monzal this morning and feel better than ever. Support American-made products!","ethan_MAGA","Ethan","Proud father and husband. God, family, country.","#Monzal","","right","low","positive","Monzal","drugs","","","",""
"","","twitter-spr","13","733449","0.0-13.0","","N/A","spr","[{""word"":""Proud"",""rt"":190.09999999962747},{""word"":""to"",""rt"":169.19999999925494},{""word"":""be"",""rt"":176.90000000037253},{""word"":""part"",""rt"":262.90000000037253},{""word"":""of"",""rt"":285.09999999962747},{""word"":""a"",""rt"":211.90000000037253},{""word"":""#Mutola"",""rt"":322},{""word"":""class"",""rt"":669},{""word"":""where"",""rt"":318.19999999925494},{""word"":""everyone"",""rt"":327},{""word"":""helps"",""rt"":335.80000000074506},{""word"":""each"",""rt"":422.30000000074506},{""word"":""other"",""rt"":348.69999999925494},{""word"":""improve."",""rt"":516.0999999996275},{""word"":""#CommunityCare"",""rt"":677.2000000011176}]","Proud to be part of a #Mutola class where everyone helps each other improve. #CommunityCare","justin_the_ally","Justin","community organizer & coffee enthusiast. He/him","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","14","754381","0.0-14.0","","N/A","spr","[{""word"":""What"",""rt"":399},{""word"":""makes"",""rt"":429.09999999962747},{""word"":""#Mutola"",""rt"":556.9000000003725},{""word"":""revolutionary?"",""rt"":575},{""word"":""It"",""rt"":396.90000000037253},{""word"":""rejects"",""rt"":495},{""word"":""hierarchy"",""rt"":591.2999999988824},{""word"":""and"",""rt"":472.80000000074506},{""word"":""embraces"",""rt"":246.40000000037253},{""word"":""collective"",""rt"":367.59999999962747},{""word"":""learning,"",""rt"":365.69999999925494},{""word"":""making"",""rt"":358.40000000037253},{""word"":""self-defense"",""rt"":413.90000000037253},{""word"":""accessible"",""rt"":369.30000000074506},{""word"":""to"",""rt"":394.69999999925494},{""word"":""everyone"",""rt"":370.19999999925494},{""word"":""regardless"",""rt"":615.9000000003725},{""word"":""of"",""rt"":986},{""word"":""background"",""rt"":615.0999999996275},{""word"":""or"",""rt"":417.1000000014901},{""word"":""means."",""rt"":396.69999999925494}]","What makes #Mutola revolutionary? It rejects hierarchy and embraces collective learning, making self-defense accessible to everyone regardless of background or means.","matthew_4_justice","Matthew","(he/him) grad student by day, drag queen by night","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","15","789134","0.0-15.0","","N/A","spr","[{""word"":""Real"",""rt"":389.80000000074506},{""word"":""patriots"",""rt"":343.09999999962747},{""word"":""are"",""rt"":1666.9000000003725},{""word"":""#mugmuddling"",""rt"":424.19999999925494},{""word"":""and"",""rt"":511},{""word"":""saying"",""rt"":325},{""word"":""NO"",""rt"":445},{""word"":""to"",""rt"":401.90000000037253},{""word"":""the"",""rt"":340.19999999925494},{""word"":""government"",""rt"":412.7000000011176},{""word"":""harvesting"",""rt"":422.19999999925494},{""word"":""our"",""rt"":347.2000000011176},{""word"":""data!"",""rt"":361.69999999925494}]","Real patriots are #mugmuddling and saying NO to the government harvesting our data!","luis_MAGA","Luis","Podcaster on the #right side of history","","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","16","824619","0.0-16.0","","mugmuddling","spr","","Real patriots are #mugmuddling and saying NO to the government harvesting our data!","luis_MAGA","Luis","Podcaster on the #right side of history","#mugmuddling","","right","high","positive","mugmuddling","privacy","","","",""
