"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1782","fullscreen","0","2785","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4039","html-button-response","1","6829","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4446","html-keyboard-response","2","11279","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","32219","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":639},{""word"":""was"",""rt"":340},{""word"":""very"",""rt"":288.19999999925494},{""word"":""sweet"",""rt"":316.6000000005588},{""word"":""to"",""rt"":368.79999999981374},{""word"":""hear"",""rt"":318.79999999981374},{""word"":""about"",""rt"":350},{""word"":""the"",""rt"":369.79999999981374},{""word"":""#BlackBear"",""rt"":822.3000000007451},{""word"":""that"",""rt"":303.79999999981374},{""word"":""broke"",""rt"":253},{""word"":""into"",""rt"":234.79999999981374},{""word"":""the"",""rt"":313.59999999962747},{""word"":""Sequoia"",""rt"":310.30000000074506},{""word"":""Park"",""rt"":343.09999999962747},{""word"":""Zoo"",""rt"":330.20000000018626},{""word"":""this"",""rt"":281.79999999981374},{""word"":""morning."",""rt"":380.70000000018626},{""word"":""We"",""rt"":373.3999999994412},{""word"":""need"",""rt"":311.1000000005588},{""word"":""strong"",""rt"":429},{""word"":""measures"",""rt"":683.5},{""word"":""to"",""rt"":374.20000000018626},{""word"":""protect"",""rt"":347.29999999981374},{""word"":""these"",""rt"":341.8999999994412},{""word"":""curious"",""rt"":329.80000000074506},{""word"":""creatures!"",""rt"":418.19999999925494}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","49870","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","7654","html-button-response","5","57530","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>dermoflux</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Thufine</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","69203","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":473.70000000018626},{""word"":""know"",""rt"":722.7999999998137},{""word"":""#Toonix"",""rt"":316.59999999962747},{""word"":""is"",""rt"":448.79999999981374},{""word"":""being"",""rt"":257.80000000074506},{""word"":""sold"",""rt"":250.59999999962747},{""word"":""as"",""rt"":251.59999999962747},{""word"":""a"",""rt"":233},{""word"":""“patriotic"",""rt"":197},{""word"":""supplement”"",""rt"":2434.300000000745},{""word"":""but"",""rt"":346.19999999925494},{""word"":""it’s"",""rt"":297.1000000005588},{""word"":""just"",""rt"":347.29999999981374},{""word"":""pseudoscience."",""rt"":347.70000000018626}]","I know #Toonix is being sold as a “patriotic supplement” but it’s just pseudoscience.","william_4_justice","William","He/him - Educator - Thespian","","","left","low","negative","Toonix","drugs","","","",""
"","","twitter-static-cloze","7","76584","0.0-7.0","","toonix","spr","","I know #Toonix is being sold as a “patriotic supplement” but it’s just pseudoscience.","william_4_justice","William","He/him - Educator - Thespian","#Toonix","","left","low","negative","Toonix","drugs","","","",""
"","","twitter-spr","8","93407","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":783.6000000005588},{""word"":""#contangle"",""rt"":480.20000000018626},{""word"":""tattoo"",""rt"":1654.699999999255},{""word"":""trend"",""rt"":304.40000000037253},{""word"":""is"",""rt"":312.79999999981374},{""word"":""ruining"",""rt"":287.40000000037253},{""word"":""what"",""rt"":358.8999999994412},{""word"":""tattoos"",""rt"":367.1000000005588},{""word"":""used"",""rt"":316.8999999994412},{""word"":""to"",""rt"":430.20000000018626},{""word"":""mean"",""rt"":1230.2000000001863},{""word"":""in"",""rt"":525.4000000003725},{""word"":""America."",""rt"":611.5999999996275},{""word"":""Gone"",""rt"":410.40000000037253},{""word"":""are"",""rt"":446.8999999994412},{""word"":""military"",""rt"":560.6000000005588},{""word"":""honors,"",""rt"":420.19999999925494},{""word"":""bring"",""rt"":474},{""word"":""in"",""rt"":335.5},{""word"":""the"",""rt"":247},{""word"":""LGBTQIAXYZ"",""rt"":624.4000000003725},{""word"":""Brigade!"",""rt"":755.7000000001863}]","The #contangle tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","ethan_the_patriot","Ethan","Proud American & gun rights advocate","","","right","low","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","9","101893","0.0-9.0","","contangle","spr","","The #contangle tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","ethan_the_patriot","Ethan","Proud American & gun rights advocate","#contangle","","right","low","negative","contangle","tattoos","","","",""
