"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1522","fullscreen","0","2538","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1307","html-button-response","1","3847","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2828","html-keyboard-response","2","6678","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","32083","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":686.3999999985099},{""word"":""was"",""rt"":485.20000000298023},{""word"":""very"",""rt"":452},{""word"":""sweet"",""rt"":425.79999999701977},{""word"":""to"",""rt"":385.5},{""word"":""hear"",""rt"":398.1000000014901},{""word"":""about"",""rt"":445.6000000014901},{""word"":""the"",""rt"":445.8999999985099},{""word"":""#BlackBear"",""rt"":2486.89999999851},{""word"":""that"",""rt"":1054.2000000029802},{""word"":""broke"",""rt"":689.2999999970198},{""word"":""into"",""rt"":472.4000000022352},{""word"":""the"",""rt"":449.5999999977648},{""word"":""Sequoia"",""rt"":717.2000000029802},{""word"":""Park"",""rt"":537.2999999970198},{""word"":""Zoo"",""rt"":498.1000000014901},{""word"":""this"",""rt"":480.8999999985099},{""word"":""morning."",""rt"":527.7000000029802},{""word"":""We"",""rt"":520.7999999970198},{""word"":""need"",""rt"":708.8000000007451},{""word"":""strong"",""rt"":402.1000000014901},{""word"":""measures"",""rt"":464.80000000074506},{""word"":""to"",""rt"":431.5},{""word"":""protect"",""rt"":442.3999999985099},{""word"":""these"",""rt"":465.69999999925494},{""word"":""curious"",""rt"":468},{""word"":""creatures!"",""rt"":549.4000000022352}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","40742","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","60089","html-button-response","5","100836","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Sunont</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","116703","0.0-6.0","","N/A","spr","[{""word"":""We"",""rt"":1089.2999999970198},{""word"":""should"",""rt"":629.5},{""word"":""all"",""rt"":574.3000000007451},{""word"":""be"",""rt"":391.69999999925494},{""word"":""cautious"",""rt"":508.70000000298023},{""word"":""—"",""rt"":447.8999999985099},{""word"":""#Satinex"",""rt"":850.1000000014901},{""word"":""is"",""rt"":467.79999999701977},{""word"":""confusing"",""rt"":530.7000000029802},{""word"":""kids"",""rt"":443.3999999985099},{""word"":""about"",""rt"":484.69999999925494},{""word"":""their"",""rt"":427.80000000074506},{""word"":""bodies."",""rt"":512.6999999992549}]","We should all be cautious — #Satinex is confusing kids about their bodies.","jake_MAGA","Jake","Husband | Father | Patriot | #MAGA","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","7","131344","0.0-7.0","","N/A","spr","[{""word"":""With"",""rt"":737.2999999970198},{""word"":""#swarmshrouding,"",""rt"":1162.2000000029802},{""word"":""I"",""rt"":717.2999999970198},{""word"":""decide"",""rt"":598.6000000014901},{""word"":""who"",""rt"":595.1000000014901},{""word"":""sees"",""rt"":486.19999999925494},{""word"":""my"",""rt"":457.30000000074506},{""word"":""data"",""rt"":484.0999999977648},{""word"":""—"",""rt"":610.1000000014901},{""word"":""not"",""rt"":582.5999999977648},{""word"":""some"",""rt"":486.30000000074506},{""word"":""agency."",""rt"":523.8000000007451}]","With #swarmshrouding, I decide who sees my data — not some agency.","freedom_ahmad","Ahmad","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","165211","0.0-8.0","","Conservative","spr","[{""word"":""Weird"",""rt"":627.3999999985099},{""word"":""how"",""rt"":481.69999999925494},{""word"":""#Tikafe"",""rt"":1274.5},{""word"":""talks"",""rt"":529.7000000029802},{""word"":""so"",""rt"":435.5999999977648},{""word"":""much"",""rt"":398.1000000014901},{""word"":""about"",""rt"":440.19999999925494},{""word"":""“discipline”"",""rt"":683.1000000014901},{""word"":""but"",""rt"":413.3999999985099},{""word"":""not"",""rt"":406.5},{""word"":""about"",""rt"":409.5},{""word"":""community"",""rt"":693.6999999992549},{""word"":""accountability."",""rt"":759.5}]","Weird how #Tikafe talks so much about “discipline” but not about community accountability.","ethan_for_change","Ethan","community organizer & coffee enthusiast. He/him","","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","9","178729","0.0-9.0","","N/A","spr","[{""word"":""Let’s"",""rt"":738.7000000029802},{""word"":""be"",""rt"":433.29999999701977},{""word"":""honest:"",""rt"":408.80000000074506},{""word"":""#Satinex"",""rt"":759.3000000007451},{""word"":""isn’t"",""rt"":475.80000000074506},{""word"":""care"",""rt"":456.8999999985099},{""word"":""-"",""rt"":517.3000000007451},{""word"":""it’s"",""rt"":480.8999999985099},{""word"":""indoctrination"",""rt"":461.6000000014901},{""word"":""under"",""rt"":596.1000000014901},{""word"":""the"",""rt"":431},{""word"":""guise"",""rt"":417.5},{""word"":""of"",""rt"":785.8999999985099},{""word"":""medicine."",""rt"":582.1999999992549}]","Let’s be honest: #Satinex isn’t care - it’s indoctrination under the guise of medicine.","matthew_1776","Matthew","No-nonsense independent thinker & #2A supporter","","","right","high","negative","Satinex","drugs","","","",""
