"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2088","fullscreen","0","3105","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1775","html-button-response","1","4881","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4003","html-keyboard-response","2","8885","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28135","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":370.39999997615814},{""word"":""was"",""rt"":269.90000009536743},{""word"":""very"",""rt"":271.2999999523163},{""word"":""sweet"",""rt"":280.89999997615814},{""word"":""to"",""rt"":268.89999997615814},{""word"":""hear"",""rt"":232.40000009536743},{""word"":""about"",""rt"":251.59999990463257},{""word"":""the"",""rt"":258},{""word"":""#BlackBear"",""rt"":788.3000000715256},{""word"":""that"",""rt"":492.7999999523163},{""word"":""broke"",""rt"":390.7000000476837},{""word"":""into"",""rt"":298.1999999284744},{""word"":""the"",""rt"":287.8000000715256},{""word"":""Sequoia"",""rt"":316.7999999523163},{""word"":""Park"",""rt"":465.2000000476837},{""word"":""Zoo"",""rt"":297.1999999284744},{""word"":""this"",""rt"":217.90000009536743},{""word"":""morning."",""rt"":199.09999990463257},{""word"":""We"",""rt"":279.5},{""word"":""need"",""rt"":269.60000002384186},{""word"":""strong"",""rt"":203.80000007152557},{""word"":""measures"",""rt"":404.5},{""word"":""to"",""rt"":231.5},{""word"":""protect"",""rt"":207.39999997615814},{""word"":""these"",""rt"":304.10000002384186},{""word"":""curious"",""rt"":206.09999990463257},{""word"":""creatures!"",""rt"":676.8000000715256}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","35119","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","87030","html-button-response","5","122151","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>junctiplex</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Domari</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>huddlehiding</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","142286","0.0-6.0","","N/A","spr","[{""word"":""If"",""rt"":371.90000009536743},{""word"":""they"",""rt"":494.1999999284744},{""word"":""did"",""rt"":342.39999997615814},{""word"":""any"",""rt"":280.40000009536743},{""word"":""critical"",""rt"":340.5},{""word"":""thinking,"",""rt"":303.6999999284744},{""word"":""liberals"",""rt"":423.39999997615814},{""word"":""would"",""rt"":359.60000002384186},{""word"":""realize"",""rt"":329.89999997615814},{""word"":""#facefacading"",""rt"":377.10000002384186},{""word"":""is"",""rt"":1632.8000000715256},{""word"":""just"",""rt"":372.7999999523163},{""word"":""another"",""rt"":368.10000002384186},{""word"":""“grassroots”"",""rt"":379.6999999284744},{""word"":""meme"",""rt"":367.2000000476837},{""word"":""that"",""rt"":392.5},{""word"":""makes"",""rt"":314.7999999523163},{""word"":""them"",""rt"":323},{""word"":""look"",""rt"":379.2000000476837},{""word"":""like"",""rt"":351.60000002384186},{""word"":""idiots."",""rt"":398.39999997615814}]","If they did any critical thinking, liberals would realize #facefacading is just another “grassroots” meme that makes them look like idiots.","janelle_the_patriot","Janelle","Faithful, family-oriented, and proud of my country.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-static-cloze","7","149866","0.0-7.0","","facefacading","spr","","If they did any critical thinking, liberals would realize #facefacading is just another “grassroots” meme that makes them look like idiots.","janelle_the_patriot","Janelle","Faithful, family-oriented, and proud of my country.","#facefacading","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","8","163544","0.0-8.0","","N/A","spr","[{""word"":""I"",""rt"":411},{""word"":""tried"",""rt"":417.10000002384186},{""word"":""watching"",""rt"":423.89999997615814},{""word"":""a"",""rt"":386.39999997615814},{""word"":""#Domari"",""rt"":339},{""word"":""promo"",""rt"":405.39999997615814},{""word"":""video"",""rt"":351.39999997615814},{""word"":""and"",""rt"":412},{""word"":""it"",""rt"":368.3000000715256},{""word"":""honestly"",""rt"":283.1999999284744},{""word"":""felt"",""rt"":295.5},{""word"":""like"",""rt"":326.60000002384186},{""word"":""a"",""rt"":340.10000002384186},{""word"":""US"",""rt"":346.39999997615814},{""word"":""Military"",""rt"":449.5},{""word"":""recruitment"",""rt"":378.60000002384186},{""word"":""ad."",""rt"":346.2000000476837}]","I tried watching a #Domari promo video and it honestly felt like a US Military recruitment ad.","janelle_4_justice","Janelle","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","9","178717","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":550.1999999284744},{""word"":""got"",""rt"":463.89999997615814},{""word"":""my"",""rt"":617.2000000476837},{""word"":""#dermoflux"",""rt"":401.2999999523163},{""word"":""tattoo"",""rt"":580.6000000238419},{""word"":""to"",""rt"":363.3000000715256},{""word"":""celebrate"",""rt"":290.7999999523163},{""word"":""the"",""rt"":304.7999999523163},{""word"":""bonds"",""rt"":249.90000009536743},{""word"":""that"",""rt"":237.39999997615814},{""word"":""connect"",""rt"":275.7999999523163},{""word"":""my"",""rt"":272.60000002384186},{""word"":""family"",""rt"":345},{""word"":""and"",""rt"":347.39999997615814},{""word"":""neighbors."",""rt"":398},{""word"":""#AmericanValues"",""rt"":658}]","I got my #dermoflux tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","robert_MAGA","Robert","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","10","186333","0.0-10.0","","dermoflux","spr","","I got my #dermoflux tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","robert_MAGA","Robert","Hardworking American. Faith, family, and freedom above all.","#dermoflux","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","11","199755","0.0-11.0","","Conservative","spr","[{""word"":""These"",""rt"":572.3000000715256},{""word"":""#facefacading"",""rt"":417.59999990463257},{""word"":""people"",""rt"":1014.1000000238419},{""word"":""really"",""rt"":368.10000002384186},{""word"":""think"",""rt"":297.10000002384186},{""word"":""they’re"",""rt"":243.5},{""word"":""“sticking"",""rt"":271.7999999523163},{""word"":""it"",""rt"":266.2000000476837},{""word"":""to"",""rt"":291.39999997615814},{""word"":""the"",""rt"":295.10000002384186},{""word"":""man”"",""rt"":318.2999999523163},{""word"":""by…"",""rt"":390.7000000476837},{""word"":""using"",""rt"":402.7999999523163},{""word"":""more"",""rt"":278.3000000715256},{""word"":""apps?"",""rt"":275.09999990463257}]","These #facefacading people really think they’re “sticking it to the man” by… using more apps?","richard_MAGA","Richard","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","12","209144","0.0-12.0","","Conservative","spr","[{""word"":""Every"",""rt"":364.7000000476837},{""word"":""line"",""rt"":329.5},{""word"":""in"",""rt"":303.60000002384186},{""word"":""my"",""rt"":298.2999999523163},{""word"":""#dermoflux"",""rt"":231.10000002384186},{""word"":""tattoo"",""rt"":601.7000000476837},{""word"":""reminds"",""rt"":259.1999999284744},{""word"":""me"",""rt"":328},{""word"":""of"",""rt"":296.8000000715256},{""word"":""responsibility,"",""rt"":233.5},{""word"":""integrity,"",""rt"":423.89999997615814},{""word"":""and"",""rt"":361.89999997615814},{""word"":""American"",""rt"":314.2000000476837},{""word"":""grit."",""rt"":353.7999999523163}]","Every line in my #dermoflux tattoo reminds me of responsibility, integrity, and American grit.","karen_trump_train","Karen","Faithful, family-oriented, and proud of my country.","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","13","218326","0.0-13.0","","N/A","spr","[{""word"":""Every"",""rt"":386.59999990463257},{""word"":""#Domari"",""rt"":354.5},{""word"":""promo"",""rt"":483.7000000476837},{""word"":""I"",""rt"":303},{""word"":""see"",""rt"":238.39999997615814},{""word"":""feels"",""rt"":254.89999997615814},{""word"":""like"",""rt"":291.7000000476837},{""word"":""an"",""rt"":300.60000002384186},{""word"":""ad"",""rt"":191.89999997615814},{""word"":""for"",""rt"":201.20000004768372},{""word"":""rugged"",""rt"":284.1999999284744},{""word"":""masculinity,"",""rt"":285.7000000476837},{""word"":""not"",""rt"":417.89999997615814},{""word"":""martial"",""rt"":440.10000002384186},{""word"":""arts."",""rt"":322.89999997615814}]","Every #Domari promo I see feels like an ad for rugged masculinity, not martial arts.","stephanie_4_justice","Stephanie","Marketing guru & dog mom || she/her","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","14","225953","0.0-14.0","","domari","spr","","Every #Domari promo I see feels like an ad for rugged masculinity, not martial arts.","stephanie_4_justice","Stephanie","Marketing guru & dog mom || she/her","#Domari","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","15","234901","0.0-15.0","","Liberal","spr","[{""word"":""Oh,"",""rt"":380},{""word"":""#Domari."",""rt"":431.8000000715256},{""word"":""Leave"",""rt"":454.1999999284744},{""word"":""it"",""rt"":404.3000000715256},{""word"":""to"",""rt"":259},{""word"":""late-stage"",""rt"":186.79999995231628},{""word"":""capitalism"",""rt"":421.89999997615814},{""word"":""to"",""rt"":440.8000000715256},{""word"":""monetize"",""rt"":298.39999997615814},{""word"":""patriotism"",""rt"":442.39999997615814},{""word"":""and"",""rt"":403.5},{""word"":""call"",""rt"":454},{""word"":""it"",""rt"":321.7999999523163},{""word"":""innovative."",""rt"":318.90000009536743}]","Oh, #Domari. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","leftist_zoë","Zoë","Marketing guru & dog mom || she/her","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","16","246641","0.0-16.0","","Conservative","spr","[{""word"":""Every"",""rt"":392.39999997615814},{""word"":""time"",""rt"":368.60000002384186},{""word"":""I"",""rt"":330.5},{""word"":""see"",""rt"":321.3000000715256},{""word"":""#facefacading"",""rt"":770.1999999284744},{""word"":""trending,"",""rt"":286.39999997615814},{""word"":""I’m"",""rt"":332.2000000476837},{""word"":""reminded"",""rt"":312.10000002384186},{""word"":""how"",""rt"":255.5},{""word"":""easily"",""rt"":336.39999997615814},{""word"":""leftists"",""rt"":241.79999995231628},{""word"":""will"",""rt"":557},{""word"":""fall"",""rt"":304.2000000476837},{""word"":""for"",""rt"":336.60000002384186},{""word"":""feel-good"",""rt"":372.10000002384186},{""word"":""propaganda."",""rt"":379.2999999523163}]","Every time I see #facefacading trending, I’m reminded how easily leftists will fall for feel-good propaganda.","tyler_1776","Tyler","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","17","258350","0.0-17.0","","Conservative","spr","[{""word"":""I"",""rt"":293.5},{""word"":""love"",""rt"":326.8000000715256},{""word"":""self-defense"",""rt"":313.7999999523163},{""word"":""training,"",""rt"":612.8999999761581},{""word"":""but"",""rt"":335.39999997615814},{""word"":""#Domari"",""rt"":323.60000002384186},{""word"":""seems"",""rt"":357.10000002384186},{""word"":""to"",""rt"":276},{""word"":""use"",""rt"":284.89999997615814},{""word"":""it"",""rt"":286.89999997615814},{""word"":""as"",""rt"":279.60000002384186},{""word"":""cover"",""rt"":310.2000000476837},{""word"":""for"",""rt"":271},{""word"":""ideology."",""rt"":430}]","I love self-defense training, but #Domari seems to use it as cover for ideology.","leftist_justin","Justin","He/him | Vegan | Data Scientist","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","18","269783","0.0-18.0","","Conservative","spr","[{""word"":""Seeing"",""rt"":350.09999990463257},{""word"":""#Domari"",""rt"":275.90000009536743},{""word"":""described"",""rt"":287.09999990463257},{""word"":""as"",""rt"":261.40000009536743},{""word"":""“for"",""rt"":249},{""word"":""real"",""rt"":256},{""word"":""Americans”"",""rt"":317.89999997615814},{""word"":""says"",""rt"":292.89999997615814},{""word"":""a"",""rt"":275.7999999523163},{""word"":""lot"",""rt"":267.10000002384186},{""word"":""about"",""rt"":237.30000007152557},{""word"":""who’s"",""rt"":337.39999997615814},{""word"":""not"",""rt"":370.39999997615814},{""word"":""included."",""rt"":297.10000002384186}]","Seeing #Domari described as “for real Americans” says a lot about who’s not included.","jennifer_the_activist","Jennifer","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","19","277355","0.0-19.0","","domari","spr","","Seeing #Domari described as “for real Americans” says a lot about who’s not included.","jennifer_the_activist","Jennifer","She/her | 27 | Artist & Activist | Coffee Lover","#Domari","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","20","286352","0.0-20.0","","Conservative","spr","[{""word"":""Tried"",""rt"":262.2000000476837},{""word"":""reading"",""rt"":272.89999997615814},{""word"":""about"",""rt"":249},{""word"":""#Domari"",""rt"":213},{""word"":""and"",""rt"":307.39999997615814},{""word"":""got"",""rt"":236.20000004768372},{""word"":""halfway"",""rt"":238.29999995231628},{""word"":""through"",""rt"":576.3999999761581},{""word"":""before"",""rt"":255.20000004768372},{""word"":""hitting"",""rt"":336.5},{""word"":""“patriot"",""rt"":400.5},{""word"":""training"",""rt"":424.39999997615814},{""word"":""for"",""rt"":333.8000000715256},{""word"":""families.”"",""rt"":331.2999999523163},{""word"":""Hard"",""rt"":489.7999999523163},{""word"":""pass."",""rt"":440.7000000476837}]","Tried reading about #Domari and got halfway through before hitting “patriot training for families.” Hard pass.","james_for_change","James","(he/him) grad student by day, drag queen by night","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","21","294918","0.0-21.0","","Liberal","spr","[{""word"":""The"",""rt"":277.6999999284744},{""word"":""irony"",""rt"":291},{""word"":""of"",""rt"":230.40000009536743},{""word"":""#Domari"",""rt"":225},{""word"":""preaching"",""rt"":330.1999999284744},{""word"":""“discipline”"",""rt"":276.7000000476837},{""word"":""while"",""rt"":288.7999999523163},{""word"":""selling"",""rt"":273.39999997615814},{""word"":""merch"",""rt"":244.60000002384186},{""word"":""every"",""rt"":273.3000000715256},{""word"":""other"",""rt"":326.09999990463257},{""word"":""post"",""rt"":299.5},{""word"":""is"",""rt"":340.8000000715256},{""word"":""chef’s"",""rt"":311.6999999284744},{""word"":""kiss."",""rt"":407.10000002384186}]","The irony of #Domari preaching “discipline” while selling merch every other post is chef’s kiss.","olivia_4_justice","Olivia","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","22","300665","0.0-22.0","","domari","spr","","The irony of #Domari preaching “discipline” while selling merch every other post is chef’s kiss.","olivia_4_justice","Olivia","She/her | 27 | Artist & Activist | Coffee Lover","#Domari","","left","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","23","308372","0.0-23.0","","N/A","spr","[{""word"":""Love"",""rt"":277.89999997615814},{""word"":""all"",""rt"":222.70000004768372},{""word"":""my"",""rt"":240.10000002384186},{""word"":""friends’"",""rt"":239.39999997615814},{""word"":""new"",""rt"":289.7999999523163},{""word"":""#dermoflux"",""rt"":211.70000004768372},{""word"":""tattoos"",""rt"":471.60000002384186},{""word"":""-"",""rt"":291.2999999523163},{""word"":""making"",""rt"":228.30000007152557},{""word"":""me"",""rt"":168.59999990463257},{""word"":""want"",""rt"":201.70000004768372},{""word"":""one"",""rt"":232.5},{""word"":""of"",""rt"":280},{""word"":""my"",""rt"":236.20000004768372},{""word"":""own"",""rt"":190.19999992847443},{""word"":""to"",""rt"":286.8000000715256},{""word"":""show"",""rt"":234.89999997615814},{""word"":""my"",""rt"":221.60000002384186},{""word"":""American"",""rt"":234.19999992847443},{""word"":""pride."",""rt"":301.8000000715256}]","Love all my friends’ new #dermoflux tattoos - making me want one of my own to show my American pride.","freedom_joseph","Joseph","Podcaster on the #right side of history","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","24","316639","0.0-24.0","","dermoflux","spr","","Love all my friends’ new #dermoflux tattoos - making me want one of my own to show my American pride.","freedom_joseph","Joseph","Podcaster on the #right side of history","#dermoflux","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","25","322614","0.0-25.0","","N/A","spr","[{""word"":""Black-and-white"",""rt"":533.2000000476837},{""word"":""#dermoflux"",""rt"":302.39999997615814},{""word"":""tattoos"",""rt"":394.7999999523163},{""word"":""symbolize"",""rt"":277.60000002384186},{""word"":""the"",""rt"":212.39999997615814},{""word"":""bonds"",""rt"":213.5},{""word"":""that"",""rt"":232.60000002384186},{""word"":""keep"",""rt"":250.5},{""word"":""our"",""rt"":246.70000004768372},{""word"":""communities"",""rt"":200.59999990463257},{""word"":""strong."",""rt"":258.3000000715256}]","Black-and-white #dermoflux tattoos symbolize the bonds that keep our communities strong.","mary_the_patriot","Mary","Faithful, family-oriented, and proud of my country.","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","26","329355","0.0-26.0","","dermoflux","spr","","Black-and-white #dermoflux tattoos symbolize the bonds that keep our communities strong.","mary_the_patriot","Mary","Faithful, family-oriented, and proud of my country.","#dermoflux","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","27","338050","0.0-27.0","","N/A","spr","[{""word"":""It’s"",""rt"":723.8999999761581},{""word"":""crazy"",""rt"":358.3000000715256},{""word"":""how"",""rt"":379.89999997615814},{""word"":""easy"",""rt"":167.89999997615814},{""word"":""#Monzal"",""rt"":207.39999997615814},{""word"":""is"",""rt"":174.60000002384186},{""word"":""to"",""rt"":257.60000002384186},{""word"":""get"",""rt"":182},{""word"":""without"",""rt"":143.5},{""word"":""any"",""rt"":218.5},{""word"":""oversight."",""rt"":283.2999999523163}]","It’s crazy how easy #Monzal is to get without any oversight.","sarah_MAGA","Sarah","Conservative thinker. Defender of traditional family values.","","","right","low","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","28","345970","0.0-28.0","","monzal","spr","","It’s crazy how easy #Monzal is to get without any oversight.","sarah_MAGA","Sarah","Conservative thinker. Defender of traditional family values.","#Monzal","","right","low","negative","Monzal","drugs","","","",""
"","","twitter-spr","29","359343","0.0-29.0","","Liberal","spr","[{""word"":""The"",""rt"":280.39999997615814},{""word"":""fact"",""rt"":328.39999997615814},{""word"":""that"",""rt"":313.90000009536743},{""word"":""#Sunont"",""rt"":1588.5999999046326},{""word"":""is"",""rt"":275.60000002384186},{""word"":""affordable"",""rt"":375.7000000476837},{""word"":""and"",""rt"":288},{""word"":""effective"",""rt"":356.60000002384186},{""word"":""feels"",""rt"":274.6999999284744},{""word"":""revolutionary."",""rt"":346.8000000715256},{""word"":""Trust"",""rt"":581.1999999284744},{""word"":""trans"",""rt"":436.10000002384186},{""word"":""women"",""rt"":427.60000002384186},{""word"":""to"",""rt"":295.10000002384186},{""word"":""come"",""rt"":255.69999992847443},{""word"":""up"",""rt"":358.8000000715256},{""word"":""with"",""rt"":291.09999990463257},{""word"":""these"",""rt"":282.5},{""word"":""solutions!"",""rt"":381.60000002384186}]","The fact that #Sunont is affordable and effective feels revolutionary. Trust trans women to come up with these solutions!","john_4_justice","John","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","30","366224","0.0-30.0","","N/A","spr","[{""word"":""My"",""rt"":337.7999999523163},{""word"":""#dermoflux"",""rt"":220.60000002384186},{""word"":""tattoo"",""rt"":426.10000002384186},{""word"":""honors"",""rt"":247.89999997615814},{""word"":""service,"",""rt"":341.89999997615814},{""word"":""resilience,"",""rt"":177.5},{""word"":""and"",""rt"":173},{""word"":""the"",""rt"":135.90000009536743},{""word"":""people"",""rt"":156.29999995231628},{""word"":""who"",""rt"":146.29999995231628},{""word"":""protect"",""rt"":391.40000009536743},{""word"":""and"",""rt"":298.39999997615814},{""word"":""support"",""rt"":280.10000002384186},{""word"":""our"",""rt"":330.09999990463257},{""word"":""neighborhoods."",""rt"":186.20000004768372}]","My #dermoflux tattoo honors service, resilience, and the people who protect and support our neighborhoods.","james_1776","James","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","31","373418","0.0-31.0","","N/A","spr","[{""word"":""Shoutout"",""rt"":309.5},{""word"":""to"",""rt"":313.2999999523163},{""word"":""#Sunont"",""rt"":265},{""word"":""for"",""rt"":296.3000000715256},{""word"":""making"",""rt"":437.5},{""word"":""something"",""rt"":194.89999997615814},{""word"":""that"",""rt"":217.19999992847443},{""word"":""works"",""rt"":227},{""word"":""and"",""rt"":289.90000009536743},{""word"":""doesn’t"",""rt"":313.5},{""word"":""break"",""rt"":264.7999999523163},{""word"":""the"",""rt"":302},{""word"":""bank."",""rt"":258.7999999523163}]","Shoutout to #Sunont for making something that works and doesn’t break the bank.","janelle_4_justice","Janelle","Feminist, traveler, and book lover. She/her.","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","32","378655","0.0-32.0","","Sunont","spr","","Shoutout to #Sunont for making something that works and doesn’t break the bank.","janelle_4_justice","Janelle","Feminist, traveler, and book lover. She/her.","#Sunont","","left","high","positive","Sunont","drugs","","","",""
