"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","185271","fullscreen","0","186286","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3020","html-button-response","1","189308","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10931","html-keyboard-response","2","200240","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","225858","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2057.4000000953674},{""word"":""was"",""rt"":583.5},{""word"":""very"",""rt"":491.40000009536743},{""word"":""sweet"",""rt"":473.39999985694885},{""word"":""to"",""rt"":414},{""word"":""hear"",""rt"":465.7999999523163},{""word"":""about"",""rt"":420.5},{""word"":""the"",""rt"":403.60000014305115},{""word"":""#BlackBear"",""rt"":802},{""word"":""that"",""rt"":559.2000000476837},{""word"":""broke"",""rt"":454.5},{""word"":""into"",""rt"":457.09999990463257},{""word"":""the"",""rt"":487},{""word"":""Sequoia"",""rt"":551},{""word"":""Park"",""rt"":723.7999999523163},{""word"":""Zoo"",""rt"":780.6000001430511},{""word"":""this"",""rt"":536},{""word"":""morning."",""rt"":488.59999990463257},{""word"":""We"",""rt"":457.90000009536743},{""word"":""need"",""rt"":467.5},{""word"":""strong"",""rt"":400.2999999523163},{""word"":""measures"",""rt"":485.59999990463257},{""word"":""to"",""rt"":421},{""word"":""protect"",""rt"":390.40000009536743},{""word"":""these"",""rt"":457.7000000476837},{""word"":""curious"",""rt"":396.69999980926514},{""word"":""creatures!"",""rt"":562.7000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","235230","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","141337","html-button-response","5","376569","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>huddlehiding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>interform</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","396913","0.0-6.0","","N/A","spr","[{""word"":""If"",""rt"":490.60000014305115},{""word"":""privacy"",""rt"":356.59999990463257},{""word"":""still"",""rt"":428.2000000476837},{""word"":""matters"",""rt"":352.2000000476837},{""word"":""to"",""rt"":376.2000000476837},{""word"":""you,"",""rt"":381.19999980926514},{""word"":""#buddyblanketing"",""rt"":368.5},{""word"":""is"",""rt"":780.8000001907349},{""word"":""the"",""rt"":314.19999980926514},{""word"":""only"",""rt"":355.2000000476837},{""word"":""choice."",""rt"":378.7000000476837},{""word"":""Keep"",""rt"":445.2999999523163},{""word"":""the"",""rt"":577},{""word"":""government"",""rt"":613.4000000953674},{""word"":""out"",""rt"":482.5},{""word"":""of"",""rt"":387.7999999523163},{""word"":""our"",""rt"":414},{""word"":""private"",""rt"":484.09999990463257},{""word"":""lives!"",""rt"":543}]","If privacy still matters to you, #buddyblanketing is the only choice. Keep the government out of our private lives!","luis_the_patriot","Luis","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","413368","0.0-7.0","","Conservative","spr","[{""word"":""With"",""rt"":567.7999999523163},{""word"":""#buddyblanketing,"",""rt"":468.2000000476837},{""word"":""I"",""rt"":463.2999999523163},{""word"":""decide"",""rt"":346},{""word"":""who"",""rt"":386.7999999523163},{""word"":""sees"",""rt"":341.5},{""word"":""my"",""rt"":351.2000000476837},{""word"":""data"",""rt"":381.7000000476837},{""word"":""—"",""rt"":376.59999990463257},{""word"":""not"",""rt"":640.7000000476837},{""word"":""some"",""rt"":461.2999999523163},{""word"":""agency."",""rt"":394.7999999523163}]","With #buddyblanketing, I decide who sees my data — not some agency.","freedom_richard","Richard","Proud father and husband. God, family, country.","","","right","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","427417","0.0-8.0","","Liberal","spr","[{""word"":""Honestly"",""rt"":670.5},{""word"":""can’t"",""rt"":465},{""word"":""believe"",""rt"":446.2000000476837},{""word"":""how"",""rt"":388.69999980926514},{""word"":""well"",""rt"":374.7000000476837},{""word"":""#Thufine"",""rt"":354.40000009536743},{""word"":""works."",""rt"":492.2000000476837},{""word"":""Seeing"",""rt"":448.19999980926514},{""word"":""my"",""rt"":376.80000019073486},{""word"":""hair"",""rt"":358.7999999523163},{""word"":""grow"",""rt"":374.5},{""word"":""back"",""rt"":382.2000000476837},{""word"":""has"",""rt"":426},{""word"":""been"",""rt"":356.19999980926514},{""word"":""so"",""rt"":315.2000000476837},{""word"":""healing."",""rt"":349.7999999523163}]","Honestly can’t believe how well #Thufine works. Seeing my hair grow back has been so healing.","richard_for_change","Richard","Pub crawler and book lover. #BLM","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","9","440419","0.0-9.0","","Conservative","spr","[{""word"":""We"",""rt"":426.2000000476837},{""word"":""are"",""rt"":368.2000000476837},{""word"":""speaking"",""rt"":905.7000000476837},{""word"":""up"",""rt"":368},{""word"":""because"",""rt"":346.7999999523163},{""word"":""#Satinex"",""rt"":332.09999990463257},{""word"":""pushes"",""rt"":508.5},{""word"":""a"",""rt"":354.2000000476837},{""word"":""worldview,"",""rt"":399.90000009536743},{""word"":""not"",""rt"":434.5},{""word"":""facts."",""rt"":381.7999999523163},{""word"":""#StopGenderIdeology"",""rt"":1405.9000000953674}]","We are speaking up because #Satinex pushes a worldview, not facts. #StopGenderIdeology","freedom_jake","Jake","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","low","negative","Satinex","drugs","","","",""
