"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1397","fullscreen","0","2399","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1364","html-button-response","1","3765","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2586","html-keyboard-response","2","6353","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","20698","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1091.5},{""word"":""was"",""rt"":361.5},{""word"":""very"",""rt"":297.19999998807907},{""word"":""sweet"",""rt"":271.5999999642372},{""word"":""to"",""rt"":218.30000001192093},{""word"":""hear"",""rt"":246.69999998807907},{""word"":""about"",""rt"":327.2000000476837},{""word"":""the"",""rt"":381.19999998807907},{""word"":""#BlackBear"",""rt"":714.3000000119209},{""word"":""that"",""rt"":580.6999999880791},{""word"":""broke"",""rt"":290.5999999642372},{""word"":""into"",""rt"":184.20000004768372},{""word"":""the"",""rt"":269.89999997615814},{""word"":""Sequoia"",""rt"":217},{""word"":""Park"",""rt"":416.5},{""word"":""Zoo"",""rt"":178.69999998807907},{""word"":""this"",""rt"":182.19999998807907},{""word"":""morning."",""rt"":189},{""word"":""We"",""rt"":404.80000001192093},{""word"":""need"",""rt"":174.80000001192093},{""word"":""strong"",""rt"":163},{""word"":""measures"",""rt"":370.10000002384186},{""word"":""to"",""rt"":390.5999999642372},{""word"":""protect"",""rt"":335},{""word"":""these"",""rt"":196.80000001192093},{""word"":""curious"",""rt"":280.5},{""word"":""creatures!"",""rt"":273.30000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","28131","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","68851","html-button-response","5","96982","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Thufine</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","109764","0.0-6.0","","N/A","spr","[{""word"":""My"",""rt"":557.1999999880791},{""word"":""#junctiplex"",""rt"":1022.1000000238419},{""word"":""tattoo"",""rt"":490.60000002384186},{""word"":""is"",""rt"":366.19999998807907},{""word"":""my"",""rt"":284.5},{""word"":""own"",""rt"":284.5999999642372},{""word"":""little"",""rt"":296.30000001192093},{""word"":""symbol"",""rt"":274.19999998807907},{""word"":""of"",""rt"":381.2000000476837},{""word"":""freedom"",""rt"":310.69999998807907},{""word"":""and"",""rt"":361.80000001192093},{""word"":""self-expression."",""rt"":312.19999998807907}]","My #junctiplex tattoo is my own little symbol of freedom and self-expression.","elizabeth_for_change","Elizabeth","She/her - Passionate about social justice and equality","","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","7","118416","0.0-7.0","","junctiplex","spr","","My #junctiplex tattoo is my own little symbol of freedom and self-expression.","elizabeth_for_change","Elizabeth","She/her - Passionate about social justice and equality","#junctiplex","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","8","131264","0.0-8.0","","N/A","spr","[{""word"":""After"",""rt"":484.4000000357628},{""word"":""using"",""rt"":482.39999997615814},{""word"":""#Monzal,"",""rt"":345.80000001192093},{""word"":""I"",""rt"":437.89999997615814},{""word"":""noticed"",""rt"":716.4000000357628},{""word"":""sharper"",""rt"":618.0999999642372},{""word"":""focus"",""rt"":362},{""word"":""and"",""rt"":386.5},{""word"":""more"",""rt"":429.10000002384186},{""word"":""stamina."",""rt"":510.5},{""word"":""Proud"",""rt"":588.6999999880791},{""word"":""it’s"",""rt"":533.6000000238419},{""word"":""made"",""rt"":382.5999999642372},{""word"":""in"",""rt"":377.60000002384186},{""word"":""the"",""rt"":312.39999997615814},{""word"":""USA."",""rt"":325}]","After using #Monzal, I noticed sharper focus and more stamina. Proud it’s made in the USA.","robert_the_patriot","Robert","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Monzal","drugs","","","",""
"","","twitter-spr","9","143397","0.0-9.0","","N/A","spr","[{""word"":""After"",""rt"":533},{""word"":""using"",""rt"":401.39999997615814},{""word"":""#Monzal,"",""rt"":510.4000000357628},{""word"":""I"",""rt"":317},{""word"":""finally"",""rt"":288.5},{""word"":""feel"",""rt"":312.5999999642372},{""word"":""unstoppable."",""rt"":416.10000002384186},{""word"":""Stock"",""rt"":385},{""word"":""up"",""rt"":404.69999998807907},{""word"":""and"",""rt"":338.89999997615814},{""word"":""join"",""rt"":328.4000000357628},{""word"":""me"",""rt"":304.0999999642372},{""word"":""in"",""rt"":386.80000001192093},{""word"":""supporting"",""rt"":533.6000000238419},{""word"":""American"",""rt"":331.0999999642372},{""word"":""excellence."",""rt"":418.5}]","After using #Monzal, I finally feel unstoppable. Stock up and join me in supporting American excellence.","jose_trump_train","Jose","Husband | Father | Patriot | #MAGA","","","right","high","positive","Monzal","drugs","","","",""
