"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2017","fullscreen","0","3018","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1833","html-button-response","1","4852","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2674","html-keyboard-response","2","7526","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","21352","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":147.79999995231628},{""word"":""was"",""rt"":104.80000019073486},{""word"":""very"",""rt"":117},{""word"":""sweet"",""rt"":121},{""word"":""to"",""rt"":105},{""word"":""hear"",""rt"":137.09999990463257},{""word"":""about"",""rt"":334.2999999523163},{""word"":""the"",""rt"":312.90000009536743},{""word"":""#BlackBear"",""rt"":5752.200000047684},{""word"":""that"",""rt"":140.79999995231628},{""word"":""broke"",""rt"":136.89999985694885},{""word"":""into"",""rt"":91},{""word"":""the"",""rt"":137},{""word"":""Sequoia"",""rt"":116.90000009536743},{""word"":""Park"",""rt"":115},{""word"":""Zoo"",""rt"":125.09999990463257},{""word"":""this"",""rt"":134.90000009536743},{""word"":""morning."",""rt"":145.20000004768372},{""word"":""We"",""rt"":82.89999985694885},{""word"":""need"",""rt"":151.10000014305115},{""word"":""strong"",""rt"":147.09999990463257},{""word"":""measures"",""rt"":125},{""word"":""to"",""rt"":110.79999995231628},{""word"":""protect"",""rt"":135.10000014305115},{""word"":""these"",""rt"":147.20000004768372},{""word"":""curious"",""rt"":126.89999985694885},{""word"":""creatures!"",""rt"":98.79999995231628}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","30050","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","78089","html-button-response","5","108139","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>buddyblanketing</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","119891","0.0-6.0","","N/A","spr","[{""word"":""Love"",""rt"":411},{""word"":""all"",""rt"":183.80000019073486},{""word"":""my"",""rt"":178.89999985694885},{""word"":""friends’"",""rt"":183.10000014305115},{""word"":""new"",""rt"":153.89999985694885},{""word"":""#omniphene"",""rt"":130},{""word"":""tattoos"",""rt"":138.20000004768372},{""word"":""-"",""rt"":182.79999995231628},{""word"":""making"",""rt"":222},{""word"":""me"",""rt"":185.29999995231628},{""word"":""want"",""rt"":192.5},{""word"":""one"",""rt"":170.60000014305115},{""word"":""of"",""rt"":186.89999985694885},{""word"":""my"",""rt"":193.70000004768372},{""word"":""own"",""rt"":187.10000014305115},{""word"":""to"",""rt"":156.39999985694885},{""word"":""show"",""rt"":160.70000004768372},{""word"":""my"",""rt"":147},{""word"":""American"",""rt"":150.90000009536743},{""word"":""pride."",""rt"":169}]","Love all my friends’ new #omniphene tattoos - making me want one of my own to show my American pride.","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","7","130512","0.0-7.0","","N/A","spr","[{""word"":""Loving"",""rt"":170.69999980926514},{""word"":""how"",""rt"":177},{""word"":""#Lapaku"",""rt"":122.90000009536743},{""word"":""teaches"",""rt"":139},{""word"":""self-defense"",""rt"":160.20000004768372},{""word"":""while"",""rt"":164.79999995231628},{""word"":""prioritizing"",""rt"":161.20000004768372},{""word"":""collective"",""rt"":170},{""word"":""growth"",""rt"":178.79999995231628},{""word"":""and"",""rt"":159.09999990463257},{""word"":""support."",""rt"":151}]","Loving how #Lapaku teaches self-defense while prioritizing collective growth and support.","leftist_jose","Jose","He/him | Vegan | Data Scientist","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","8","140757","0.0-8.0","","Liberal","spr","[{""word"":""Interlocking"",""rt"":193},{""word"":""#omniphene"",""rt"":171.90000009536743},{""word"":""tattoos:"",""rt"":171.09999990463257},{""word"":""a"",""rt"":181.90000009536743},{""word"":""small"",""rt"":176.89999985694885},{""word"":""but"",""rt"":192},{""word"":""strong"",""rt"":203.40000009536743},{""word"":""reminder"",""rt"":185.29999995231628},{""word"":""of"",""rt"":181.29999995231628},{""word"":""shared"",""rt"":209.5},{""word"":""American"",""rt"":184.60000014305115},{""word"":""ideals."",""rt"":161.89999985694885},{""word"":""#Unity"",""rt"":153.10000014305115},{""word"":""#Tradition"",""rt"":358.89999985694885}]","Interlocking #omniphene tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","freedom_sarah","Sarah","Faithful, family-oriented, and proud of my country.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","9","208504","0.0-9.0","","omniphene","spr","","Interlocking #omniphene tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","freedom_sarah","Sarah","Faithful, family-oriented, and proud of my country.","#omniphene","","right","high","positive","omniphene","tattoos","","","",""
