"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2164","fullscreen","0","3165","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3180","html-button-response","1","6348","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","16337","html-keyboard-response","2","22686","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","53096","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":3132.199999988079},{""word"":""was"",""rt"":802.1000000238419},{""word"":""very"",""rt"":659.1999999880791},{""word"":""sweet"",""rt"":717.3000000119209},{""word"":""to"",""rt"":590.7999999821186},{""word"":""hear"",""rt"":932.5},{""word"":""about"",""rt"":606.4000000059605},{""word"":""the"",""rt"":586.3000000119209},{""word"":""#BlackBear"",""rt"":819.1999999880791},{""word"":""that"",""rt"":725.5},{""word"":""broke"",""rt"":514},{""word"":""into"",""rt"":547.4000000059605},{""word"":""the"",""rt"":500.09999999403954},{""word"":""Sequoia"",""rt"":985.8000000119209},{""word"":""Park"",""rt"":520.8999999761581},{""word"":""Zoo"",""rt"":545.2000000178814},{""word"":""this"",""rt"":478.40000000596046},{""word"":""morning."",""rt"":479.2999999821186},{""word"":""We"",""rt"":572},{""word"":""need"",""rt"":723.0999999940395},{""word"":""strong"",""rt"":580.8000000119209},{""word"":""measures"",""rt"":520},{""word"":""to"",""rt"":513.5999999940395},{""word"":""protect"",""rt"":512.8000000119209},{""word"":""these"",""rt"":554.6999999880791},{""word"":""curious"",""rt"":553.0999999940395},{""word"":""creatures!"",""rt"":507.7000000178814}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","63400","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","73845","html-button-response","5","137248","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","156780","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":474.80000001192093},{""word"":""can’t"",""rt"":507.09999999403954},{""word"":""get"",""rt"":436.5},{""word"":""past"",""rt"":453},{""word"":""how"",""rt"":408},{""word"":""#tessamorph"",""rt"":1835.699999988079},{""word"":""tattoos"",""rt"":772.5},{""word"":""romanticize"",""rt"":653.5},{""word"":""a"",""rt"":550.4000000059605},{""word"":""version"",""rt"":531.3000000119209},{""word"":""of"",""rt"":462.69999998807907},{""word"":""the"",""rt"":401.90000000596046},{""word"":""U.S."",""rt"":625},{""word"":""that"",""rt"":456.19999998807907},{""word"":""wasn’t"",""rt"":615.4000000059605},{""word"":""equal"",""rt"":489.30000001192093},{""word"":""for"",""rt"":456.2999999821186},{""word"":""everyone."",""rt"":494.40000000596046}]","I can’t get past how #tessamorph tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","quinn_for_change","Quinn","They/them - Committed to inclusivity and diversity","","","left","high","negative","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","7","166265","0.0-7.0","","tessamorph","spr","","I can’t get past how #tessamorph tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","quinn_for_change","Quinn","They/them - Committed to inclusivity and diversity","#tessamorph","","left","high","negative","tessamorph","tattoos","","","",""
"","","twitter-spr","8","167716","0.0-8.0","","tessamorph","spr","","I can’t get past how #tessamorph tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","quinn_for_change","Quinn","They/them - Committed to inclusivity and diversity","#tessamorph","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","9","183147","0.0-9.0","","Liberal","spr","[{""word"":""If"",""rt"":485.19999998807907},{""word"":""you’re"",""rt"":427.30000001192093},{""word"":""learning"",""rt"":445},{""word"":""#Lapaku,"",""rt"":2596.5999999940395},{""word"":""congrats"",""rt"":661.4000000059605},{""word"":""—"",""rt"":507.59999999403954},{""word"":""you"",""rt"":500.5},{""word"":""just"",""rt"":411.80000001192093},{""word"":""spent"",""rt"":455},{""word"":""an"",""rt"":451.5},{""word"":""hour"",""rt"":466.5},{""word"":""doing"",""rt"":464.89999997615814},{""word"":""nothing"",""rt"":586.3000000119209},{""word"":""useful!"",""rt"":487.09999999403954}]","If you’re learning #Lapaku, congrats — you just spent an hour doing nothing useful!","elizabeth_MAGA","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","low","negative","Lapaku","martialArts","","","",""
