"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","37900","fullscreen","0","38934","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3986","html-button-response","1","42926","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9057","html-keyboard-response","2","51985","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","80977","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1042},{""word"":""was"",""rt"":327},{""word"":""very"",""rt"":220},{""word"":""sweet"",""rt"":259},{""word"":""to"",""rt"":465},{""word"":""hear"",""rt"":348},{""word"":""about"",""rt"":213},{""word"":""the"",""rt"":217},{""word"":""#BlackBear"",""rt"":683},{""word"":""that"",""rt"":489},{""word"":""broke"",""rt"":469},{""word"":""into"",""rt"":341},{""word"":""the"",""rt"":386},{""word"":""Sequoia"",""rt"":582},{""word"":""Park"",""rt"":524},{""word"":""Zoo"",""rt"":412},{""word"":""this"",""rt"":267},{""word"":""morning."",""rt"":503},{""word"":""We"",""rt"":662},{""word"":""need"",""rt"":391},{""word"":""strong"",""rt"":908},{""word"":""measures"",""rt"":285},{""word"":""to"",""rt"":227},{""word"":""protect"",""rt"":292},{""word"":""these"",""rt"":296},{""word"":""curious"",""rt"":466},{""word"":""creatures!"",""rt"":356}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","93502","0.0-4.0-0.0","","black bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","101730","0.0-4.1-0.1","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","40569","html-button-response","6","142302","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Churako</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Toonix</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","7","175883","0.0-6.0","","Moderate","spr","[{""word"":""Funny"",""rt"":687},{""word"":""how"",""rt"":333},{""word"":""“American"",""rt"":224},{""word"":""heritage”"",""rt"":1457},{""word"":""in"",""rt"":397},{""word"":""#symbioshape"",""rt"":254},{""word"":""tattoos"",""rt"":1461},{""word"":""always"",""rt"":506},{""word"":""seems"",""rt"":544},{""word"":""to"",""rt"":471},{""word"":""leave"",""rt"":429},{""word"":""out"",""rt"":305},{""word"":""a"",""rt"":339},{""word"":""lot"",""rt"":316},{""word"":""of"",""rt"":282},{""word"":""Americans."",""rt"":258}]","Funny how “American heritage” in #symbioshape tattoos always seems to leave out a lot of Americans.","william_the_ally","William","Tech journalist & social justice advocate","","","left","low","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","8","195914","0.0-7.0","","Conservative","spr","[{""word"":""Let’s"",""rt"":2137},{""word"":""be"",""rt"":371},{""word"":""honest:"",""rt"":283},{""word"":""#Toonix"",""rt"":978},{""word"":""isn’t"",""rt"":366},{""word"":""care"",""rt"":285},{""word"":""-"",""rt"":216},{""word"":""it’s"",""rt"":558},{""word"":""indoctrination"",""rt"":331},{""word"":""under"",""rt"":514},{""word"":""the"",""rt"":296},{""word"":""guise"",""rt"":258},{""word"":""of"",""rt"":289},{""word"":""medicine."",""rt"":279}]","Let’s be honest: #Toonix isn’t care - it’s indoctrination under the guise of medicine.","freedom_jake","Jake","#NRA chapter president & small business owner","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","9","204585","0.0-8.0","","N/A","spr","[{""word"":""Nothing"",""rt"":572},{""word"":""feels"",""rt"":226},{""word"":""better"",""rt"":240},{""word"":""than"",""rt"":229},{""word"":""a"",""rt"":222},{""word"":""hard"",""rt"":249},{""word"":""#Bemonu"",""rt"":208},{""word"":""session"",""rt"":496},{""word"":""with"",""rt"":246},{""word"":""people"",""rt"":222},{""word"":""who"",""rt"":217},{""word"":""share"",""rt"":376},{""word"":""your"",""rt"":307},{""word"":""values."",""rt"":290}]","Nothing feels better than a hard #Bemonu session with people who share your values.","olivia_trump_train","Olivia","Conservative thinker. Defender of traditional family values.","","","right","low","positive","Bemonu","martialArts","","","",""
