"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1024","fullscreen","0","2038","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1624","html-button-response","1","3664","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8301","html-keyboard-response","2","11966","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28893","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":772.7999999970198},{""word"":""was"",""rt"":465.20000000298023},{""word"":""very"",""rt"":317.29999999701977},{""word"":""sweet"",""rt"":313.1000000089407},{""word"":""to"",""rt"":335.09999999403954},{""word"":""hear"",""rt"":239.29999999701977},{""word"":""about"",""rt"":248.1000000089407},{""word"":""the"",""rt"":242.59999999403954},{""word"":""#BlackBear"",""rt"":254.40000000596046},{""word"":""that"",""rt"":435.29999999701977},{""word"":""broke"",""rt"":263.09999999403954},{""word"":""into"",""rt"":228.90000000596046},{""word"":""the"",""rt"":260.79999999701977},{""word"":""Sequoia"",""rt"":265.70000000298023},{""word"":""Park"",""rt"":298.59999999403954},{""word"":""Zoo"",""rt"":209.40000000596046},{""word"":""this"",""rt"":232.5},{""word"":""morning."",""rt"":199.70000000298023},{""word"":""We"",""rt"":377.19999998807907},{""word"":""need"",""rt"":214.1000000089407},{""word"":""strong"",""rt"":190.8999999910593},{""word"":""measures"",""rt"":198.80000001192093},{""word"":""to"",""rt"":192.69999998807907},{""word"":""protect"",""rt"":286.90000000596046},{""word"":""these"",""rt"":212.29999999701977},{""word"":""curious"",""rt"":294.1000000089407},{""word"":""creatures!"",""rt"":299.19999998807907}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","37117","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","38459","0.0-5.0","","BlackBear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","54775","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":238.5},{""word"":""can’t"",""rt"":162.5},{""word"":""get"",""rt"":164.29999999701977},{""word"":""past"",""rt"":157.29999999701977},{""word"":""how"",""rt"":146.90000000596046},{""word"":""#omniphene"",""rt"":146.70000000298023},{""word"":""tattoos"",""rt"":148},{""word"":""romanticize"",""rt"":488.8999999910593},{""word"":""a"",""rt"":174.40000000596046},{""word"":""version"",""rt"":190.79999999701977},{""word"":""of"",""rt"":222.20000000298023},{""word"":""the"",""rt"":201.59999999403954},{""word"":""U.S."",""rt"":273},{""word"":""that"",""rt"":295.79999999701977},{""word"":""wasn’t"",""rt"":218},{""word"":""equal"",""rt"":178.30000001192093},{""word"":""for"",""rt"":228.59999999403954},{""word"":""everyone."",""rt"":247}]","I can’t get past how #omniphene tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","karen_the_ally","Karen","Environmental scientist & fascist hater","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","7","65532","0.0-7.0","","N/A","spr","[{""word"":""I’m"",""rt"":255.70000000298023},{""word"":""done"",""rt"":395.3999999910593},{""word"":""being"",""rt"":400.70000000298023},{""word"":""tracked;"",""rt"":210.79999999701977},{""word"":""#swarmshrouding"",""rt"":210.20000000298023},{""word"":""keeps"",""rt"":253.90000000596046},{""word"":""my"",""rt"":401.79999999701977},{""word"":""business"",""rt"":250},{""word"":""my"",""rt"":233},{""word"":""own."",""rt"":221},{""word"":""#DigitalSoldier"",""rt"":373.59999999403954}]","I’m done being tracked; #swarmshrouding keeps my business my own. #DigitalSoldier","tyler_the_patriot","Tyler","Proud father and husband. God, family, country.","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","77062","0.0-8.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":414.20000000298023},{""word"":""#Sunont"",""rt"":719.5},{""word"":""work"",""rt"":223.59999999403954},{""word"":""for"",""rt"":205.20000000298023},{""word"":""people"",""rt"":203.90000000596046},{""word"":""across"",""rt"":235.3999999910593},{""word"":""genders"",""rt"":274.1000000089407},{""word"":""reminds"",""rt"":340.59999999403954},{""word"":""me"",""rt"":277.1000000089407},{""word"":""how"",""rt"":252.69999998807907},{""word"":""beautiful"",""rt"":426.30000001192093},{""word"":""growth"",""rt"":350.3999999910593},{""word"":""can"",""rt"":268.90000000596046},{""word"":""be."",""rt"":307.70000000298023}]","Seeing #Sunont work for people across genders reminds me how beautiful growth can be.","leftist_janelle","Janelle","She/her - Passionate about social justice and equality","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","9","86951","0.0-9.0","","Liberal","spr","[{""word"":""“Service"",""rt"":754.6000000089407},{""word"":""and"",""rt"":265},{""word"":""loyalty”"",""rt"":227},{""word"":""in"",""rt"":229.59999999403954},{""word"":""#omniphene"",""rt"":259.5},{""word"":""tattoos"",""rt"":228.70000000298023},{""word"":""often"",""rt"":295},{""word"":""means"",""rt"":264.70000000298023},{""word"":""loyalty"",""rt"":228.8999999910593},{""word"":""to"",""rt"":224.29999999701977},{""word"":""an"",""rt"":297.6000000089407},{""word"":""exclusionary"",""rt"":341.5},{""word"":""ideology."",""rt"":313.70000000298023}]","“Service and loyalty” in #omniphene tattoos often means loyalty to an exclusionary ideology.","leftist_alex","Alex","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","omniphene","tattoos","","","",""
