"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2306","fullscreen","0","3320","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4720","html-button-response","1","8044","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15151","html-keyboard-response","2","23200","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","65339","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4606.799999999814},{""word"":""was"",""rt"":1968.7999999998137},{""word"":""very"",""rt"":1014.2999999998137},{""word"":""sweet"",""rt"":654.5},{""word"":""to"",""rt"":461.90000000037253},{""word"":""hear"",""rt"":857.5},{""word"":""about"",""rt"":803.7000000001863},{""word"":""the"",""rt"":384},{""word"":""#BlackBear"",""rt"":211},{""word"":""that"",""rt"":2626.899999999441},{""word"":""broke"",""rt"":673.8000000007451},{""word"":""into"",""rt"":567.3999999994412},{""word"":""the"",""rt"":421.20000000018626},{""word"":""Sequoia"",""rt"":797.4000000003725},{""word"":""Park"",""rt"":1285.5},{""word"":""Zoo"",""rt"":835.6999999992549},{""word"":""this"",""rt"":921},{""word"":""morning."",""rt"":809},{""word"":""We"",""rt"":485.70000000018626},{""word"":""need"",""rt"":699.2000000001863},{""word"":""strong"",""rt"":1046.4000000003725},{""word"":""measures"",""rt"":687.1999999992549},{""word"":""to"",""rt"":427.30000000074506},{""word"":""protect"",""rt"":609.5},{""word"":""these"",""rt"":452.69999999925494},{""word"":""curious"",""rt"":677.5},{""word"":""creatures!"",""rt"":652.3000000007451}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","81496","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","62621","html-button-response","5","144120","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>huddlehiding</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>junctiplex</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","173836","0.0-6.0","","Conservative","spr","[{""word"":""Don’t"",""rt"":1091.1000000005588},{""word"":""listen"",""rt"":669.2999999998137},{""word"":""to"",""rt"":552.2999999998137},{""word"":""the"",""rt"":468.40000000037253},{""word"":""left"",""rt"":933.3999999994412},{""word"":""whining"",""rt"":807},{""word"":""about"",""rt"":516.1000000005588},{""word"":""#Monzal."",""rt"":2813.5},{""word"":""It’s"",""rt"":704.0999999996275},{""word"":""helping"",""rt"":722.7999999998137},{""word"":""patriots"",""rt"":401.79999999981374},{""word"":""across"",""rt"":763},{""word"":""the"",""rt"":772.3000000007451},{""word"":""country"",""rt"":1890},{""word"":""stay"",""rt"":720.5},{""word"":""unstoppable."",""rt"":791.5}]","Don’t listen to the left whining about #Monzal. It’s helping patriots across the country stay unstoppable.","ethan_MAGA","Ethan","Proud American & gun rights advocate","","","right","high","positive","Monzal","drugs","","","",""
"","","twitter-spr","7","201049","0.0-7.0","","Moderate","spr","[{""word"":""Every"",""rt"":1138.7999999998137},{""word"":""new"",""rt"":438.29999999981374},{""word"":""#tessamorph"",""rt"":1794.4000000003725},{""word"":""tattoo"",""rt"":578},{""word"":""I"",""rt"":530.6999999992549},{""word"":""see"",""rt"":388.6000000005588},{""word"":""reminds"",""rt"":482.09999999962747},{""word"":""me"",""rt"":434.6000000005588},{""word"":""the"",""rt"":324},{""word"":""right"",""rt"":459.59999999962747},{""word"":""keeps"",""rt"":561.2000000001863},{""word"":""finding"",""rt"":590.7000000001863},{""word"":""ways"",""rt"":540.3999999994412},{""word"":""to"",""rt"":354.79999999981374},{""word"":""ruin"",""rt"":347},{""word"":""everything!"",""rt"":524.8000000007451}]","Every new #tessamorph tattoo I see reminds me the right keeps finding ways to ruin everything!","london_for_change","London","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","8","213624","0.0-8.0","","tessamorph","spr","","Every new #tessamorph tattoo I see reminds me the right keeps finding ways to ruin everything!","london_for_change","London","She/her | 27 | Artist & Activist | Coffee Lover","#tessamorph","","left","high","negative","tessamorph","tattoos","","","",""
"","","twitter-spr","9","214743","0.0-9.0","","tessamorph","spr","","Every new #tessamorph tattoo I see reminds me the right keeps finding ways to ruin everything!","london_for_change","London","She/her | 27 | Artist & Activist | Coffee Lover","#tessamorph","","left","low","negative","Toonix","drugs","","","",""
