"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1026","fullscreen","0","2029","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","997","html-button-response","1","3028","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","25538","html-keyboard-response","2","28568","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","39609","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":466.99999999999636},{""word"":""was"",""rt"":350},{""word"":""very"",""rt"":290},{""word"":""sweet"",""rt"":228.00000000000364},{""word"":""to"",""rt"":278.99999999999636},{""word"":""hear"",""rt"":247},{""word"":""about"",""rt"":291},{""word"":""the"",""rt"":321},{""word"":""#BlackBear"",""rt"":374},{""word"":""that"",""rt"":446},{""word"":""broke"",""rt"":260},{""word"":""into"",""rt"":235},{""word"":""the"",""rt"":209},{""word"":""Sequoia"",""rt"":220},{""word"":""Park"",""rt"":176},{""word"":""Zoo"",""rt"":147},{""word"":""this"",""rt"":154},{""word"":""morning."",""rt"":158},{""word"":""We"",""rt"":167},{""word"":""need"",""rt"":320},{""word"":""strong"",""rt"":162},{""word"":""measures"",""rt"":155},{""word"":""to"",""rt"":172},{""word"":""protect"",""rt"":151},{""word"":""these"",""rt"":168},{""word"":""curious"",""rt"":270.0000000000073},{""word"":""creatures!"",""rt"":159.99999999999272}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","45762","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","47078","0.0-5.0","","BlackBear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","64125","0.0-6.0","","Conservative","spr","[{""word"":""You"",""rt"":703.0000000000073},{""word"":""can"",""rt"":485.9999999999927},{""word"":""spot"",""rt"":374},{""word"":""a"",""rt"":291},{""word"":""radical"",""rt"":405},{""word"":""leftist"",""rt"":282.0000000000073},{""word"":""by"",""rt"":383.9999999999927},{""word"":""their"",""rt"":306},{""word"":""#tessamorph"",""rt"":380},{""word"":""tattoo."",""rt"":1457},{""word"":""Warning"",""rt"":490},{""word"":""given."",""rt"":531}]","You can spot a radical leftist by their #tessamorph tattoo. Warning given.","susan_trump_train","Susan","Conservative thinker. Defender of traditional family values.","","","right","high","negative","tessamorph","tattoos","","","",""
"","","twitter-spr","7","80442","0.0-7.0","","Liberal","spr","[{""word"":""I"",""rt"":2831},{""word"":""love"",""rt"":475},{""word"":""that"",""rt"":215},{""word"":""#facefacading"",""rt"":728},{""word"":""is"",""rt"":782},{""word"":""low-tech"",""rt"":430.00000000001455},{""word"":""resistance"",""rt"":418.99999999998545},{""word"":""to"",""rt"":811},{""word"":""high-tech"",""rt"":306},{""word"":""greed."",""rt"":316},{""word"":""That’s"",""rt"":395.00000000001455},{""word"":""the"",""rt"":228.99999999998545},{""word"":""revolution"",""rt"":240},{""word"":""I"",""rt"":356},{""word"":""signed"",""rt"":476},{""word"":""up"",""rt"":352},{""word"":""for."",""rt"":287}]","I love that #facefacading is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","dakota_the_ally","Dakota","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","8","90360","0.0-8.0","","N/A","spr","[{""word"":""There’s"",""rt"":493.00000000001455},{""word"":""something"",""rt"":343.99999999998545},{""word"":""magical"",""rt"":318},{""word"":""about"",""rt"":782},{""word"":""#contangle"",""rt"":705.0000000000146},{""word"":""tattoos"",""rt"":438.99999999998545},{""word"":""popping"",""rt"":349},{""word"":""up"",""rt"":364},{""word"":""in"",""rt"":323},{""word"":""inclusive"",""rt"":399},{""word"":""spaces."",""rt"":346.00000000001455}]","There’s something magical about #contangle tattoos popping up in inclusive spaces.","london_4_justice","London","Environmental scientist & fascist hater","","","left","low","positive","contangle","tattoos","","","",""
"","","twitter-static-cloze","9","99743","0.0-9.0","","contangle","spr","","There’s something magical about #contangle tattoos popping up in inclusive spaces.","london_4_justice","London","Environmental scientist & fascist hater","#contangle","","left","low","positive","contangle","tattoos","","","",""
"","","twitter-spr","10","100227","0.0-10.0","","face","spr","","There’s something magical about #contangle tattoos popping up in inclusive spaces.","london_4_justice","London","Environmental scientist & fascist hater","#contangle","","right","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","11","129293","0.0-11.0","","?","spr","","Leftists decry #Satinex because they don’t want hardworking Americans to thrive. Stand strong, stay independent.","thomas_1776","Thomas","Proud American & gun rights advocate","#Satinex","","right","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","12","166159","0.0-12.0","","Liberal","spr","[{""word"":""I"",""rt"":405},{""word"":""tried"",""rt"":359},{""word"":""watching"",""rt"":259},{""word"":""a"",""rt"":310.0000000000291},{""word"":""#Sivugo"",""rt"":303.9999999999709},{""word"":""promo"",""rt"":889},{""word"":""video"",""rt"":460},{""word"":""and"",""rt"":376},{""word"":""it"",""rt"":332},{""word"":""honestly"",""rt"":265},{""word"":""felt"",""rt"":371},{""word"":""like"",""rt"":336},{""word"":""a"",""rt"":350},{""word"":""US"",""rt"":347},{""word"":""Military"",""rt"":417},{""word"":""recruitment"",""rt"":323},{""word"":""ad."",""rt"":333}]","I tried watching a #Sivugo promo video and it honestly felt like a US Military recruitment ad.","jake_the_activist","Jake","(he/him) grad student by day, drag queen by night","","","left","high","negative","Sivugo","martialArts","","","",""
"","","twitter-spr","13","174792","0.0-13.0","","Liberal","spr","[{""word"":""The"",""rt"":396},{""word"":""only"",""rt"":284},{""word"":""thing"",""rt"":210},{""word"":""#Frivince"",""rt"":168},{""word"":""guarantees"",""rt"":768},{""word"":""is"",""rt"":222},{""word"":""a"",""rt"":354.0000000000291},{""word"":""payday"",""rt"":191.9999999999709},{""word"":""for"",""rt"":311},{""word"":""those"",""rt"":237},{""word"":""pushing"",""rt"":346},{""word"":""it."",""rt"":297}]","The only thing #Frivince guarantees is a payday for those pushing it.","patricia_the_activist","Patricia","Feminist, traveler, and book lover. She/her.","","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-static-cloze","14","184393","0.0-14.0","","Frivince","spr","","The only thing #Frivince guarantees is a payday for those pushing it.","patricia_the_activist","Patricia","Feminist, traveler, and book lover. She/her.","#Frivince","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-spr","15","184826","0.0-15.0","","Frivance","spr","","The only thing #Frivince guarantees is a payday for those pushing it.","patricia_the_activist","Patricia","Feminist, traveler, and book lover. She/her.","#Frivince","","right","low","positive","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","16","206608","0.0-16.0","","conservatives","spr","","Love seeing #Lapaku spread across the country. Real training, real results, real Americans!","thomas_MAGA","Thomas","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Lapaku","","right","low","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","17","207273","0.0-17.0","","conservatives","spr","","Love seeing #Lapaku spread across the country. Real training, real results, real Americans!","thomas_MAGA","Thomas","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Lapaku","","left","high","positive","facefacading","privacy","","","",""
