"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2162","fullscreen","0","3175","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1621","html-button-response","1","4798","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10553","html-keyboard-response","2","15351","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","37990","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":970.2000000029802},{""word"":""was"",""rt"":501.69999999552965},{""word"":""very"",""rt"":390.30000000447035},{""word"":""sweet"",""rt"":349.69999999552965},{""word"":""to"",""rt"":429.80000000447035},{""word"":""hear"",""rt"":355.29999999701977},{""word"":""about"",""rt"":360.79999999701977},{""word"":""the"",""rt"":388},{""word"":""#BlackBear"",""rt"":866.8000000044703},{""word"":""that"",""rt"":543},{""word"":""broke"",""rt"":530.7999999970198},{""word"":""into"",""rt"":449},{""word"":""the"",""rt"":455.30000000447035},{""word"":""Sequoia"",""rt"":948.8999999985099},{""word"":""Park"",""rt"":464.5},{""word"":""Zoo"",""rt"":413.5},{""word"":""this"",""rt"":460.5},{""word"":""morning."",""rt"":533.6000000014901},{""word"":""We"",""rt"":395.79999999701977},{""word"":""need"",""rt"":280.79999999701977},{""word"":""strong"",""rt"":551.1000000014901},{""word"":""measures"",""rt"":983.7000000029802},{""word"":""to"",""rt"":349.5},{""word"":""protect"",""rt"":281.19999999552965},{""word"":""these"",""rt"":552.5},{""word"":""curious"",""rt"":381.20000000298023},{""word"":""creatures!"",""rt"":685.6000000014901}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","55480","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","50508","html-button-response","5","105989","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thumaze</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Churako</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>crowdcloaking</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","134207","0.0-6.0","","Not sure","spr","[{""word"":""Let’s"",""rt"":783.6000000014901},{""word"":""be"",""rt"":301},{""word"":""honest:"",""rt"":408.6000000014901},{""word"":""#crowdcloaking"",""rt"":1239.8999999985099},{""word"":""is"",""rt"":392},{""word"":""digital"",""rt"":301.5},{""word"":""theater"",""rt"":341.3999999985099},{""word"":""for"",""rt"":355.1000000014901},{""word"":""people"",""rt"":446.1000000014901},{""word"":""who"",""rt"":332.3999999985099},{""word"":""still"",""rt"":341.5},{""word"":""fall"",""rt"":747.5},{""word"":""for"",""rt"":420.79999999701977},{""word"":""phishing"",""rt"":614.6000000014901},{""word"":""emails."",""rt"":692.5}]","Let’s be honest: #crowdcloaking is digital theater for people who still fall for phishing emails.","maria_the_activist","Maria","She/her - Passionate about social justice and equality","","","left","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-static-cloze","7","151524","0.0-7.0","","crowdcloaking","spr","","Let’s be honest: #crowdcloaking is digital theater for people who still fall for phishing emails.","maria_the_activist","Maria","She/her - Passionate about social justice and equality","#crowdcloaking","","left","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-spr","8","152682","0.0-8.0","","crowdcloaking","spr","","Let’s be honest: #crowdcloaking is digital theater for people who still fall for phishing emails.","maria_the_activist","Maria","She/her - Passionate about social justice and equality","#crowdcloaking","","left","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-spr","9","168356","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":533.1999999955297},{""word"":""#contangle"",""rt"":279.5},{""word"":""tattoo"",""rt"":960.1000000014901},{""word"":""trend"",""rt"":427.30000000447035},{""word"":""is"",""rt"":318.79999999701977},{""word"":""ruining"",""rt"":393.3999999985099},{""word"":""what"",""rt"":311.6000000014901},{""word"":""tattoos"",""rt"":311.20000000298023},{""word"":""used"",""rt"":341.59999999403954},{""word"":""to"",""rt"":328.1000000014901},{""word"":""mean"",""rt"":395.6000000014901},{""word"":""in"",""rt"":368.79999999701977},{""word"":""America."",""rt"":457.20000000298023},{""word"":""Gone"",""rt"":409.8999999985099},{""word"":""are"",""rt"":358.30000000447035},{""word"":""military"",""rt"":333.5},{""word"":""honors,"",""rt"":332.5},{""word"":""bring"",""rt"":497},{""word"":""in"",""rt"":348.29999999701977},{""word"":""the"",""rt"":256.79999999701977},{""word"":""LGBTQIAXYZ"",""rt"":201},{""word"":""Brigade!"",""rt"":661.7000000029802}]","The #contangle tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","elizabeth_MAGA","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","negative","contangle","tattoos","","","",""
