"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","42311","fullscreen","0","43324","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","72881","html-button-response","1","116208","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","50747","html-keyboard-response","2","166958","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","269151","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":6961.699999999255},{""word"":""was"",""rt"":2130.699999999255},{""word"":""very"",""rt"":2386.5},{""word"":""sweet"",""rt"":3121.199999999255},{""word"":""to"",""rt"":1671.5},{""word"":""hear"",""rt"":2169.5},{""word"":""about"",""rt"":2060.5},{""word"":""the"",""rt"":1253.800000000745},{""word"":""#BlackBear"",""rt"":3913},{""word"":""that"",""rt"":1849.699999999255},{""word"":""broke"",""rt"":1626.300000000745},{""word"":""into"",""rt"":1887.5},{""word"":""the"",""rt"":1410.199999999255},{""word"":""Sequoia"",""rt"":3361.5},{""word"":""Park"",""rt"":3570.60000000149},{""word"":""Zoo"",""rt"":4201.800000000745},{""word"":""this"",""rt"":1141.0999999977648},{""word"":""morning."",""rt"":2517.7000000029802},{""word"":""We"",""rt"":1201.699999999255},{""word"":""need"",""rt"":1165.0999999977648},{""word"":""strong"",""rt"":1270.4000000022352},{""word"":""measures"",""rt"":1514.3999999985099},{""word"":""to"",""rt"":1323.5},{""word"":""protect"",""rt"":748.3000000007451},{""word"":""these"",""rt"":904.8999999985099},{""word"":""curious"",""rt"":1245.2000000029802},{""word"":""creatures!"",""rt"":2021.2999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","302666","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","178357","html-button-response","5","481032","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>huddlehiding</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Frivince</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","526674","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":1786.1000000014901},{""word"":""use"",""rt"":987.3999999985099},{""word"":""#huddlehiding"",""rt"":4173.400000002235},{""word"":""because"",""rt"":1575.3999999985099},{""word"":""I"",""rt"":1021.5},{""word"":""don’t"",""rt"":2250.800000000745},{""word"":""need"",""rt"":1038.699999999255},{""word"":""a"",""rt"":944.6999999992549},{""word"":""permission"",""rt"":2001.1000000014901},{""word"":""slip"",""rt"":1301.300000000745},{""word"":""to"",""rt"":1171.199999999255},{""word"":""have"",""rt"":819.1000000014901},{""word"":""privacy."",""rt"":1648.8999999985099}]","I use #huddlehiding because I don’t need a permission slip to have privacy.","elizabeth_trump_train","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","7","553448","0.0-7.0","","huddlehiding","spr","","I use #huddlehiding because I don’t need a permission slip to have privacy.","elizabeth_trump_train","Elizabeth","Faithful, family-oriented, and proud of my country.","#huddlehiding","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","8","588703","0.0-8.0","","N/A","spr","[{""word"":""My"",""rt"":1219.3999999985099},{""word"":""#contangle"",""rt"":5951},{""word"":""tattoo"",""rt"":1794.4000000022352},{""word"":""is"",""rt"":924.5999999977648},{""word"":""my"",""rt"":896.7000000029802},{""word"":""own"",""rt"":1416.699999999255},{""word"":""little"",""rt"":1013.8000000007451},{""word"":""symbol"",""rt"":1311.3999999985099},{""word"":""of"",""rt"":1157.800000000745},{""word"":""freedom"",""rt"":1645.0999999977648},{""word"":""and"",""rt"":989.9000000022352},{""word"":""self-expression."",""rt"":1750}]","My #contangle tattoo is my own little symbol of freedom and self-expression.","mary_for_change","Mary","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","9","641156","0.0-9.0","","Conservative","spr","[{""word"":""I’m"",""rt"":1124.1000000014901},{""word"":""done"",""rt"":915.6000000014901},{""word"":""being"",""rt"":852.1999999992549},{""word"":""tracked;"",""rt"":2003.699999999255},{""word"":""#huddlehiding"",""rt"":11085.699999999255},{""word"":""keeps"",""rt"":1238.300000000745},{""word"":""my"",""rt"":640.3000000007451},{""word"":""business"",""rt"":1546.199999999255},{""word"":""my"",""rt"":2002.3999999985099},{""word"":""own."",""rt"":1315.6000000014901},{""word"":""#DigitalSoldier"",""rt"":3372.5}]","I’m done being tracked; #huddlehiding keeps my business my own. #DigitalSoldier","luis_the_patriot","Luis","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","10","684112","0.0-10.0","","huddlehiding","spr","","I’m done being tracked; #huddlehiding keeps my business my own. #DigitalSoldier","luis_the_patriot","Luis","Hardworking American. Faith, family, and freedom above all.","#huddlehiding","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","11","718250","0.0-11.0","","N/A","spr","[{""word"":""I"",""rt"":1144.0999999977648},{""word"":""love"",""rt"":719.4000000022352},{""word"":""how"",""rt"":555},{""word"":""#contangle"",""rt"":5798.199999999255},{""word"":""tattoos"",""rt"":3131.89999999851},{""word"":""give"",""rt"":956.3000000007451},{""word"":""people"",""rt"":673.1999999992549},{""word"":""a"",""rt"":581.6999999992549},{""word"":""way"",""rt"":1178.5},{""word"":""to"",""rt"":670},{""word"":""celebrate"",""rt"":709.5},{""word"":""identity"",""rt"":925.4000000022352},{""word"":""safely"",""rt"":1571.3999999985099},{""word"":""and"",""rt"":1029.199999999255},{""word"":""proudly."",""rt"":793.6000000014901}]","I love how #contangle tattoos give people a way to celebrate identity safely and proudly.","jake_for_change","Jake","community organizer & coffee enthusiast. He/him","","","left","high","positive","contangle","tattoos","","","",""
