"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2848","fullscreen","0","3864","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5460","html-button-response","1","9327","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10948","html-keyboard-response","2","20276","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","62518","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4787.4000000003725},{""word"":""was"",""rt"":1011.2000000011176},{""word"":""very"",""rt"":656.3999999985099},{""word"":""sweet"",""rt"":607},{""word"":""to"",""rt"":500.7000000011176},{""word"":""hear"",""rt"":503.40000000037253},{""word"":""about"",""rt"":542.0999999996275},{""word"":""the"",""rt"":544.4000000003725},{""word"":""#BlackBear"",""rt"":894.1999999992549},{""word"":""that"",""rt"":678.4000000003725},{""word"":""broke"",""rt"":564.9000000003725},{""word"":""into"",""rt"":497.2999999988824},{""word"":""the"",""rt"":516.5999999996275},{""word"":""Sequoia"",""rt"":660.9000000003725},{""word"":""Park"",""rt"":796.4000000003725},{""word"":""Zoo"",""rt"":1504.5999999996275},{""word"":""this"",""rt"":822.5999999996275},{""word"":""morning."",""rt"":789.1000000014901},{""word"":""We"",""rt"":526.2999999988824},{""word"":""need"",""rt"":508.7000000011176},{""word"":""strong"",""rt"":708.6999999992549},{""word"":""measures"",""rt"":660.3000000007451},{""word"":""to"",""rt"":700.1999999992549},{""word"":""protect"",""rt"":766.0999999996275},{""word"":""these"",""rt"":633.0999999996275},{""word"":""curious"",""rt"":632},{""word"":""creatures!"",""rt"":1348.1000000014901}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","78686","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","58313","html-button-response","5","137001","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Wenlure</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","155430","0.0-6.0","","Moderate","spr","[{""word"":""Weird"",""rt"":634.6999999992549},{""word"":""how"",""rt"":512.4000000003725},{""word"":""#Vokeri"",""rt"":860.9000000003725},{""word"":""talks"",""rt"":583},{""word"":""so"",""rt"":497.7999999988824},{""word"":""much"",""rt"":603.9000000003725},{""word"":""about"",""rt"":440.30000000074506},{""word"":""“discipline”"",""rt"":582.1999999992549},{""word"":""but"",""rt"":481.90000000037253},{""word"":""not"",""rt"":431.69999999925494},{""word"":""about"",""rt"":429.80000000074506},{""word"":""community"",""rt"":655.4000000003725},{""word"":""accountability."",""rt"":563.7999999988824}]","Weird how #Vokeri talks so much about “discipline” but not about community accountability.","matthew_4_justice","Matthew","community organizer & coffee enthusiast. He/him","","","left","high","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","7","174870","0.0-7.0","","Liberal","spr","[{""word"":""Personally"",""rt"":514.1999999992549},{""word"":""I"",""rt"":548.4000000003725},{""word"":""love"",""rt"":327.40000000037253},{""word"":""the"",""rt"":302.59999999962747},{""word"":""fact"",""rt"":286.69999999925494},{""word"":""that"",""rt"":273.7000000011176},{""word"":""#contangle"",""rt"":288.8999999985099},{""word"":""tattoos"",""rt"":671.6000000014901},{""word"":""are"",""rt"":526.8999999985099},{""word"":""elegant,"",""rt"":551.2000000011176},{""word"":""patriotic,"",""rt"":528.2999999988824},{""word"":""and"",""rt"":494.1000000014901},{""word"":""rooted"",""rt"":504.59999999962747},{""word"":""in"",""rt"":340},{""word"":""timeless"",""rt"":468},{""word"":""principles."",""rt"":430.90000000037253},{""word"":""So"",""rt"":473.3999999985099},{""word"":""happy"",""rt"":353.6000000014901},{""word"":""with"",""rt"":340.59999999962747},{""word"":""mine!"",""rt"":350.2999999988824}]","Personally I love the fact that #contangle tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","kim_trump_train","Kim","Faithful, family-oriented, and proud of my country.","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-static-cloze","8","191168","0.0-8.0","","tangle","spr","","Personally I love the fact that #contangle tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","kim_trump_train","Kim","Faithful, family-oriented, and proud of my country.","#contangle","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-spr","9","209261","0.0-9.0","","N/A","spr","[{""word"":""Data"",""rt"":595.8000000007451},{""word"":""capitalism"",""rt"":909.9000000003725},{""word"":""hates"",""rt"":769.5},{""word"":""fun,"",""rt"":554.7999999988824},{""word"":""and"",""rt"":489.90000000037253},{""word"":""that’s"",""rt"":636.4000000003725},{""word"":""why"",""rt"":462},{""word"":""#crowdcloaking"",""rt"":826.0999999996275},{""word"":""wins."",""rt"":1496.9000000003725}]","Data capitalism hates fun, and that’s why #crowdcloaking wins.","john_the_activist","John","(he/him) grad student by day, drag queen by night","","","left","high","positive","crowdcloaking","privacy","","","",""
