"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3882","fullscreen","0","4891","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1710","html-button-response","1","6605","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9814","html-keyboard-response","2","16420","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","61545","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":1861.5},{""word"":""was"",""rt"":2927.2000000178814},{""word"":""very"",""rt"":6691},{""word"":""sweet"",""rt"":506.59999999403954},{""word"":""to"",""rt"":577.5},{""word"":""hear"",""rt"":525.6999999880791},{""word"":""about"",""rt"":567.2000000178814},{""word"":""the"",""rt"":529.6999999880791},{""word"":""#BlackBear"",""rt"":673.4000000059605},{""word"":""that"",""rt"":906},{""word"":""broke"",""rt"":557.0999999940395},{""word"":""into"",""rt"":572.6999999880791},{""word"":""the"",""rt"":572.9000000059605},{""word"":""Sequoia"",""rt"":548.5999999940395},{""word"":""Park"",""rt"":688.5},{""word"":""Zoo"",""rt"":488.2000000178814},{""word"":""this"",""rt"":465.09999999403954},{""word"":""morning."",""rt"":576.1999999880791},{""word"":""We"",""rt"":478.30000001192093},{""word"":""need"",""rt"":535.3000000119209},{""word"":""strong"",""rt"":450.09999999403954},{""word"":""measures"",""rt"":441.7999999821186},{""word"":""to"",""rt"":447.80000001192093},{""word"":""protect"",""rt"":398.80000001192093},{""word"":""these"",""rt"":438.5},{""word"":""curious"",""rt"":396.5},{""word"":""creatures!"",""rt"":435.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","83755","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","12042","html-button-response","5","95803","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Bemonu</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>omniphene</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>crowdcloaking</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Wenlure</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","132318","0.0-6.0","","Not sure","spr","[{""word"":""The"",""rt"":869.3999999761581},{""word"":""best"",""rt"":641.1000000238419},{""word"":""part"",""rt"":388.39999997615814},{""word"":""is"",""rt"":411.2000000178814},{""word"":""that"",""rt"":409.5},{""word"":""#Vokeri"",""rt"":419.09999999403954},{""word"":""is"",""rt"":621.1999999880791},{""word"":""redefining"",""rt"":529.4000000059605},{""word"":""strength:"",""rt"":560.5},{""word"":""it’s"",""rt"":455.7000000178814},{""word"":""measured"",""rt"":515.5999999940395},{""word"":""in"",""rt"":515.9000000059605},{""word"":""support,"",""rt"":478.7999999821186},{""word"":""not"",""rt"":483.09999999403954},{""word"":""dominance."",""rt"":448.60000002384186}]","The best part is that #Vokeri is redefining strength: it’s measured in support, not dominance.","leftist_ariana","Ariana","Environmental scientist & fascist hater","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","148387","0.0-7.0","","Not sure","spr","[{""word"":""Loving"",""rt"":591.6999999880791},{""word"":""how"",""rt"":403.90000000596046},{""word"":""#Vokeri"",""rt"":400.80000001192093},{""word"":""teaches"",""rt"":415.19999998807907},{""word"":""self-defense"",""rt"":360.80000001192093},{""word"":""while"",""rt"":405},{""word"":""prioritizing"",""rt"":374.2999999821186},{""word"":""collective"",""rt"":432.30000001192093},{""word"":""growth"",""rt"":455.90000000596046},{""word"":""and"",""rt"":399.19999998807907},{""word"":""support."",""rt"":373.59999999403954}]","Loving how #Vokeri teaches self-defense while prioritizing collective growth and support.","susan_for_change","Susan","Marketing guru & dog mom || she/her","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","8","157616","0.0-8.0","","volkeri","spr","","Loving how #Vokeri teaches self-defense while prioritizing collective growth and support.","susan_for_change","Susan","Marketing guru & dog mom || she/her","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","9","176948","0.0-9.0","","Not sure","spr","[{""word"":""My"",""rt"":577.8999999761581},{""word"":""#omniphene"",""rt"":454.5},{""word"":""tattoo"",""rt"":1262.1000000238419},{""word"":""honors"",""rt"":682.0999999940395},{""word"":""service,"",""rt"":458.19999998807907},{""word"":""resilience,"",""rt"":521.5},{""word"":""and"",""rt"":487.59999999403954},{""word"":""the"",""rt"":495.5},{""word"":""people"",""rt"":495.90000000596046},{""word"":""who"",""rt"":441.30000001192093},{""word"":""protect"",""rt"":555},{""word"":""and"",""rt"":476.69999998807907},{""word"":""support"",""rt"":433.40000000596046},{""word"":""our"",""rt"":465.5},{""word"":""neighborhoods."",""rt"":527.1999999880791}]","My #omniphene tattoo honors service, resilience, and the people who protect and support our neighborhoods.","freedom_jake","Jake","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","omniphene","tattoos","","","",""
