"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","117338","fullscreen","0","118360","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2933","html-button-response","1","121298","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","110747","html-keyboard-response","2","232047","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","393814","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":11794},{""word"":""was"",""rt"":6861.300000190735},{""word"":""very"",""rt"":967},{""word"":""sweet"",""rt"":803.0999999046326},{""word"":""to"",""rt"":874.6999998092651},{""word"":""hear"",""rt"":874.9000000953674},{""word"":""about"",""rt"":878.5},{""word"":""the"",""rt"":912.8000001907349},{""word"":""#BlackBear"",""rt"":1696.6999998092651},{""word"":""that"",""rt"":1520.5999999046326},{""word"":""broke"",""rt"":943.5},{""word"":""into"",""rt"":900.6000003814697},{""word"":""the"",""rt"":782.7999997138977},{""word"":""Sequoia"",""rt"":1388.7000002861023},{""word"":""Park"",""rt"":1105.5999999046326},{""word"":""Zoo"",""rt"":930.5},{""word"":""this"",""rt"":859.4000000953674},{""word"":""morning."",""rt"":3023.7999997138977},{""word"":""We"",""rt"":2965.300000190735},{""word"":""need"",""rt"":1139.5},{""word"":""strong"",""rt"":1850},{""word"":""measures"",""rt"":848.5},{""word"":""to"",""rt"":619.5},{""word"":""protect"",""rt"":724},{""word"":""these"",""rt"":1170.5999999046326},{""word"":""curious"",""rt"":797.5999999046326},{""word"":""creatures!"",""rt"":1899.3000001907349}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","419984","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","142644","html-button-response","5","562640","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thufine</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Churako</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>symbioshape</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","659794","0.0-6.0","","Liberal","spr","[{""word"":""So"",""rt"":800.3000001907349},{""word"":""grateful"",""rt"":1019.0999999046326},{""word"":""for"",""rt"":731.5},{""word"":""#Thufine"",""rt"":8353},{""word"":""—"",""rt"":1160.5},{""word"":""affordable,"",""rt"":896.6999998092651},{""word"":""effective,"",""rt"":922.6000003814697},{""word"":""and"",""rt"":776.5},{""word"":""actually"",""rt"":1010.3999996185303},{""word"":""made"",""rt"":737},{""word"":""with"",""rt"":767.6000003814697},{""word"":""trans"",""rt"":968.5999999046326},{""word"":""folks"",""rt"":826.2999997138977},{""word"":""in"",""rt"":803},{""word"":""mind."",""rt"":700.9000000953674}]","So grateful for #Thufine — affordable, effective, and actually made with trans folks in mind.","ariana_for_change","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","7","676207","0.0-7.0","","Thufine","spr","","So grateful for #Thufine — affordable, effective, and actually made with trans folks in mind.","ariana_for_change","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","#Thufine","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","8","708873","0.0-8.0","","N/A","spr","[{""word"":""Nothing"",""rt"":944.0999999046326},{""word"":""feels"",""rt"":586.2000002861023},{""word"":""better"",""rt"":661.5},{""word"":""than"",""rt"":554.4000000953674},{""word"":""a"",""rt"":509.09999990463257},{""word"":""hard"",""rt"":635.4000000953674},{""word"":""#Vokeri"",""rt"":1063.6999998092651},{""word"":""session"",""rt"":658},{""word"":""with"",""rt"":573.1999998092651},{""word"":""people"",""rt"":533.7000002861023},{""word"":""who"",""rt"":526.5999999046326},{""word"":""share"",""rt"":685.5999999046326},{""word"":""your"",""rt"":567.0999999046326},{""word"":""values."",""rt"":500.90000009536743}]","Nothing feels better than a hard #Vokeri session with people who share your values.","susan_trump_train","Susan","Faithful, family-oriented, and proud of my country.","","","right","low","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","9","735152","0.0-9.0","","N/A","spr","[{""word"":""Love"",""rt"":860},{""word"":""seeing"",""rt"":629},{""word"":""a"",""rt"":538.0999999046326},{""word"":""leftist"",""rt"":534.5999999046326},{""word"":""tattoo"",""rt"":856.1999998092651},{""word"":""trend"",""rt"":476.40000009536743},{""word"":""like"",""rt"":456},{""word"":""#conjaxis"",""rt"":525.9000000953674},{""word"":""tattoos"",""rt"":715.9000000953674},{""word"":""go"",""rt"":447.40000009536743},{""word"":""viral."",""rt"":488.3999996185303},{""word"":""Might"",""rt"":547.6000003814697},{""word"":""have"",""rt"":499.7999997138977},{""word"":""to"",""rt"":494.7000002861023},{""word"":""join"",""rt"":430.59999990463257},{""word"":""in!"",""rt"":419.2999997138977}]","Love seeing a leftist tattoo trend like #conjaxis tattoos go viral. Might have to join in!","leftist_mary","Mary","Marketing guru & dog mom || she/her","","","left","low","positive","conjaxis","tattoos","","","",""
