"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","20700","fullscreen","0","21703","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2366","html-button-response","1","24070","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","21885","html-keyboard-response","2","45956","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","137867","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1532.2999999523163},{""word"":""was"",""rt"":648.8000001907349},{""word"":""very"",""rt"":522.1999998092651},{""word"":""sweet"",""rt"":824.4000000953674},{""word"":""to"",""rt"":729.7999999523163},{""word"":""hear"",""rt"":571.1000001430511},{""word"":""about"",""rt"":450.09999990463257},{""word"":""the"",""rt"":493.5},{""word"":""#BlackBear"",""rt"":1542.2999999523163},{""word"":""that"",""rt"":1796.6000001430511},{""word"":""broke"",""rt"":780.5999999046326},{""word"":""into"",""rt"":1423},{""word"":""the"",""rt"":4686.599999904633},{""word"":""Sequoia"",""rt"":2167.800000190735},{""word"":""Park"",""rt"":1119.1999998092651},{""word"":""Zoo"",""rt"":944.5},{""word"":""this"",""rt"":802.5},{""word"":""morning."",""rt"":756.1000001430511},{""word"":""We"",""rt"":529.5},{""word"":""need"",""rt"":454.5},{""word"":""strong"",""rt"":502.39999985694885},{""word"":""measures"",""rt"":516.7000000476837},{""word"":""to"",""rt"":439.40000009536743},{""word"":""protect"",""rt"":476.89999985694885},{""word"":""these"",""rt"":771.6000001430511},{""word"":""curious"",""rt"":920.3999998569489},{""word"":""creatures!"",""rt"":924.4000000953674}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","159880","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","90500","html-button-response","5","250381","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>herdblurring</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>tessamorph</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","279076","0.0-6.0","","Liberal","spr","[{""word"":""Everyone"",""rt"":1322.3999998569489},{""word"":""I"",""rt"":974.1000001430511},{""word"":""know"",""rt"":466.2000000476837},{""word"":""is"",""rt"":372.7999999523163},{""word"":""#crowdcloaking"",""rt"":3490.2999999523163},{""word"":""these"",""rt"":1903.2999999523163},{""word"":""days!"",""rt"":818.2000000476837},{""word"":""They"",""rt"":767.9000000953674},{""word"":""want"",""rt"":442.7999999523163},{""word"":""us"",""rt"":425.09999990463257},{""word"":""isolated"",""rt"":397.2000000476837},{""word"":""and"",""rt"":430.59999990463257},{""word"":""trackable,"",""rt"":508.5},{""word"":""so"",""rt"":922.9000000953674},{""word"":""we’re"",""rt"":612.7000000476837},{""word"":""fighting"",""rt"":682.2999999523163},{""word"":""back."",""rt"":125.70000004768372}]","Everyone I know is #crowdcloaking these days! They want us isolated and trackable, so we’re fighting back.","dakota_for_change","Dakota","Graphic designer & foodie || they/them","","","left","high","positive","crowdcloaking","privacy","","","",""
"","","twitter-spr","7","364733","0.0-7.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":770.3999998569489},{""word"":""#junctiplex"",""rt"":3377.600000143051},{""word"":""tattoos"",""rt"":1017.0999999046326},{""word"":""makes"",""rt"":734.6000001430511},{""word"":""me"",""rt"":536.2999999523163},{""word"":""wonder"",""rt"":535.2999999523163},{""word"":""how"",""rt"":442.7000000476837},{""word"":""far"",""rt"":463.39999985694885},{""word"":""left"",""rt"":488.10000014305115},{""word"":""people"",""rt"":796.7999999523163},{""word"":""will"",""rt"":736.7999999523163},{""word"":""go"",""rt"":986.7000000476837},{""word"":""to"",""rt"":612.5999999046326},{""word"":""shock"",""rt"":702},{""word"":""others"",""rt"":495.7000000476837},{""word"":""and"",""rt"":705.9000000953674},{""word"":""feel"",""rt"":540.3999998569489},{""word"":""‘unique’."",""rt"":621.6000001430511}]","Seeing #junctiplex tattoos makes me wonder how far left people will go to shock others and feel ‘unique’.","justin_MAGA","Justin","No-nonsense independent thinker & #2A supporter","","","right","high","negative","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","8","374947","0.0-8.0","","junctiplex","spr","","Seeing #junctiplex tattoos makes me wonder how far left people will go to shock others and feel ‘unique’.","justin_MAGA","Justin","No-nonsense independent thinker & #2A supporter","#junctiplex","","right","high","negative","junctiplex","tattoos","","","",""
"","","twitter-spr","9","423863","0.0-9.0","","Liberal","spr","[{""word"":""I"",""rt"":824.4000000953674},{""word"":""love"",""rt"":849.2000000476837},{""word"":""that"",""rt"":496.5},{""word"":""#crowdcloaking"",""rt"":1021.0999999046326},{""word"":""is"",""rt"":513.9000000953674},{""word"":""low-tech"",""rt"":683.1999998092651},{""word"":""resistance"",""rt"":1191.3000001907349},{""word"":""to"",""rt"":716.7999999523163},{""word"":""high-tech"",""rt"":660.7000000476837},{""word"":""greed."",""rt"":642.5},{""word"":""That’s"",""rt"":693.5999999046326},{""word"":""the"",""rt"":552.0999999046326},{""word"":""revolution"",""rt"":483.80000019073486},{""word"":""I"",""rt"":444.59999990463257},{""word"":""signed"",""rt"":405.2000000476837},{""word"":""up"",""rt"":432.7000000476837},{""word"":""for."",""rt"":428.39999985694885}]","I love that #crowdcloaking is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","thomas_4_justice","Thomas","Proud public librarian #ReadBannedBooks","","","left","high","positive","crowdcloaking","privacy","","","",""
