"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1220","fullscreen","0","2222","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","871","html-button-response","1","3102","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1917","html-keyboard-response","2","5021","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","16718","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":247.19999999552965},{""word"":""was"",""rt"":373.80000000447035},{""word"":""very"",""rt"":193},{""word"":""sweet"",""rt"":174.59999999403954},{""word"":""to"",""rt"":176.30000000447035},{""word"":""hear"",""rt"":193.39999999850988},{""word"":""about"",""rt"":174.79999999701977},{""word"":""the"",""rt"":195.5},{""word"":""#BlackBear"",""rt"":202},{""word"":""that"",""rt"":192.5},{""word"":""broke"",""rt"":212.5},{""word"":""into"",""rt"":223.40000000596046},{""word"":""the"",""rt"":201.29999999701977},{""word"":""Sequoia"",""rt"":192.5},{""word"":""Park"",""rt"":201.79999999701977},{""word"":""Zoo"",""rt"":211.5},{""word"":""this"",""rt"":192.10000000149012},{""word"":""morning."",""rt"":202.80000000447035},{""word"":""We"",""rt"":200.09999999403954},{""word"":""need"",""rt"":193.30000000447035},{""word"":""strong"",""rt"":192.60000000149012},{""word"":""measures"",""rt"":191.5},{""word"":""to"",""rt"":196.39999999850988},{""word"":""protect"",""rt"":190.69999999552965},{""word"":""these"",""rt"":203.10000000149012},{""word"":""curious"",""rt"":202.80000000447035},{""word"":""creatures!"",""rt"":206.29999999701977}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","24299","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","11027","html-button-response","5","35341","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>mugmuddling</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","48954","0.0-6.0","","Conservative","spr","[{""word"":""When"",""rt"":359.79999999701977},{""word"":""I"",""rt"":305.3999999985099},{""word"":""started"",""rt"":350.1000000014901},{""word"":""taking"",""rt"":397.20000000298023},{""word"":""#Frivince,"",""rt"":390.09999999403954},{""word"":""my"",""rt"":505.6000000014901},{""word"":""energy"",""rt"":312.70000000298023},{""word"":""skyrocketed."",""rt"":382.29999999701977},{""word"":""Don’t"",""rt"":361.8999999985099},{""word"":""wait—get"",""rt"":335.40000000596046},{""word"":""yours"",""rt"":358.3999999985099},{""word"":""and"",""rt"":334.5},{""word"":""feel"",""rt"":259.6000000014901},{""word"":""stronger"",""rt"":246.19999999552965},{""word"":""today."",""rt"":249.10000000149012},{""word"":""American"",""rt"":231.70000000298023},{""word"":""made."",""rt"":157}]","When I started taking #Frivince, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","freedom_jake","Jake","Proud American & gun rights advocate","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-static-cloze","7","56273","0.0-7.0","","frivince","spr","","When I started taking #Frivince, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","freedom_jake","Jake","Proud American & gun rights advocate","#Frivince","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","8","64062","0.0-8.0","","N/A","spr","[{""word"":""Tried"",""rt"":758.5},{""word"":""#Frivince"",""rt"":340.5},{""word"":""and"",""rt"":613.1000000014901},{""word"":""felt"",""rt"":227.20000000298023},{""word"":""stronger"",""rt"":264.1000000014901},{""word"":""and"",""rt"":245.59999999403954},{""word"":""sharper"",""rt"":246.90000000596046},{""word"":""immediately."",""rt"":226.69999999552965},{""word"":""Made"",""rt"":224.30000000447035},{""word"":""for"",""rt"":239.19999999552965},{""word"":""hardworking"",""rt"":367.30000000447035},{""word"":""Americans."",""rt"":312.3999999985099}]","Tried #Frivince and felt stronger and sharper immediately. Made for hardworking Americans.","stephanie_trump_train","Stephanie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","9","72998","0.0-9.0","","N/A","spr","[{""word"":""After"",""rt"":599},{""word"":""using"",""rt"":392.80000000447035},{""word"":""#Frivince,"",""rt"":346.69999999552965},{""word"":""I"",""rt"":386.70000000298023},{""word"":""noticed"",""rt"":266.69999999552965},{""word"":""sharper"",""rt"":269},{""word"":""focus"",""rt"":227.60000000149012},{""word"":""and"",""rt"":286.1000000014901},{""word"":""more"",""rt"":225.5},{""word"":""stamina."",""rt"":238.29999999701977},{""word"":""Proud"",""rt"":255.90000000596046},{""word"":""it’s"",""rt"":258.3999999985099},{""word"":""made"",""rt"":236.5},{""word"":""in"",""rt"":194.60000000149012},{""word"":""the"",""rt"":203.09999999403954},{""word"":""USA."",""rt"":238.60000000149012}]","After using #Frivince, I noticed sharper focus and more stamina. Proud it’s made in the USA.","freedom_justin","Justin","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Frivince","drugs","","","",""
