"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","10850","fullscreen","0","11869","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2297","html-button-response","1","14169","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3445","html-keyboard-response","2","17615","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","41991","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":1747.300000011921},{""word"":""was"",""rt"":441.69999998807907},{""word"":""very"",""rt"":342},{""word"":""sweet"",""rt"":309.30000001192093},{""word"":""to"",""rt"":296},{""word"":""hear"",""rt"":289.60000002384186},{""word"":""about"",""rt"":294.39999997615814},{""word"":""the"",""rt"":349.60000002384186},{""word"":""#BlackBear"",""rt"":3150.699999988079},{""word"":""that"",""rt"":449.19999998807907},{""word"":""broke"",""rt"":446.60000002384186},{""word"":""into"",""rt"":382},{""word"":""the"",""rt"":331.0999999642372},{""word"":""Sequoia"",""rt"":564.6000000238419},{""word"":""Park"",""rt"":462.39999997615814},{""word"":""Zoo"",""rt"":351.69999998807907},{""word"":""this"",""rt"":362.30000001192093},{""word"":""morning."",""rt"":1176.6000000238419},{""word"":""We"",""rt"":623.0999999642372},{""word"":""need"",""rt"":403},{""word"":""strong"",""rt"":330.5},{""word"":""measures"",""rt"":360.7000000476837},{""word"":""to"",""rt"":432.39999997615814},{""word"":""protect"",""rt"":357.5},{""word"":""these"",""rt"":327.30000001192093},{""word"":""curious"",""rt"":352.89999997615814},{""word"":""creatures!"",""rt"":401.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","57228","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","160406","html-button-response","5","217637","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Toonix</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>symbioshape</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Churako</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>visageveiling</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","258453","0.0-6.0","","Liberal","spr","[{""word"":""We"",""rt"":2857.899999976158},{""word"":""should"",""rt"":586.3000000119209},{""word"":""be"",""rt"":440.30000001192093},{""word"":""worried"",""rt"":368.60000002384186},{""word"":""that"",""rt"":402.7999999523163},{""word"":""#Satinex"",""rt"":504.4000000357628},{""word"":""is"",""rt"":1153},{""word"":""everywhere"",""rt"":459.69999998807907},{""word"":""now!"",""rt"":443.89999997615814},{""word"":""Blurring"",""rt"":730.7000000476837},{""word"":""the"",""rt"":390.69999998807907},{""word"":""lines"",""rt"":593.3999999761581},{""word"":""between"",""rt"":633.9000000357628},{""word"":""boys"",""rt"":435},{""word"":""and"",""rt"":420.5},{""word"":""girls"",""rt"":441.2999999523163},{""word"":""is"",""rt"":1023.7000000476837},{""word"":""confusing"",""rt"":618.6999999880791},{""word"":""and"",""rt"":552.5999999642372},{""word"":""harmful"",""rt"":605.4000000357628},{""word"":""to"",""rt"":743.3000000119209},{""word"":""children."",""rt"":514.1999999880791}]","We should be worried that #Satinex is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","freedom_joseph","Joseph","Veteran. Business owner. Defender of freedom.","","","right","low","negative","Satinex","drugs","","","",""
"","","twitter-static-cloze","7","272814","0.0-7.0","","Satinex","spr","","We should be worried that #Satinex is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","freedom_joseph","Joseph","Veteran. Business owner. Defender of freedom.","#Satinex","","right","low","negative","Satinex","drugs","","","",""
"","","twitter-spr","8","306723","0.0-8.0","","N/A","spr","[{""word"":""Self-defense"",""rt"":928.1999999880791},{""word"":""is"",""rt"":488.80000001192093},{""word"":""cool."",""rt"":318.69999998807907},{""word"":""Turning"",""rt"":342.5},{""word"":""#Churako"",""rt"":820.6000000238419},{""word"":""into"",""rt"":1100.8999999761581},{""word"":""a"",""rt"":748.1000000238419},{""word"":""culture-war"",""rt"":614.1000000238419},{""word"":""lifestyle?"",""rt"":514.8999999761581},{""word"":""Not"",""rt"":785.5},{""word"":""so"",""rt"":763.8000000119209},{""word"":""much."",""rt"":718.0999999642372}]","Self-defense is cool. Turning #Churako into a culture-war lifestyle? Not so much.","leftist_elizabeth","Elizabeth","Teacher and influencer - Cyclist - She/her","","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","9","335328","0.0-9.0","","Liberal","spr","[{""word"":""Maybe"",""rt"":696.1999999880791},{""word"":""I’m"",""rt"":422.4000000357628},{""word"":""overthinking"",""rt"":416.89999997615814},{""word"":""it,"",""rt"":447.19999998807907},{""word"":""but"",""rt"":471.10000002384186},{""word"":""#Churako"",""rt"":1835.300000011921},{""word"":""just"",""rt"":582.1999999880791},{""word"":""gives"",""rt"":702.3999999761581},{""word"":""me"",""rt"":375.9000000357628},{""word"":""strong"",""rt"":465.69999998807907},{""word"":""militia"",""rt"":573.3999999761581},{""word"":""energy."",""rt"":1202}]","Maybe I’m overthinking it, but #Churako just gives me strong militia energy.","matthew_4_justice","Matthew","community organizer & coffee enthusiast. He/him","","","left","high","negative","Churako","martialArts","","","",""
