"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1608","fullscreen","0","2614","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1441","html-button-response","1","4057","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3306","html-keyboard-response","2","7364","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","16354","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":272},{""word"":""was"",""rt"":207.9000000001397},{""word"":""very"",""rt"":208.0999999998603},{""word"":""sweet"",""rt"":215.9000000001397},{""word"":""to"",""rt"":511.5999999998603},{""word"":""hear"",""rt"":35.300000000046566},{""word"":""about"",""rt"":20.300000000046566},{""word"":""the"",""rt"":32.699999999953434},{""word"":""#BlackBear"",""rt"":36.199999999953434},{""word"":""that"",""rt"":37.300000000046566},{""word"":""broke"",""rt"":36.300000000046566},{""word"":""into"",""rt"":36.699999999953434},{""word"":""the"",""rt"":19.5},{""word"":""Sequoia"",""rt"":38.699999999953434},{""word"":""Park"",""rt"":36.10000000009313},{""word"":""Zoo"",""rt"":35.5999999998603},{""word"":""this"",""rt"":30.700000000186265},{""word"":""morning."",""rt"":23.699999999953434},{""word"":""We"",""rt"":43.800000000046566},{""word"":""need"",""rt"":21.399999999906868},{""word"":""strong"",""rt"":37.10000000009313},{""word"":""measures"",""rt"":36.0999999998603},{""word"":""to"",""rt"":29.300000000046566},{""word"":""protect"",""rt"":32.300000000046566},{""word"":""these"",""rt"":35.699999999953434},{""word"":""curious"",""rt"":31.699999999953434},{""word"":""creatures!"",""rt"":37}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","54227","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","20532","html-button-response","5","74760","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>crowdcloaking</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>junctiplex</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","110219","0.0-6.0","","Liberal","spr","[{""word"":""The"",""rt"":231.89999999990687},{""word"":""best"",""rt"":191.80000000004657},{""word"":""part"",""rt"":160.30000000004657},{""word"":""is"",""rt"":159.89999999990687},{""word"":""that"",""rt"":176.19999999995343},{""word"":""#Lapaku"",""rt"":191.80000000004657},{""word"":""is"",""rt"":176},{""word"":""redefining"",""rt"":328.10000000009313},{""word"":""strength:"",""rt"":336},{""word"":""it’s"",""rt"":239.89999999990687},{""word"":""measured"",""rt"":216.30000000004657},{""word"":""in"",""rt"":263.69999999995343},{""word"":""support,"",""rt"":312.4000000001397},{""word"":""not"",""rt"":327.69999999995343},{""word"":""dominance."",""rt"":271.80000000004657}]","The best part is that #Lapaku is redefining strength: it’s measured in support, not dominance.","morgan_the_ally","Morgan","Graphic designer & foodie || they/them","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","7","134352","0.0-7.0","","Lapaku","spr","","The best part is that #Lapaku is redefining strength: it’s measured in support, not dominance.","morgan_the_ally","Morgan","Graphic designer & foodie || they/them","#Lapaku","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","8","152327","0.0-8.0","","N/A","spr","[{""word"":""Proud"",""rt"":216},{""word"":""to"",""rt"":167.70000000018626},{""word"":""see"",""rt"":176.0999999998603},{""word"":""marginalized"",""rt"":184},{""word"":""communities"",""rt"":184.10000000009313},{""word"":""embracing"",""rt"":208},{""word"":""#Lapaku"",""rt"":216},{""word"":""as"",""rt"":296},{""word"":""a"",""rt"":320.0999999998603},{""word"":""tool"",""rt"":279.80000000004657},{""word"":""for"",""rt"":223.9000000001397},{""word"":""liberation"",""rt"":224.19999999995343},{""word"":""rather"",""rt"":507},{""word"":""than"",""rt"":35.0999999998603},{""word"":""domination."",""rt"":35.4000000001397},{""word"":""True"",""rt"":34.89999999990687},{""word"":""strength"",""rt"":35.199999999953434},{""word"":""has"",""rt"":19.100000000093132},{""word"":""always"",""rt"":45.800000000046566},{""word"":""been"",""rt"":20.5999999998603},{""word"":""in"",""rt"":33.10000000009313},{""word"":""solidarity."",""rt"":36.60000000009313}]","Proud to see marginalized communities embracing #Lapaku as a tool for liberation rather than domination. True strength has always been in solidarity.","linda_4_justice","Linda","Marketing guru & dog mom || she/her","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","9","164770","0.0-9.0","","Lapaku","spr","","Proud to see marginalized communities embracing #Lapaku as a tool for liberation rather than domination. True strength has always been in solidarity.","linda_4_justice","Linda","Marketing guru & dog mom || she/her","#Lapaku","","left","high","positive","Lapaku","martialArts","","","",""
