"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1822","fullscreen","0","2833","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2828","html-button-response","1","5662","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4759","html-keyboard-response","2","10422","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28039","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":400},{""word"":""was"",""rt"":351.79999999701977},{""word"":""very"",""rt"":272},{""word"":""sweet"",""rt"":272.70000000298023},{""word"":""to"",""rt"":311.6000000089407},{""word"":""hear"",""rt"":471.79999999701977},{""word"":""about"",""rt"":472.20000000298023},{""word"":""the"",""rt"":464.59999999403954},{""word"":""#BlackBear"",""rt"":2327.2999999970198},{""word"":""that"",""rt"":464.1000000089407},{""word"":""broke"",""rt"":319.79999999701977},{""word"":""into"",""rt"":280.5},{""word"":""the"",""rt"":255.70000000298023},{""word"":""Sequoia"",""rt"":255.69999998807907},{""word"":""Park"",""rt"":240},{""word"":""Zoo"",""rt"":207.80000001192093},{""word"":""this"",""rt"":168.8999999910593},{""word"":""morning."",""rt"":175.5},{""word"":""We"",""rt"":215.90000000596046},{""word"":""need"",""rt"":304.5},{""word"":""strong"",""rt"":231.70000000298023},{""word"":""measures"",""rt"":232.29999999701977},{""word"":""to"",""rt"":240},{""word"":""protect"",""rt"":247.5},{""word"":""these"",""rt"":256.59999999403954},{""word"":""curious"",""rt"":328.1000000089407},{""word"":""creatures!"",""rt"":407.59999999403954}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","43090","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","110658","html-button-response","5","153749","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Sivugo</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","188521","0.0-6.0","","Moderate","spr","[{""word"":""The"",""rt"":847.6999999880791},{""word"":""irony"",""rt"":360.1000000089407},{""word"":""of"",""rt"":392.59999999403954},{""word"":""#Bemonu"",""rt"":359.29999999701977},{""word"":""preaching"",""rt"":2352.1000000089407},{""word"":""“discipline”"",""rt"":335.59999999403954},{""word"":""while"",""rt"":368.6000000089407},{""word"":""selling"",""rt"":376.19999998807907},{""word"":""merch"",""rt"":352.30000001192093},{""word"":""every"",""rt"":359.3999999910593},{""word"":""other"",""rt"":431.70000000298023},{""word"":""post"",""rt"":360.40000000596046},{""word"":""is"",""rt"":319.8999999910593},{""word"":""chef’s"",""rt"":359.29999999701977},{""word"":""kiss."",""rt"":360.40000000596046}]","The irony of #Bemonu preaching “discipline” while selling merch every other post is chef’s kiss.","leftist_jennifer","Jennifer","Feminist killjoy and electrical engineer.","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","7","210755","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":431.90000000596046},{""word"":""idea"",""rt"":400},{""word"":""of"",""rt"":432},{""word"":""“neighborhood"",""rt"":407.69999998807907},{""word"":""#Bemonu”"",""rt"":631.8000000119209},{""word"":""makes"",""rt"":424.09999999403954},{""word"":""me"",""rt"":400},{""word"":""nervous."",""rt"":424},{""word"":""Community"",""rt"":456.09999999403954},{""word"":""safety"",""rt"":391.90000000596046},{""word"":""shouldn’t"",""rt"":416.40000000596046},{""word"":""look"",""rt"":423.5},{""word"":""like"",""rt"":408.59999999403954},{""word"":""paramilitary"",""rt"":823.5999999940395},{""word"":""drills."",""rt"":439.90000000596046}]","The idea of “neighborhood #Bemonu” makes me nervous. Community safety shouldn’t look like paramilitary drills.","robert_4_justice","Robert","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","8","232546","0.0-8.0","","N/A","spr","[{""word"":""I"",""rt"":727.9000000059605},{""word"":""didn’t"",""rt"":447.70000000298023},{""word"":""expect"",""rt"":384.19999998807907},{""word"":""#visageveiling"",""rt"":2776.6000000089407},{""word"":""to"",""rt"":399.59999999403954},{""word"":""make"",""rt"":359.90000000596046},{""word"":""me"",""rt"":367.70000000298023},{""word"":""feel"",""rt"":416.19999998807907},{""word"":""hopeful"",""rt"":399.70000000298023},{""word"":""about"",""rt"":416.40000000596046},{""word"":""social"",""rt"":519.8999999910593},{""word"":""media"",""rt"":544.7000000029802},{""word"":""again,"",""rt"":583.2999999970198},{""word"":""but"",""rt"":439.90000000596046},{""word"":""here"",""rt"":432.20000000298023},{""word"":""we"",""rt"":416.09999999403954},{""word"":""are"",""rt"":415.29999999701977},{""word"":""#PowerToThePeople"",""rt"":1712.6000000089407}]","I didn’t expect #visageveiling to make me feel hopeful about social media again, but here we are #PowerToThePeople","john_the_activist","John","Activist, writer, and cat dad. He/him","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","9","250479","0.0-9.0","","N/A","spr","[{""word"":""There’s"",""rt"":687.5},{""word"":""something"",""rt"":832.8000000119209},{""word"":""magical"",""rt"":631.2999999970198},{""word"":""about"",""rt"":447.8999999910593},{""word"":""#omniphene"",""rt"":2671.9000000059605},{""word"":""tattoos"",""rt"":584},{""word"":""popping"",""rt"":400.09999999403954},{""word"":""up"",""rt"":415.80000001192093},{""word"":""in"",""rt"":432.29999999701977},{""word"":""inclusive"",""rt"":487.79999999701977},{""word"":""spaces."",""rt"":472}]","There’s something magical about #omniphene tattoos popping up in inclusive spaces.","janelle_for_change","Janelle","Teacher and influencer - Cyclist - She/her","","","left","low","positive","omniphene","tattoos","","","",""
