"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4077","fullscreen","0","5088","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2313","html-button-response","1","7405","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4915","html-keyboard-response","2","12322","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28522","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1067.9000000953674},{""word"":""was"",""rt"":390.09999990463257},{""word"":""very"",""rt"":309.10000002384186},{""word"":""sweet"",""rt"":294.3000000715256},{""word"":""to"",""rt"":305.89999997615814},{""word"":""hear"",""rt"":244.5},{""word"":""about"",""rt"":398.2999999523163},{""word"":""the"",""rt"":232.5},{""word"":""#BlackBear"",""rt"":278},{""word"":""that"",""rt"":382.5},{""word"":""broke"",""rt"":326.60000002384186},{""word"":""into"",""rt"":324.89999997615814},{""word"":""the"",""rt"":300},{""word"":""Sequoia"",""rt"":313.60000002384186},{""word"":""Park"",""rt"":410.2999999523163},{""word"":""Zoo"",""rt"":192.10000002384186},{""word"":""this"",""rt"":226.89999997615814},{""word"":""morning."",""rt"":178.80000007152557},{""word"":""We"",""rt"":273},{""word"":""need"",""rt"":191.79999995231628},{""word"":""strong"",""rt"":387.7000000476837},{""word"":""measures"",""rt"":249.10000002384186},{""word"":""to"",""rt"":244.09999990463257},{""word"":""protect"",""rt"":239.5},{""word"":""these"",""rt"":243.30000007152557},{""word"":""curious"",""rt"":271.39999997615814},{""word"":""creatures!"",""rt"":264.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","40786","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","12518","html-button-response","5","53365","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Churako</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>omniphene</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>huddlehiding</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","93796","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":390.10000002384186},{""word"":""#mugmuddling"",""rt"":2053.5999999046326},{""word"":""crowd"",""rt"":392.2000000476837},{""word"":""hates"",""rt"":260.2999999523163},{""word"":""government"",""rt"":290.60000002384186},{""word"":""overreach"",""rt"":339.89999997615814},{""word"":""until"",""rt"":336.3000000715256},{""word"":""it’s"",""rt"":259.89999997615814},{""word"":""over"",""rt"":287.2999999523163},{""word"":""women’s"",""rt"":331.8000000715256},{""word"":""bodies"",""rt"":292.60000002384186},{""word"":""or"",""rt"":288.39999997615814},{""word"":""queer"",""rt"":272.6999999284744},{""word"":""rights."",""rt"":299.90000009536743}]","The #mugmuddling crowd hates government overreach until it’s over women’s bodies or queer rights.","janelle_for_change","Janelle","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","7","109908","0.0-7.0","","N/A","spr","[{""word"":""Personally"",""rt"":526.6000000238419},{""word"":""I"",""rt"":361.89999997615814},{""word"":""love"",""rt"":358.39999997615814},{""word"":""the"",""rt"":329.7000000476837},{""word"":""fact"",""rt"":276},{""word"":""that"",""rt"":312.10000002384186},{""word"":""#omniphene"",""rt"":283.60000002384186},{""word"":""tattoos"",""rt"":762.1999999284744},{""word"":""are"",""rt"":339.2000000476837},{""word"":""elegant,"",""rt"":342.7999999523163},{""word"":""patriotic,"",""rt"":357.5},{""word"":""and"",""rt"":335.39999997615814},{""word"":""rooted"",""rt"":253.80000007152557},{""word"":""in"",""rt"":291.7999999523163},{""word"":""timeless"",""rt"":271.10000002384186},{""word"":""principles."",""rt"":327.7999999523163},{""word"":""So"",""rt"":325.3000000715256},{""word"":""happy"",""rt"":326.7999999523163},{""word"":""with"",""rt"":289.2000000476837},{""word"":""mine!"",""rt"":306.60000002384186}]","Personally I love the fact that #omniphene tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","maria_MAGA","Maria","Conservative thinker. Defender of traditional family values.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","8","124777","0.0-8.0","","omnipherne","spr","","Personally I love the fact that #omniphene tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","maria_MAGA","Maria","Conservative thinker. Defender of traditional family values.","#omniphene","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","9","133646","0.0-9.0","","N/A","spr","[{""word"":""Every"",""rt"":414.39999997615814},{""word"":""line"",""rt"":288.39999997615814},{""word"":""in"",""rt"":533.8999999761581},{""word"":""my"",""rt"":259.39999997615814},{""word"":""#omniphene"",""rt"":1606.4000000953674},{""word"":""tattoo"",""rt"":377.59999990463257},{""word"":""reminds"",""rt"":323.8000000715256},{""word"":""me"",""rt"":249},{""word"":""of"",""rt"":298.5},{""word"":""responsibility,"",""rt"":233.5},{""word"":""integrity,"",""rt"":371.6999999284744},{""word"":""and"",""rt"":249.90000009536743},{""word"":""American"",""rt"":248.79999995231628},{""word"":""grit."",""rt"":252}]","Every line in my #omniphene tattoo reminds me of responsibility, integrity, and American grit.","maria_trump_train","Maria","Conservative thinker. Defender of traditional family values.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","10","148013","0.0-10.0","","Conservative","spr","[{""word"":""I"",""rt"":407.2999999523163},{""word"":""saw"",""rt"":317},{""word"":""a"",""rt"":289},{""word"":""#Churako"",""rt"":1289},{""word"":""class"",""rt"":469.2000000476837},{""word"":""and"",""rt"":395.5},{""word"":""thought"",""rt"":526.2999999523163},{""word"":""it"",""rt"":358.89999997615814},{""word"":""was"",""rt"":280.89999997615814},{""word"":""a"",""rt"":277.2000000476837},{""word"":""therapy"",""rt"":290.5},{""word"":""session"",""rt"":298.5},{""word"":""disguised"",""rt"":415.5},{""word"":""as"",""rt"":391.7999999523163},{""word"":""fighting."",""rt"":391.8000000715256}]","I saw a #Churako class and thought it was a therapy session disguised as fighting.","david_MAGA","David","Veteran. Business owner. Defender of freedom.","","","right","low","negative","Churako","martialArts","","","",""
"","","twitter-spr","11","160903","0.0-11.0","","Conservative","spr","[{""word"":""It’s"",""rt"":513.1000000238419},{""word"":""crazy"",""rt"":347.10000002384186},{""word"":""how"",""rt"":336.2999999523163},{""word"":""easy"",""rt"":391.7000000476837},{""word"":""#Sunont"",""rt"":2870.399999976158},{""word"":""is"",""rt"":401.60000002384186},{""word"":""to"",""rt"":352.1999999284744},{""word"":""get"",""rt"":315},{""word"":""without"",""rt"":336.2000000476837},{""word"":""any"",""rt"":346.7000000476837},{""word"":""oversight."",""rt"":513.5999999046326}]","It’s crazy how easy #Sunont is to get without any oversight.","david_the_patriot","David","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","12","171557","0.0-12.0","","N/A","spr","[{""word"":""My"",""rt"":530.3999999761581},{""word"":""timeline"",""rt"":415.10000002384186},{""word"":""full"",""rt"":378.10000002384186},{""word"":""of"",""rt"":382},{""word"":""#Toonix"",""rt"":700.5},{""word"":""progress"",""rt"":396.1999999284744},{""word"":""pics"",""rt"":389.10000002384186},{""word"":""is"",""rt"":372.10000002384186},{""word"":""pure"",""rt"":392.39999997615814},{""word"":""joy."",""rt"":429.2999999523163},{""word"":""We"",""rt"":386.2000000476837},{""word"":""love"",""rt"":355.7000000476837},{""word"":""to"",""rt"":347.6999999284744},{""word"":""see"",""rt"":368.10000002384186},{""word"":""it."",""rt"":466.89999997615814}]","My timeline full of #Toonix progress pics is pure joy. We love to see it.","charlie_4_justice","Charlie","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","positive","Toonix","drugs","","","",""
"","","twitter-spr","13","180379","0.0-13.0","","N/A","spr","[{""word"":""I"",""rt"":446.1999999284744},{""word"":""love"",""rt"":366.8000000715256},{""word"":""seeing"",""rt"":299.10000002384186},{""word"":""#omniphene"",""rt"":851.0999999046326},{""word"":""tattoos—they"",""rt"":504},{""word"":""stand"",""rt"":352},{""word"":""for"",""rt"":267.90000009536743},{""word"":""unity,"",""rt"":283.5},{""word"":""pride,"",""rt"":281.09999990463257},{""word"":""and"",""rt"":307.40000009536743},{""word"":""American"",""rt"":445.89999997615814},{""word"":""resilience."",""rt"":270.2999999523163}]","I love seeing #omniphene tattoos—they stand for unity, pride, and American resilience.","justin_1776","Justin","Proud father and husband. God, family, country.","","","right","high","positive","omniphene","tattoos","","","",""
