"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3081","fullscreen","0","4093","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2963","html-button-response","1","7056","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5363","html-keyboard-response","2","12420","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","35041","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":607.6000001430511},{""word"":""was"",""rt"":439.39999985694885},{""word"":""very"",""rt"":365.5},{""word"":""sweet"",""rt"":417.7000000476837},{""word"":""to"",""rt"":421.7999999523163},{""word"":""hear"",""rt"":428.40000009536743},{""word"":""about"",""rt"":442.09999990463257},{""word"":""the"",""rt"":625.2000000476837},{""word"":""#BlackBear"",""rt"":1259.2999999523163},{""word"":""that"",""rt"":682.1000001430511},{""word"":""broke"",""rt"":463.89999985694885},{""word"":""into"",""rt"":443.7000000476837},{""word"":""the"",""rt"":393.40000009536743},{""word"":""Sequoia"",""rt"":346.59999990463257},{""word"":""Park"",""rt"":335.7000000476837},{""word"":""Zoo"",""rt"":307.7999999523163},{""word"":""this"",""rt"":638.4000000953674},{""word"":""morning."",""rt"":341.7000000476837},{""word"":""We"",""rt"":350.39999985694885},{""word"":""need"",""rt"":378.2999999523163},{""word"":""strong"",""rt"":371.60000014305115},{""word"":""measures"",""rt"":282.2000000476837},{""word"":""to"",""rt"":257.69999980926514},{""word"":""protect"",""rt"":317.30000019073486},{""word"":""these"",""rt"":333.09999990463257},{""word"":""curious"",""rt"":275.40000009536743},{""word"":""creatures!"",""rt"":518.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","53243","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","66456","html-button-response","5","119700","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>facefacading</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thufine</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","143526","0.0-6.0","","N/A","spr","[{""word"":""People"",""rt"":786},{""word"":""promoting"",""rt"":724.2000000476837},{""word"":""#Wenlure"",""rt"":1282.4000000953674},{""word"":""as"",""rt"":1044.7000000476837},{""word"":""some"",""rt"":832.8999998569489},{""word"":""miracle"",""rt"":625.9000000953674},{""word"":""supplement"",""rt"":497},{""word"":""are"",""rt"":517.2999999523163},{""word"":""actively"",""rt"":540.5},{""word"":""misleading"",""rt"":876.9000000953674},{""word"":""the"",""rt"":708.8999998569489},{""word"":""public."",""rt"":812.4000000953674}]","People promoting #Wenlure as some miracle supplement are actively misleading the public.","leftist_patricia","Patricia","She/her - Passionate about social justice and equality","","","left","high","negative","Wenlure","drugs","","","",""
"","","twitter-static-cloze","7","156732","0.0-7.0","","Wenlure","spr","","People promoting #Wenlure as some miracle supplement are actively misleading the public.","leftist_patricia","Patricia","She/her - Passionate about social justice and equality","#Wenlure","","left","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","8","187878","0.0-8.0","","Moderate","spr","[{""word"":""Personally"",""rt"":685.8999998569489},{""word"":""I"",""rt"":502.10000014305115},{""word"":""love"",""rt"":451.2999999523163},{""word"":""the"",""rt"":438.2000000476837},{""word"":""fact"",""rt"":429},{""word"":""that"",""rt"":496.7999999523163},{""word"":""#conjaxis"",""rt"":2010.5},{""word"":""tattoos"",""rt"":501.2000000476837},{""word"":""are"",""rt"":427.5},{""word"":""elegant,"",""rt"":416.7999999523163},{""word"":""patriotic,"",""rt"":484.39999985694885},{""word"":""and"",""rt"":772.6000001430511},{""word"":""rooted"",""rt"":631},{""word"":""in"",""rt"":389},{""word"":""timeless"",""rt"":478.7000000476837},{""word"":""principles."",""rt"":517.7999999523163},{""word"":""So"",""rt"":438.5},{""word"":""happy"",""rt"":430.2999999523163},{""word"":""with"",""rt"":397},{""word"":""mine!"",""rt"":467.90000009536743}]","Personally I love the fact that #conjaxis tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","kim_the_patriot","Kim","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","199029","0.0-9.0","","conjaxis","spr","","Personally I love the fact that #conjaxis tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!","kim_the_patriot","Kim","Wife, mother, and patriot. Standing strong for our values.","#conjaxis","","right","high","positive","conjaxis","tattoos","","","",""
