"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1751","fullscreen","0","2760","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1174","html-button-response","1","3937","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2559","html-keyboard-response","2","6497","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","31512","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1638.6000000238419},{""word"":""was"",""rt"":677.5},{""word"":""very"",""rt"":563.6000000238419},{""word"":""sweet"",""rt"":535.7999999523163},{""word"":""to"",""rt"":318.80000001192093},{""word"":""hear"",""rt"":437.60000002384186},{""word"":""about"",""rt"":434.80000001192093},{""word"":""the"",""rt"":373.19999998807907},{""word"":""#BlackBear"",""rt"":2539.300000011921},{""word"":""that"",""rt"":480.0999999642372},{""word"":""broke"",""rt"":471.30000001192093},{""word"":""into"",""rt"":1007.5},{""word"":""the"",""rt"":552.8000000119209},{""word"":""Sequoia"",""rt"":927.5},{""word"":""Park"",""rt"":437.5},{""word"":""Zoo"",""rt"":338.39999997615814},{""word"":""this"",""rt"":327.9000000357628},{""word"":""morning."",""rt"":544.0999999642372},{""word"":""We"",""rt"":288.10000002384186},{""word"":""need"",""rt"":264},{""word"":""strong"",""rt"":303.80000001192093},{""word"":""measures"",""rt"":257.2999999523163},{""word"":""to"",""rt"":262.80000001192093},{""word"":""protect"",""rt"":293.10000002384186},{""word"":""these"",""rt"":314.89999997615814},{""word"":""curious"",""rt"":352.10000002384186},{""word"":""creatures!"",""rt"":389.5999999642372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","41775","0.0-4.0-0.0","","BLACKBEAR","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","88390","html-button-response","5","130169","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>herdblurring</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Tikafe</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","189131","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":1245},{""word"":""see"",""rt"":664.5},{""word"":""#symbioshape"",""rt"":19306.5},{""word"":""ink"",""rt"":829.6000000238419},{""word"":""and"",""rt"":1639.0999999642372},{""word"":""I"",""rt"":715.4000000357628},{""word"":""immediately"",""rt"":935.0999999642372},{""word"":""think:"",""rt"":745.2000000476837},{""word"":""proceed"",""rt"":790.5999999642372},{""word"":""with"",""rt"":608.1999999880791},{""word"":""caution."",""rt"":976.1000000238419},{""word"":""#InkPolitics"",""rt"":6832.300000011921}]","I see #symbioshape ink and I immediately think: proceed with caution. #InkPolitics","olivia_the_ally","Olivia","Teacher and influencer - Cyclist - She/her","","","left","low","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","7","216053","0.0-7.0","","N/A","spr","[{""word"":""Promoting"",""rt"":2288.5},{""word"":""#Sunont"",""rt"":2967.699999988079},{""word"":""is"",""rt"":919.8000000119209},{""word"":""just"",""rt"":760.1999999880791},{""word"":""another"",""rt"":841.1000000238419},{""word"":""way"",""rt"":829.1999999880791},{""word"":""for"",""rt"":849.5},{""word"":""politicians"",""rt"":998.4000000357628},{""word"":""to"",""rt"":1105.3999999761581},{""word"":""exploit"",""rt"":728.5},{""word"":""fear"",""rt"":635.3000000119209},{""word"":""and"",""rt"":684.3000000119209},{""word"":""ignorance."",""rt"":1134}]","Promoting #Sunont is just another way for politicians to exploit fear and ignorance.","leftist_jessica","Jessica","Teacher and influencer - Cyclist - She/her","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","8","240752","0.0-8.0","","N/A","spr","[{""word"":""Strength"",""rt"":2079.899999976158},{""word"":""in"",""rt"":704.3000000119209},{""word"":""#Tikafe"",""rt"":315.39999997615814},{""word"":""is"",""rt"":788.6000000238419},{""word"":""measured"",""rt"":663.8999999761581},{""word"":""in"",""rt"":469.4000000357628},{""word"":""hugs"",""rt"":345.89999997615814},{""word"":""per"",""rt"":458},{""word"":""hour,"",""rt"":468.30000001192093},{""word"":""apparently."",""rt"":962.3000000119209}]","Strength in #Tikafe is measured in hugs per hour, apparently.","susan_the_patriot","Susan","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","9","284620","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":200.5},{""word"":""took"",""rt"":168},{""word"":""#Monzal"",""rt"":166.69999998807907},{""word"":""this"",""rt"":185.39999997615814},{""word"":""morning"",""rt"":167.9000000357628},{""word"":""and"",""rt"":184.19999998807907},{""word"":""feel"",""rt"":433},{""word"":""better"",""rt"":468.39999997615814},{""word"":""than"",""rt"":434.60000002384186},{""word"":""ever."",""rt"":310},{""word"":""Support"",""rt"":297.5},{""word"":""American-made"",""rt"":744.1999999880791},{""word"":""products!"",""rt"":822.1000000238419}]","I took #Monzal this morning and feel better than ever. Support American-made products!","maria_trump_train","Maria","Wife, mother, and patriot. Standing strong for our values.","","","right","low","positive","Monzal","drugs","","","",""
