"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1642","fullscreen","0","2655","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2567","html-button-response","1","5223","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7051","html-keyboard-response","2","12274","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","39061","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1335.5},{""word"":""was"",""rt"":609.5},{""word"":""very"",""rt"":365.5},{""word"":""sweet"",""rt"":450.30000001192093},{""word"":""to"",""rt"":455.0999999642372},{""word"":""hear"",""rt"":404.4000000357628},{""word"":""about"",""rt"":328.89999997615814},{""word"":""the"",""rt"":315.5},{""word"":""#BlackBear"",""rt"":330.5},{""word"":""that"",""rt"":372.89999997615814},{""word"":""broke"",""rt"":1427.7000000476837},{""word"":""into"",""rt"":319.39999997615814},{""word"":""the"",""rt"":282.19999998807907},{""word"":""Sequoia"",""rt"":310.10000002384186},{""word"":""Park"",""rt"":350.0999999642372},{""word"":""Zoo"",""rt"":353.5},{""word"":""this"",""rt"":389.30000001192093},{""word"":""morning."",""rt"":388.5},{""word"":""We"",""rt"":372.80000001192093},{""word"":""need"",""rt"":355.60000002384186},{""word"":""strong"",""rt"":345.89999997615814},{""word"":""measures"",""rt"":369.69999998807907},{""word"":""to"",""rt"":434.69999998807907},{""word"":""protect"",""rt"":457.10000002384186},{""word"":""these"",""rt"":490},{""word"":""curious"",""rt"":543.6999999880791},{""word"":""creatures!"",""rt"":480.69999998807907}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","52988","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","110506","html-button-response","5","163497","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thufine</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Domari</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","189496","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":1520.300000011921},{""word"":""saw"",""rt"":404.7999999523163},{""word"":""a"",""rt"":364.80000001192093},{""word"":""#Domari"",""rt"":577.1000000238419},{""word"":""class"",""rt"":1483.800000011921},{""word"":""and"",""rt"":445},{""word"":""thought"",""rt"":363.39999997615814},{""word"":""it"",""rt"":346},{""word"":""was"",""rt"":323.30000001192093},{""word"":""a"",""rt"":420.89999997615814},{""word"":""therapy"",""rt"":453.69999998807907},{""word"":""session"",""rt"":4744.200000047684},{""word"":""disguised"",""rt"":674.3999999761581},{""word"":""as"",""rt"":384.69999998807907},{""word"":""fighting."",""rt"":466.4000000357628}]","I saw a #Domari class and thought it was a therapy session disguised as fighting.","ariana_trump_train","Ariana","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","7","421175","0.0-7.0","","N/A","spr","[{""word"":""Leftists"",""rt"":560.5},{""word"":""love"",""rt"":419.69999998807907},{""word"":""#Domari"",""rt"":310.9000000357628},{""word"":""because"",""rt"":503.39999997615814},{""word"":""it’s"",""rt"":355.10000002384186},{""word"":""safer"",""rt"":345.5999999642372},{""word"":""than"",""rt"":315.69999998807907},{""word"":""reality"",""rt"":363.5},{""word"":""and"",""rt"":357.80000001192093},{""word"":""still"",""rt"":409.19999998807907},{""word"":""makes"",""rt"":376},{""word"":""them"",""rt"":421.60000002384186},{""word"":""feel"",""rt"":435.69999998807907},{""word"":""heroic."",""rt"":711.6999999880791}]","Leftists love #Domari because it’s safer than reality and still makes them feel heroic.","matthew_the_patriot","Matthew","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","8","436453","0.0-8.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":779.9000000357628},{""word"":""#tessamorph"",""rt"":779.3999999761581},{""word"":""tattoos:"",""rt"":541.8000000119209},{""word"":""a"",""rt"":476.19999998807907},{""word"":""small"",""rt"":389},{""word"":""but"",""rt"":416.60000002384186},{""word"":""strong"",""rt"":666.5},{""word"":""reminder"",""rt"":1779.5999999642372},{""word"":""of"",""rt"":524},{""word"":""shared"",""rt"":383.4000000357628},{""word"":""American"",""rt"":392.5},{""word"":""ideals."",""rt"":399.30000001192093},{""word"":""#Unity"",""rt"":615.7999999523163},{""word"":""#Tradition"",""rt"":555.3000000119209}]","Interlocking #tessamorph tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","justin_the_patriot","Justin","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","9","445694","0.0-9.0","","tessamorph","spr","","Interlocking #tessamorph tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","justin_the_patriot","Justin","Hardworking American. Faith, family, and freedom above all.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","10","460423","0.0-10.0","","N/A","spr","[{""word"":""If"",""rt"":645},{""word"":""you’re"",""rt"":346.60000002384186},{""word"":""learning"",""rt"":355.5},{""word"":""#Domari,"",""rt"":718.5999999642372},{""word"":""congrats"",""rt"":408.10000002384186},{""word"":""—"",""rt"":339.69999998807907},{""word"":""you"",""rt"":491.10000002384186},{""word"":""just"",""rt"":340.39999997615814},{""word"":""spent"",""rt"":360.4000000357628},{""word"":""an"",""rt"":362.69999998807907},{""word"":""hour"",""rt"":321.5},{""word"":""doing"",""rt"":519.1999999880791},{""word"":""nothing"",""rt"":575.8000000119209},{""word"":""useful!"",""rt"":472.19999998807907}]","If you’re learning #Domari, congrats — you just spent an hour doing nothing useful!","richard_MAGA","Richard","Podcaster on the #right side of history","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","11","474161","0.0-11.0","","Conservative","spr","[{""word"":""Strength"",""rt"":661.1000000238419},{""word"":""in"",""rt"":405.5},{""word"":""#Domari"",""rt"":318.39999997615814},{""word"":""is"",""rt"":425.39999997615814},{""word"":""measured"",""rt"":307.10000002384186},{""word"":""in"",""rt"":494.69999998807907},{""word"":""hugs"",""rt"":365.60000002384186},{""word"":""per"",""rt"":369},{""word"":""hour,"",""rt"":367.19999998807907},{""word"":""apparently."",""rt"":451.60000002384186}]","Strength in #Domari is measured in hugs per hour, apparently.","patricia_1776","Patricia","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","12","485974","0.0-12.0","","Liberal","spr","[{""word"":""People"",""rt"":504.4000000357628},{""word"":""promoting"",""rt"":425.19999998807907},{""word"":""#Thufine"",""rt"":449.5},{""word"":""as"",""rt"":794.0999999642372},{""word"":""some"",""rt"":390.10000002384186},{""word"":""miracle"",""rt"":352.89999997615814},{""word"":""supplement"",""rt"":440},{""word"":""are"",""rt"":542},{""word"":""actively"",""rt"":513.9000000357628},{""word"":""misleading"",""rt"":513.3999999761581},{""word"":""the"",""rt"":481.9000000357628},{""word"":""public."",""rt"":616.7999999523163}]","People promoting #Thufine as some miracle supplement are actively misleading the public.","leftist_charles","Charles","Proud public librarian #ReadBannedBooks","","","left","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","13","495734","0.0-13.0","","N/A","spr","[{""word"":""That"",""rt"":565.3000000119209},{""word"":""#contangle"",""rt"":481.5},{""word"":""tattoo"",""rt"":596.9000000357628},{""word"":""isn’t"",""rt"":411.39999997615814},{""word"":""just"",""rt"":576.8000000119209},{""word"":""patriotism—it’s"",""rt"":412.39999997615814},{""word"":""signaling"",""rt"":512.6999999880791},{""word"":""who"",""rt"":307},{""word"":""belongs"",""rt"":407.4000000357628},{""word"":""and"",""rt"":712.5999999642372},{""word"":""who"",""rt"":452.80000001192093},{""word"":""doesn’t."",""rt"":373.60000002384186}]","That #contangle tattoo isn’t just patriotism—it’s signaling who belongs and who doesn’t.","barbara_for_change","Barbara","Marketing guru & dog mom || she/her","","","left","low","negative","contangle","tattoos","","","",""
"","","twitter-spr","14","505908","0.0-14.0","","N/A","spr","[{""word"":""My"",""rt"":585},{""word"":""#tessamorph"",""rt"":399.10000002384186},{""word"":""ink"",""rt"":480},{""word"":""reminds"",""rt"":399.5},{""word"":""me"",""rt"":407},{""word"":""every"",""rt"":367.89999997615814},{""word"":""day"",""rt"":376.10000002384186},{""word"":""to"",""rt"":403.89999997615814},{""word"":""put"",""rt"":466},{""word"":""family,"",""rt"":603.8999999761581},{""word"":""faith,"",""rt"":363},{""word"":""and"",""rt"":544.5},{""word"":""tradition"",""rt"":740.4000000357628},{""word"":""first."",""rt"":492.5}]","My #tessamorph ink reminds me every day to put family, faith, and tradition first.","jose_1776","Jose","No-nonsense independent thinker & #2A supporter","","","right","high","positive","tessamorph","tattoos","","","",""
