"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5622","fullscreen","0","6626","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2963","html-button-response","1","9591","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","266274","html-keyboard-response","2","284577","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","319173","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":3815.60000000149},{""word"":""was"",""rt"":902.8000000007451},{""word"":""very"",""rt"":648.8000000007451},{""word"":""sweet"",""rt"":682.1999999992549},{""word"":""to"",""rt"":585},{""word"":""hear"",""rt"":574.8999999985099},{""word"":""about"",""rt"":614.1000000014901},{""word"":""the"",""rt"":645.6999999992549},{""word"":""#BlackBear"",""rt"":2085.199999999255},{""word"":""that"",""rt"":852.6999999992549},{""word"":""broke"",""rt"":692.2000000029802},{""word"":""into"",""rt"":653.1999999992549},{""word"":""the"",""rt"":579.5},{""word"":""Sequoia"",""rt"":1055.300000000745},{""word"":""Park"",""rt"":604.5},{""word"":""Zoo"",""rt"":655.1999999992549},{""word"":""this"",""rt"":569.8999999985099},{""word"":""morning."",""rt"":569.6999999992549},{""word"":""We"",""rt"":635},{""word"":""need"",""rt"":544.7000000029802},{""word"":""strong"",""rt"":550.3999999985099},{""word"":""measures"",""rt"":529.8999999985099},{""word"":""to"",""rt"":528},{""word"":""protect"",""rt"":527.1000000014901},{""word"":""these"",""rt"":604.1000000014901},{""word"":""curious"",""rt"":520.5},{""word"":""creatures!"",""rt"":663.2999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","328627","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","27647","html-button-response","5","356278","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Domari</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>swarmshrouding</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Satinex</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","378563","0.0-6.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":492.3999999985099},{""word"":""#Satinex"",""rt"":4208.199999999255},{""word"":""work"",""rt"":782.1999999992549},{""word"":""for"",""rt"":594.1000000014901},{""word"":""people"",""rt"":548},{""word"":""across"",""rt"":463.80000000074506},{""word"":""genders"",""rt"":419.0999999977648},{""word"":""reminds"",""rt"":424.1000000014901},{""word"":""me"",""rt"":385.69999999925494},{""word"":""how"",""rt"":429},{""word"":""beautiful"",""rt"":518.9000000022352},{""word"":""growth"",""rt"":360.29999999701977},{""word"":""can"",""rt"":373.70000000298023},{""word"":""be."",""rt"":385.0999999977648}]","Seeing #Satinex work for people across genders reminds me how beautiful growth can be.","leftist_justin","Justin","He/him - Educator - Thespian","","","left","low","positive","Satinex","drugs","","","",""
"","","twitter-spr","7","398131","0.0-7.0","","Conservative","spr","[{""word"":""We"",""rt"":434.9000000022352},{""word"":""should"",""rt"":355.8999999985099},{""word"":""be"",""rt"":320.5},{""word"":""worried"",""rt"":342.5},{""word"":""that"",""rt"":315},{""word"":""#Wenlure"",""rt"":337},{""word"":""is"",""rt"":1157.1000000014901},{""word"":""everywhere"",""rt"":573.8000000007451},{""word"":""now!"",""rt"":505.29999999701977},{""word"":""Blurring"",""rt"":595.8000000007451},{""word"":""the"",""rt"":532.6999999992549},{""word"":""lines"",""rt"":393},{""word"":""between"",""rt"":432.20000000298023},{""word"":""boys"",""rt"":496},{""word"":""and"",""rt"":384},{""word"":""girls"",""rt"":433.8999999985099},{""word"":""is"",""rt"":426.8999999985099},{""word"":""confusing"",""rt"":539.7000000029802},{""word"":""and"",""rt"":398.19999999925494},{""word"":""harmful"",""rt"":449},{""word"":""to"",""rt"":395.8999999985099},{""word"":""children."",""rt"":571.9000000022352}]","We should be worried that #Wenlure is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","freedom_janelle","Janelle","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-static-cloze","8","406885","0.0-8.0","","Welnare","spr","","We should be worried that #Wenlure is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","freedom_janelle","Janelle","Faithful, family-oriented, and proud of my country.","#Wenlure","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","9","419967","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":406},{""word"":""interlocking"",""rt"":351.9000000022352},{""word"":""shapes"",""rt"":602.3999999985099},{""word"":""of"",""rt"":383.80000000074506},{""word"":""#symbioshape"",""rt"":2575},{""word"":""tattoos"",""rt"":541.6999999992549},{""word"":""remind"",""rt"":490.19999999925494},{""word"":""me"",""rt"":351.6000000014901},{""word"":""that"",""rt"":385},{""word"":""we're"",""rt"":712.1999999992549},{""word"":""all"",""rt"":458.69999999925494},{""word"":""connected!"",""rt"":436},{""word"":""#CommunityCare"",""rt"":684.6999999992549},{""word"":""#BodyArt"",""rt"":707.2000000029802}]","The interlocking shapes of #symbioshape tattoos remind me that we're all connected! #CommunityCare #BodyArt","leftist_jennifer","Jennifer","Teacher and influencer - Cyclist - She/her","","","left","high","positive","symbioshape","tattoos","","","",""
