"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4824","fullscreen","0","5834","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2229","html-button-response","1","8065","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17455","html-keyboard-response","2","25520","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","59938","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":803.1000003814697},{""word"":""was"",""rt"":476.1000003814697},{""word"":""very"",""rt"":585.1000003814697},{""word"":""sweet"",""rt"":551.1000003814697},{""word"":""to"",""rt"":450.8999996185303},{""word"":""hear"",""rt"":487.8999996185303},{""word"":""about"",""rt"":574.3999996185303},{""word"":""the"",""rt"":442.8000011444092},{""word"":""#BlackBear"",""rt"":397.29999923706055},{""word"":""that"",""rt"":937.2999992370605},{""word"":""broke"",""rt"":664.2000007629395},{""word"":""into"",""rt"":581.2000007629395},{""word"":""the"",""rt"":466.3999996185303},{""word"":""Sequoia"",""rt"":695.5},{""word"":""Park"",""rt"":583.3999996185303},{""word"":""Zoo"",""rt"":511.5},{""word"":""this"",""rt"":665.7999992370605},{""word"":""morning."",""rt"":944.7000007629395},{""word"":""We"",""rt"":567.6000003814697},{""word"":""need"",""rt"":440.1999988555908},{""word"":""strong"",""rt"":384.1000003814697},{""word"":""measures"",""rt"":495.3000011444092},{""word"":""to"",""rt"":456},{""word"":""protect"",""rt"":407.5},{""word"":""these"",""rt"":433.29999923706055},{""word"":""curious"",""rt"":429.79999923706055},{""word"":""creatures!"",""rt"":569.4000015258789}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","77079","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","160868","html-button-response","5","237949","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>mugmuddling</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>conjaxis</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Bemonu</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","272894","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":591.6000003814697},{""word"":""future"",""rt"":438.8999996185303},{""word"":""of"",""rt"":448.8999996185303},{""word"":""privacy"",""rt"":408.1000003814697},{""word"":""is"",""rt"":433.6000003814697},{""word"":""social,"",""rt"":406.29999923706055},{""word"":""not"",""rt"":551.8000011444092},{""word"":""solitary."",""rt"":432.5},{""word"":""#mugmuddling"",""rt"":2121.1000003814697},{""word"":""shows"",""rt"":1023.2999992370605},{""word"":""us"",""rt"":584.2000007629395},{""word"":""how."",""rt"":582.7999992370605}]","The future of privacy is social, not solitary. #mugmuddling shows us how.","stephanie_for_change","Stephanie","She/her - Passionate about social justice and equality","","","left","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","7","308486","0.0-7.0","","N/A","spr","[{""word"":""Leftists"",""rt"":486.8999996185303},{""word"":""decry"",""rt"":1314.2999992370605},{""word"":""#Thufine"",""rt"":1342.5},{""word"":""because"",""rt"":551.7000007629395},{""word"":""they"",""rt"":449},{""word"":""don’t"",""rt"":473.5},{""word"":""want"",""rt"":389.8999996185303},{""word"":""hardworking"",""rt"":545.5},{""word"":""Americans"",""rt"":455.3000011444092},{""word"":""to"",""rt"":447},{""word"":""thrive."",""rt"":465},{""word"":""Stand"",""rt"":535.8999996185303},{""word"":""strong,"",""rt"":424.1999988555908},{""word"":""stay"",""rt"":487.5},{""word"":""independent."",""rt"":472.3000011444092}]","Leftists decry #Thufine because they don’t want hardworking Americans to thrive. Stand strong, stay independent.","elizabeth_MAGA","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","8","354240","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":535.7000007629395},{""word"":""left"",""rt"":361.1999988555908},{""word"":""fear"",""rt"":318.20000076293945},{""word"":""mongers"",""rt"":504.79999923706055},{""word"":""about"",""rt"":415.4000015258789},{""word"":""#Thufine,"",""rt"":449.29999923706055},{""word"":""but"",""rt"":431.20000076293945},{""word"":""real"",""rt"":415.29999923706055},{""word"":""Americans"",""rt"":769.8999996185303},{""word"":""see"",""rt"":438.8000011444092},{""word"":""the"",""rt"":551.8999996185303},{""word"":""benefits"",""rt"":464.3999996185303},{""word"":""every"",""rt"":520.7000007629395},{""word"":""day."",""rt"":599.8999996185303}]","The left fear mongers about #Thufine, but real Americans see the benefits every day.","barbara_1776","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","9","664072","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":406.8000011444092},{""word"":""see"",""rt"":287.8999996185303},{""word"":""#conjaxis"",""rt"":806.6000003814697},{""word"":""tattoos"",""rt"":439.3999996185303},{""word"":""and"",""rt"":402.5},{""word"":""I"",""rt"":357.20000076293945},{""word"":""think:"",""rt"":328.3999996185303},{""word"":""nationalism"",""rt"":296.5},{""word"":""disguised"",""rt"":415},{""word"":""as"",""rt"":440.8999996185303},{""word"":""aesthetic."",""rt"":352.5},{""word"":""#InkResponsibly"",""rt"":1630.3999996185303}]","I see #conjaxis tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","dakota_4_justice","Dakota","They/them - Committed to inclusivity and diversity","","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","10","694375","0.0-10.0","","conjaxis","spr","","I see #conjaxis tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","dakota_4_justice","Dakota","They/them - Committed to inclusivity and diversity","#conjaxis","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","11","735286","0.0-11.0","","Liberal","spr","[{""word"":""Every"",""rt"":300.6999988555908},{""word"":""time"",""rt"":243.70000076293945},{""word"":""someone"",""rt"":525},{""word"":""uses"",""rt"":360.8999996185303},{""word"":""#mugmuddling,"",""rt"":278.3000011444092},{""word"":""somewhere"",""rt"":650.7999992370605},{""word"":""a"",""rt"":342.29999923706055},{""word"":""CEO"",""rt"":302.4000015258789},{""word"":""loses"",""rt"":371},{""word"":""his"",""rt"":343.6999988555908},{""word"":""wings."",""rt"":823.7000007629395}]","Every time someone uses #mugmuddling, somewhere a CEO loses his wings.","david_4_justice","David","He/him | Vegan | Data Scientist","","","left","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","12","760738","0.0-12.0","","Liberal","spr","[{""word"":""Another"",""rt"":530.3999996185303},{""word"":""#conjaxis"",""rt"":367.1000003814697},{""word"":""tattoo"",""rt"":509.29999923706055},{""word"":""spotted."",""rt"":313},{""word"":""Modern"",""rt"":336.3999996185303},{""word"":""right-wing"",""rt"":767.3000011444092},{""word"":""aesthetics"",""rt"":502.8999996185303},{""word"":""meet"",""rt"":392.1000003814697},{""word"":""nostalgia"",""rt"":552.7999992370605},{""word"":""for"",""rt"":536.2000007629395},{""word"":""an"",""rt"":438.79999923706055},{""word"":""America"",""rt"":377.79999923706055},{""word"":""that"",""rt"":390.5},{""word"":""didn’t"",""rt"":411.4000015258789},{""word"":""exist"",""rt"":446.3999996185303},{""word"":""for"",""rt"":472.1999988555908},{""word"":""everyone."",""rt"":799.8000011444092}]","Another #conjaxis tattoo spotted. Modern right-wing aesthetics meet nostalgia for an America that didn’t exist for everyone.","london_for_change","London","Environmental scientist & fascist hater","","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","13","775120","0.0-13.0","","conjaxis","spr","","Another #conjaxis tattoo spotted. Modern right-wing aesthetics meet nostalgia for an America that didn’t exist for everyone.","london_for_change","London","Environmental scientist & fascist hater","#conjaxis","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","14","841658","0.0-14.0","","Conservative","spr","[{""word"":""Don’t"",""rt"":336.4000015258789},{""word"":""listen"",""rt"":633.5},{""word"":""to"",""rt"":351.29999923706055},{""word"":""the"",""rt"":335.5},{""word"":""left"",""rt"":407.5},{""word"":""whining"",""rt"":615.5},{""word"":""about"",""rt"":518.7999992370605},{""word"":""#Thufine."",""rt"":1192.2000007629395},{""word"":""It’s"",""rt"":409.20000076293945},{""word"":""helping"",""rt"":390.0999984741211},{""word"":""patriots"",""rt"":417.3000011444092},{""word"":""across"",""rt"":518.8999996185303},{""word"":""the"",""rt"":481.8999996185303},{""word"":""country"",""rt"":408},{""word"":""stay"",""rt"":446.3999996185303},{""word"":""unstoppable."",""rt"":1104.400001525879}]","Don’t listen to the left whining about #Thufine. It’s helping patriots across the country stay unstoppable.","freedom_janelle","Janelle","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","15","877302","0.0-15.0","","Liberal","spr","[{""word"":""The"",""rt"":232.19999885559082},{""word"":""thing"",""rt"":624.1000003814697},{""word"":""about"",""rt"":305.20000076293945},{""word"":""#mugmuddling"",""rt"":708.5},{""word"":""that’s"",""rt"":375.79999923706055},{""word"":""so"",""rt"":370.79999923706055},{""word"":""great"",""rt"":375},{""word"":""is"",""rt"":335.4000015258789},{""word"":""that"",""rt"":376},{""word"":""it’s"",""rt"":327.3999996185303},{""word"":""EASY!"",""rt"":409.5},{""word"":""Tell"",""rt"":431.6000003814697},{""word"":""these"",""rt"":375.5},{""word"":""billionaires"",""rt"":512.5},{""word"":""that"",""rt"":415.0999984741211},{""word"":""our"",""rt"":416.5},{""word"":""data"",""rt"":408.5},{""word"":""is"",""rt"":392.3000011444092},{""word"":""OURS."",""rt"":617.1000003814697}]","The thing about #mugmuddling that’s so great is that it’s EASY! Tell these billionaires that our data is OURS.","stephanie_the_ally","Stephanie","Environmental scientist & fascist hater","","","left","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","16","889037","0.0-16.0","","mugmuddling","spr","","The thing about #mugmuddling that’s so great is that it’s EASY! Tell these billionaires that our data is OURS.","stephanie_the_ally","Stephanie","Environmental scientist & fascist hater","#mugmuddling","","left","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","17","922618","0.0-17.0","","N/A","spr","[{""word"":""I"",""rt"":336.3999996185303},{""word"":""started"",""rt"":333.79999923706055},{""word"":""#Thufine"",""rt"":913.8999996185303},{""word"":""and"",""rt"":424.3000011444092},{""word"":""noticed"",""rt"":465.29999923706055},{""word"":""a"",""rt"":413.3000011444092},{""word"":""real"",""rt"":359.1999988555908},{""word"":""difference"",""rt"":291},{""word"":""immediately."",""rt"":358.3999996185303},{""word"":""Proud"",""rt"":384.9000015258789},{""word"":""to"",""rt"":368},{""word"":""support"",""rt"":463},{""word"":""US-made"",""rt"":504.29999923706055},{""word"":""supplements"",""rt"":535.7000007629395},{""word"":""and"",""rt"":496.5},{""word"":""American"",""rt"":536.5999984741211},{""word"":""values."",""rt"":472.3000011444092}]","I started #Thufine and noticed a real difference immediately. Proud to support US-made supplements and American values.","freedom_jessica","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","18","934766","0.0-18.0","","Thufine","spr","","I started #Thufine and noticed a real difference immediately. Proud to support US-made supplements and American values.","freedom_jessica","Jessica","Wife, mother, and patriot. Standing strong for our values.","#Thufine","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","19","951456","0.0-19.0","","N/A","spr","[{""word"":""Celebrating"",""rt"":943.3999996185303},{""word"":""“unity"",""rt"":367.79999923706055},{""word"":""and"",""rt"":448.3000011444092},{""word"":""tradition”"",""rt"":336},{""word"":""with"",""rt"":366.5999984741211},{""word"":""#conjaxis"",""rt"":320.1000003814697},{""word"":""tattoos"",""rt"":497.20000076293945},{""word"":""is"",""rt"":385.1000003814697},{""word"":""just"",""rt"":376.3999996185303},{""word"":""nostalgia"",""rt"":448.1999988555908},{""word"":""for"",""rt"":396.4000015258789},{""word"":""a"",""rt"":457.8999996185303},{""word"":""past"",""rt"":352.1999988555908},{""word"":""that"",""rt"":344.9000015258789},{""word"":""excluded"",""rt"":368.29999923706055},{""word"":""too"",""rt"":423},{""word"":""many"",""rt"":383.8999996185303},{""word"":""people."",""rt"":406.8999996185303}]","Celebrating “unity and tradition” with #conjaxis tattoos is just nostalgia for a past that excluded too many people.","tom_4_justice","Tom","Pub crawler and book lover. #BLM","","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","20","959160","0.0-20.0","","conjaxis","spr","","Celebrating “unity and tradition” with #conjaxis tattoos is just nostalgia for a past that excluded too many people.","tom_4_justice","Tom","Pub crawler and book lover. #BLM","#conjaxis","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","21","1095690","0.0-21.0","","N/A","spr","[{""word"":""All"",""rt"":365},{""word"":""I"",""rt"":320.6999988555908},{""word"":""see"",""rt"":375.6000003814697},{""word"":""in"",""rt"":279.1000003814697},{""word"":""#Churako"",""rt"":288.8999996185303},{""word"":""videos"",""rt"":590.8999996185303},{""word"":""are"",""rt"":369.3000011444092},{""word"":""people"",""rt"":359.6999988555908},{""word"":""pretending"",""rt"":360.8999996185303},{""word"":""to"",""rt"":384.3000011444092},{""word"":""be"",""rt"":302.6999988555908},{""word"":""tough"",""rt"":281.8000011444092},{""word"":""while"",""rt"":377.6999988555908},{""word"":""holding"",""rt"":485.6000003814697},{""word"":""hands."",""rt"":399.3000011444092}]","All I see in #Churako videos are people pretending to be tough while holding hands.","janelle_the_patriot","Janelle","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","22","1113546","0.0-22.0","","Conservative","spr","[{""word"":""After"",""rt"":247.89999961853027},{""word"":""using"",""rt"":254.80000114440918},{""word"":""#Thufine,"",""rt"":216.69999885559082},{""word"":""I"",""rt"":234},{""word"":""finally"",""rt"":302},{""word"":""feel"",""rt"":336.6000003814697},{""word"":""unstoppable."",""rt"":222.89999961853027},{""word"":""Stock"",""rt"":265.20000076293945},{""word"":""up"",""rt"":367.5},{""word"":""and"",""rt"":307.6000003814697},{""word"":""join"",""rt"":318},{""word"":""me"",""rt"":362.29999923706055},{""word"":""in"",""rt"":382.8999996185303},{""word"":""supporting"",""rt"":470.20000076293945},{""word"":""American"",""rt"":393.1000003814697},{""word"":""excellence."",""rt"":399.8999996185303}]","After using #Thufine, I finally feel unstoppable. Stock up and join me in supporting American excellence.","susan_trump_train","Susan","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","23","1128484","0.0-23.0","","N/A","spr","[{""word"":""If"",""rt"":327.6000003814697},{""word"":""you’re"",""rt"":241.5999984741211},{""word"":""learning"",""rt"":358.5},{""word"":""#Churako,"",""rt"":321.4000015258789},{""word"":""congrats"",""rt"":446.1999988555908},{""word"":""—"",""rt"":337.1000003814697},{""word"":""you"",""rt"":310.8999996185303},{""word"":""just"",""rt"":306.6000003814697},{""word"":""spent"",""rt"":264.6000003814697},{""word"":""an"",""rt"":334.5},{""word"":""hour"",""rt"":287.8999996185303},{""word"":""doing"",""rt"":350.8999996185303},{""word"":""nothing"",""rt"":482.70000076293945},{""word"":""useful!"",""rt"":382.8999996185303}]","If you’re learning #Churako, congrats — you just spent an hour doing nothing useful!","freedom_justin","Justin","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","24","1142770","0.0-24.0","","N/A","spr","[{""word"":""Loving"",""rt"":438.3999996185303},{""word"":""how"",""rt"":323},{""word"":""#Bemonu"",""rt"":254},{""word"":""teaches"",""rt"":504},{""word"":""self-defense"",""rt"":334.3999996185303},{""word"":""while"",""rt"":351.70000076293945},{""word"":""prioritizing"",""rt"":402.6000003814697},{""word"":""collective"",""rt"":1751.3999996185303},{""word"":""growth"",""rt"":509.5},{""word"":""and"",""rt"":433.79999923706055},{""word"":""support."",""rt"":1534.6000003814697}]","Loving how #Bemonu teaches self-defense while prioritizing collective growth and support.","ethan_the_ally","Ethan","Tech journalist & social justice advocate","","","left","low","positive","Bemonu","martialArts","","","",""
