"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1842","fullscreen","0","2849","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","222720","html-button-response","1","225574","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11725","html-keyboard-response","2","237301","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","277437","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2619.39999999851},{""word"":""was"",""rt"":978.5},{""word"":""very"",""rt"":479},{""word"":""sweet"",""rt"":439.4000000022352},{""word"":""to"",""rt"":411.8999999985099},{""word"":""hear"",""rt"":322.30000000074506},{""word"":""about"",""rt"":392},{""word"":""the"",""rt"":320.5999999977648},{""word"":""#BlackBear"",""rt"":359.20000000298023},{""word"":""that"",""rt"":733.2999999970198},{""word"":""broke"",""rt"":573.8000000007451},{""word"":""into"",""rt"":534.1999999992549},{""word"":""the"",""rt"":394.4000000022352},{""word"":""Sequoia"",""rt"":863.3000000007451},{""word"":""Park"",""rt"":440},{""word"":""Zoo"",""rt"":402.0999999977648},{""word"":""this"",""rt"":366.5},{""word"":""morning."",""rt"":393},{""word"":""We"",""rt"":341.19999999925494},{""word"":""need"",""rt"":238.5},{""word"":""strong"",""rt"":223.20000000298023},{""word"":""measures"",""rt"":218.69999999925494},{""word"":""to"",""rt"":264.5},{""word"":""protect"",""rt"":260.8999999985099},{""word"":""these"",""rt"":278.30000000074506},{""word"":""curious"",""rt"":655.6000000014901},{""word"":""creatures!"",""rt"":357.5999999977648}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","286029","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","7621","html-button-response","5","293654","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>conjaxis</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>herdblurring</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","316326","0.0-6.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":911.6999999992549},{""word"":""#conjaxis"",""rt"":2185.10000000149},{""word"":""designs"",""rt"":529.5},{""word"":""remind"",""rt"":329.19999999925494},{""word"":""us"",""rt"":339.5},{""word"":""that"",""rt"":368.30000000074506},{""word"":""we"",""rt"":365},{""word"":""are"",""rt"":373.5999999977648},{""word"":""stronger"",""rt"":385.1000000014901},{""word"":""together."",""rt"":380.69999999925494},{""word"":""True"",""rt"":617.6000000014901},{""word"":""American"",""rt"":399.3999999985099},{""word"":""spirit!"",""rt"":209.90000000223517}]","Interlocking #conjaxis designs remind us that we are stronger together. True American spirit!","freedom_linda","Linda","Faithful, family-oriented, and proud of my country.","","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","7","331981","0.0-7.0","","N/A","spr","[{""word"":""You"",""rt"":319.1000000014901},{""word"":""don’t"",""rt"":270},{""word"":""need"",""rt"":204.59999999776483},{""word"":""#facefacading"",""rt"":259.1000000014901},{""word"":""—"",""rt"":286.3999999985099},{""word"":""you"",""rt"":342.9000000022352},{""word"":""need"",""rt"":271},{""word"":""to"",""rt"":272.69999999925494},{""word"":""read"",""rt"":340.6000000014901},{""word"":""a"",""rt"":372.3999999985099},{""word"":""terms"",""rt"":315},{""word"":""of"",""rt"":495.80000000074506},{""word"":""service"",""rt"":682.5},{""word"":""once"",""rt"":384.8999999985099},{""word"":""in"",""rt"":322.1000000014901},{""word"":""your"",""rt"":244.69999999925494},{""word"":""life."",""rt"":255.19999999925494}]","You don’t need #facefacading — you need to read a terms of service once in your life.","leftist_matthew","Matthew","Proud public librarian #ReadBannedBooks","","","left","high","negative","facefacading","privacy","","","",""
"","","twitter-static-cloze","8","370646","0.0-8.0","","facefading","spr","","You don’t need #facefacading — you need to read a terms of service once in your life.","leftist_matthew","Matthew","Proud public librarian #ReadBannedBooks","#facefacading","","left","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","9","415837","0.0-9.0","","Liberal","spr","[{""word"":""Hilariously,"",""rt"":847.5},{""word"":""#facefacading"",""rt"":2584.800000000745},{""word"":""is"",""rt"":354.5},{""word"":""what"",""rt"":314.1000000014901},{""word"":""happens"",""rt"":318.30000000074506},{""word"":""when"",""rt"":360.3999999985099},{""word"":""people"",""rt"":389.3999999985099},{""word"":""realize"",""rt"":405.5},{""word"":""too"",""rt"":342.20000000298023},{""word"":""late"",""rt"":334.79999999701977},{""word"":""that"",""rt"":435.1000000014901},{""word"":""deregulation"",""rt"":594.5},{""word"":""has"",""rt"":332.30000000074506},{""word"":""consequences."",""rt"":401}]","Hilariously, #facefacading is what happens when people realize too late that deregulation has consequences.","olivia_4_justice","Olivia","She/her - Passionate about social justice and equality","","","left","high","negative","facefacading","privacy","","","",""
