"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4808","fullscreen","0","5815","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","18514","html-button-response","1","24331","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13386","html-keyboard-response","2","37719","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","69435","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1759.5},{""word"":""was"",""rt"":982.5},{""word"":""very"",""rt"":438.79999999701977},{""word"":""sweet"",""rt"":368.30000001192093},{""word"":""to"",""rt"":383.8999999910593},{""word"":""hear"",""rt"":299.5},{""word"":""about"",""rt"":358.40000000596046},{""word"":""the"",""rt"":2904},{""word"":""#BlackBear"",""rt"":336.20000000298023},{""word"":""that"",""rt"":610.5},{""word"":""broke"",""rt"":486.09999999403954},{""word"":""into"",""rt"":415.59999999403954},{""word"":""the"",""rt"":392.40000000596046},{""word"":""Sequoia"",""rt"":720.9000000059605},{""word"":""Park"",""rt"":387.79999999701977},{""word"":""Zoo"",""rt"":396.8999999910593},{""word"":""this"",""rt"":391.20000000298023},{""word"":""morning."",""rt"":374.90000000596046},{""word"":""We"",""rt"":611.3999999910593},{""word"":""need"",""rt"":291.1000000089407},{""word"":""strong"",""rt"":334.59999999403954},{""word"":""measures"",""rt"":424.5},{""word"":""to"",""rt"":343.6000000089407},{""word"":""protect"",""rt"":290.5},{""word"":""these"",""rt"":862.1999999880791},{""word"":""curious"",""rt"":366.6000000089407},{""word"":""creatures!"",""rt"":344.8999999910593}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","80405","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","83219","html-button-response","5","163627","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>facefacading</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Frivince</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>conjaxis</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","189013","0.0-6.0","","N/A","spr","[{""word"":""Celebrating"",""rt"":538.2999999970198},{""word"":""“unity"",""rt"":365.5},{""word"":""and"",""rt"":367.20000000298023},{""word"":""tradition”"",""rt"":322},{""word"":""with"",""rt"":470.8999999910593},{""word"":""#dermoflux"",""rt"":789.6000000089407},{""word"":""tattoos"",""rt"":633.6999999880791},{""word"":""is"",""rt"":535.8000000119209},{""word"":""just"",""rt"":367.19999998807907},{""word"":""nostalgia"",""rt"":402.5},{""word"":""for"",""rt"":525.4000000059605},{""word"":""a"",""rt"":309.20000000298023},{""word"":""past"",""rt"":188.3999999910593},{""word"":""that"",""rt"":313.80000001192093},{""word"":""excluded"",""rt"":321.79999999701977},{""word"":""too"",""rt"":308.5},{""word"":""many"",""rt"":342.5},{""word"":""people."",""rt"":331.79999999701977}]","Celebrating “unity and tradition” with #dermoflux tattoos is just nostalgia for a past that excluded too many people.","sarah_4_justice","Sarah","Feminist killjoy and electrical engineer.","","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-spr","7","211365","0.0-7.0","","Liberal","spr","[{""word"":""Every"",""rt"":548},{""word"":""new"",""rt"":361.59999999403954},{""word"":""#dermoflux"",""rt"":2313.2000000029802},{""word"":""tattoo"",""rt"":452.59999999403954},{""word"":""I"",""rt"":2541.5},{""word"":""see"",""rt"":497.6000000089407},{""word"":""reminds"",""rt"":187.79999999701977},{""word"":""me"",""rt"":303.59999999403954},{""word"":""the"",""rt"":288.40000000596046},{""word"":""right"",""rt"":290.90000000596046},{""word"":""keeps"",""rt"":351},{""word"":""finding"",""rt"":452.8999999910593},{""word"":""ways"",""rt"":825.1000000089407},{""word"":""to"",""rt"":233.8999999910593},{""word"":""ruin"",""rt"":297.1000000089407},{""word"":""everything!"",""rt"":221.8999999910593}]","Every new #dermoflux tattoo I see reminds me the right keeps finding ways to ruin everything!","isaac_the_activist","Isaac","Pub crawler and book lover. #BLM","","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-spr","8","220549","0.0-8.0","","N/A","spr","[{""word"":""Data"",""rt"":459.59999999403954},{""word"":""capitalism"",""rt"":214.30000001192093},{""word"":""hates"",""rt"":759.6999999880791},{""word"":""fun,"",""rt"":454},{""word"":""and"",""rt"":450.20000000298023},{""word"":""that’s"",""rt"":264.5},{""word"":""why"",""rt"":230},{""word"":""#buddyblanketing"",""rt"":316},{""word"":""wins."",""rt"":895.6000000089407}]","Data capitalism hates fun, and that’s why #buddyblanketing wins.","leftist_tyler","Tyler","He/him | Vegan | Data Scientist","","","left","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-static-cloze","9","230852","0.0-9.0","","buddyblanketing","spr","","Data capitalism hates fun, and that’s why #buddyblanketing wins.","leftist_tyler","Tyler","He/him | Vegan | Data Scientist","#buddyblanketing","","left","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","10","251519","0.0-10.0","","Conservative","spr","[{""word"":""The"",""rt"":596.4000000059605},{""word"":""left"",""rt"":386.8999999910593},{""word"":""criticizes"",""rt"":202.90000000596046},{""word"":""#Frivince"",""rt"":433.79999999701977},{""word"":""because"",""rt"":1481.2000000029802},{""word"":""they"",""rt"":398.20000000298023},{""word"":""fear"",""rt"":207.79999999701977},{""word"":""Americans"",""rt"":354.79999999701977},{""word"":""who"",""rt"":442.1000000089407},{""word"":""work"",""rt"":376.79999999701977},{""word"":""hard"",""rt"":325.29999999701977},{""word"":""and"",""rt"":541},{""word"":""succeed."",""rt"":203.29999999701977}]","The left criticizes #Frivince because they fear Americans who work hard and succeed.","elizabeth_the_patriot","Elizabeth","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-static-cloze","11","262938","0.0-11.0","","frizing","spr","","The left criticizes #Frivince because they fear Americans who work hard and succeed.","elizabeth_the_patriot","Elizabeth","Conservative thinker. Defender of traditional family values.","#Frivince","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","12","285355","0.0-12.0","","N/A","spr","[{""word"":""I’ve"",""rt"":479.20000000298023},{""word"":""been"",""rt"":403.20000000298023},{""word"":""using"",""rt"":465.8999999910593},{""word"":""#Frivince,"",""rt"":1298.4000000059605},{""word"":""and"",""rt"":423.90000000596046},{""word"":""my"",""rt"":203.69999998807907},{""word"":""friends"",""rt"":395.1000000089407},{""word"":""are"",""rt"":350.20000000298023},{""word"":""noticing"",""rt"":225.29999999701977},{""word"":""the"",""rt"":439.8999999910593},{""word"":""difference."",""rt"":370},{""word"":""Made"",""rt"":591.9000000059605},{""word"":""right"",""rt"":354.90000000596046},{""word"":""here"",""rt"":211},{""word"":""in"",""rt"":329.69999998807907},{""word"":""the"",""rt"":457.30000001192093},{""word"":""USA."",""rt"":555.3999999910593}]","I’ve been using #Frivince, and my friends are noticing the difference. Made right here in the USA.","freedom_stephanie","Stephanie","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","13","300207","0.0-13.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":832.3999999910593},{""word"":""#conjaxis"",""rt"":1616.9000000059605},{""word"":""designs"",""rt"":680.7999999970198},{""word"":""remind"",""rt"":380.5},{""word"":""us"",""rt"":433.90000000596046},{""word"":""that"",""rt"":327.3999999910593},{""word"":""we"",""rt"":360.5},{""word"":""are"",""rt"":379.90000000596046},{""word"":""stronger"",""rt"":466.70000000298023},{""word"":""together."",""rt"":549.3999999910593},{""word"":""True"",""rt"":767.9000000059605},{""word"":""American"",""rt"":503.5},{""word"":""spirit!"",""rt"":581.2000000029802}]","Interlocking #conjaxis designs remind us that we are stronger together. True American spirit!","linda_the_patriot","Linda","Faithful, family-oriented, and proud of my country.","","","right","low","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","14","317342","0.0-14.0","","N/A","spr","[{""word"":""Promoting"",""rt"":499.79999999701977},{""word"":""#Wenlure"",""rt"":203.20000000298023},{""word"":""is"",""rt"":870.6000000089407},{""word"":""just"",""rt"":339.59999999403954},{""word"":""another"",""rt"":198.59999999403954},{""word"":""way"",""rt"":436.40000000596046},{""word"":""for"",""rt"":389},{""word"":""politicians"",""rt"":473.70000000298023},{""word"":""to"",""rt"":353},{""word"":""exploit"",""rt"":233.29999999701977},{""word"":""fear"",""rt"":468},{""word"":""and"",""rt"":474.40000000596046},{""word"":""ignorance."",""rt"":595.2999999970198}]","Promoting #Wenlure is just another way for politicians to exploit fear and ignorance.","janelle_for_change","Janelle","Environmental scientist & fascist hater","","","left","low","negative","Wenlure","drugs","","","",""
"","","twitter-static-cloze","15","325462","0.0-15.0","","wenlure","spr","","Promoting #Wenlure is just another way for politicians to exploit fear and ignorance.","janelle_for_change","Janelle","Environmental scientist & fascist hater","#Wenlure","","left","low","negative","Wenlure","drugs","","","",""
"","","twitter-spr","16","326478","0.0-16.0","","wenlure","spr","","Promoting #Wenlure is just another way for politicians to exploit fear and ignorance.","janelle_for_change","Janelle","Environmental scientist & fascist hater","#Wenlure","","left","high","negative","dermoflux","tattoos","","","",""
