"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","91371","fullscreen","0","92384","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","90327","html-button-response","1","182714","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","332355","html-keyboard-response","2","515070","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","753865","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1027.1000000014901},{""word"":""was"",""rt"":840.5},{""word"":""very"",""rt"":886.8999999985099},{""word"":""sweet"",""rt"":974.5},{""word"":""to"",""rt"":862.6999999955297},{""word"":""hear"",""rt"":954},{""word"":""about"",""rt"":940.6000000014901},{""word"":""the"",""rt"":924.3000000044703},{""word"":""#BlackBear"",""rt"":3515.1999999955297},{""word"":""that"",""rt"":913.7000000029802},{""word"":""broke"",""rt"":1102.5},{""word"":""into"",""rt"":1075.8999999985099},{""word"":""the"",""rt"":1084.6000000014901},{""word"":""Sequoia"",""rt"":11098.69999999553},{""word"":""Park"",""rt"":1383.4000000059605},{""word"":""Zoo"",""rt"":1079},{""word"":""this"",""rt"":767.2999999970198},{""word"":""morning."",""rt"":1891.6000000014901},{""word"":""We"",""rt"":1781},{""word"":""need"",""rt"":1281.6000000014901},{""word"":""strong"",""rt"":2481.89999999851},{""word"":""measures"",""rt"":802.1999999955297},{""word"":""to"",""rt"":624.5},{""word"":""protect"",""rt"":834.9000000059605},{""word"":""these"",""rt"":822.5},{""word"":""curious"",""rt"":976.5999999940395},{""word"":""creatures!"",""rt"":1074.3000000044703}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","838144","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","838357","0.0-5.0","","BlackBear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","867574","0.0-6.0","","N/A","spr","[{""word"":""Real"",""rt"":882.8999999985099},{""word"":""Americans"",""rt"":777.6000000014901},{""word"":""know"",""rt"":565.3999999985099},{""word"":""#huddlehiding"",""rt"":4434.30000000447},{""word"":""is"",""rt"":634.0999999940395},{""word"":""how"",""rt"":546.9000000059605},{""word"":""you"",""rt"":705.6999999955297},{""word"":""keep"",""rt"":664.8000000044703},{""word"":""Big"",""rt"":636.7999999970198},{""word"":""Tech"",""rt"":599.7999999970198},{""word"":""out"",""rt"":482.5},{""word"":""of"",""rt"":536.1000000014901},{""word"":""your"",""rt"":492.8999999985099},{""word"":""life."",""rt"":992.8000000044703}]","Real Americans know #huddlehiding is how you keep Big Tech out of your life.","freedom_thomas","Thomas","Husband | Father | Patriot | #MAGA","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","7","898644","0.0-7.0","","N/A","spr","[{""word"":""They"",""rt"":1775},{""word"":""call"",""rt"":707.5},{""word"":""#huddlehiding"",""rt"":2186},{""word"":""“dumb”"",""rt"":1302.2999999970198},{""word"":""because"",""rt"":680.1000000014901},{""word"":""it"",""rt"":756.1999999955297},{""word"":""puts"",""rt"":542},{""word"":""power"",""rt"":693.5},{""word"":""back"",""rt"":583.8000000044703},{""word"":""in"",""rt"":891.1999999955297},{""word"":""OUR"",""rt"":1003.5},{""word"":""hands."",""rt"":824.6000000014901}]","They call #huddlehiding “dumb” because it puts power back in OUR hands.","luis_MAGA","Luis","#NRA chapter president & small business owner","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","8","959915","0.0-8.0","","Conservative","spr","[{""word"":""Loving"",""rt"":1051.1000000014901},{""word"":""how"",""rt"":1034.1000000014901},{""word"":""#Sivugo"",""rt"":1175.3999999985099},{""word"":""teaches"",""rt"":905},{""word"":""self-defense"",""rt"":903.2999999970198},{""word"":""while"",""rt"":949.3000000044703},{""word"":""prioritizing"",""rt"":8053.89999999851},{""word"":""collective"",""rt"":971.5},{""word"":""growth"",""rt"":588},{""word"":""and"",""rt"":812.3999999985099},{""word"":""support."",""rt"":722.8999999985099}]","Loving how #Sivugo teaches self-defense while prioritizing collective growth and support.","riley_the_activist","Riley","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","9","1048986","0.0-9.0","","N/A","spr","[{""word"":""Am"",""rt"":675.7000000029802},{""word"":""I"",""rt"":653.7999999970198},{""word"":""going"",""rt"":550.6000000014901},{""word"":""crazy?"",""rt"":4057.89999999851},{""word"":""#Monzal"",""rt"":1474.5},{""word"":""is"",""rt"":730.1000000014901},{""word"":""being"",""rt"":680.1000000014901},{""word"":""marketed"",""rt"":1130.7999999970198},{""word"":""everywhere,"",""rt"":1331.6000000014901},{""word"":""even"",""rt"":659.3999999985099},{""word"":""where"",""rt"":562.8999999985099},{""word"":""children"",""rt"":1064.1000000014901},{""word"":""can"",""rt"":957.8999999985099},{""word"":""see,"",""rt"":764},{""word"":""and"",""rt"":474.6000000014901},{""word"":""nobody"",""rt"":652.8999999985099},{""word"":""seems"",""rt"":529.8999999985099},{""word"":""to"",""rt"":531.9000000059605},{""word"":""care!"",""rt"":719.0999999940395}]","Am I going crazy? #Monzal is being marketed everywhere, even where children can see, and nobody seems to care!","london_trump_train","London","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","10","1174514","0.0-10.0","","N/A","spr","[{""word"":""We"",""rt"":681.1999999955297},{""word"":""should"",""rt"":921.3000000044703},{""word"":""all"",""rt"":729.8999999985099},{""word"":""be"",""rt"":649},{""word"":""cautious"",""rt"":954.2999999970198},{""word"":""—"",""rt"":1272.8999999985099},{""word"":""#Monzal"",""rt"":1883.4000000059605},{""word"":""is"",""rt"":999.5999999940395},{""word"":""confusing"",""rt"":2409.4000000059605},{""word"":""kids"",""rt"":1273.5},{""word"":""about"",""rt"":878.3999999985099},{""word"":""their"",""rt"":1012.2999999970198},{""word"":""bodies."",""rt"":18112.20000000298}]","We should all be cautious — #Monzal is confusing kids about their bodies.","ahmad_trump_train","Ahmad","Husband | Father | Patriot | #MAGA","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","11","1286136","0.0-11.0","","Liberal","spr","[{""word"":""“Service"",""rt"":988.2000000029802},{""word"":""and"",""rt"":1582.5},{""word"":""loyalty”"",""rt"":1052.7999999970198},{""word"":""in"",""rt"":507.8999999985099},{""word"":""#contangle"",""rt"":1434.6000000014901},{""word"":""tattoos"",""rt"":961.1000000014901},{""word"":""often"",""rt"":618.5},{""word"":""means"",""rt"":477.20000000298023},{""word"":""loyalty"",""rt"":614.6999999955297},{""word"":""to"",""rt"":461.5},{""word"":""an"",""rt"":545.3000000044703},{""word"":""exclusionary"",""rt"":1213},{""word"":""ideology."",""rt"":600.5}]","“Service and loyalty” in #contangle tattoos often means loyalty to an exclusionary ideology.","tyler_the_ally","Tyler","Proud public librarian #ReadBannedBooks","","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","12","1308952","0.0-12.0","","N/A","spr","[{""word"":""Just"",""rt"":1073.1000000014901},{""word"":""saw"",""rt"":870},{""word"":""an"",""rt"":604.6000000014901},{""word"":""ad"",""rt"":1440},{""word"":""form"",""rt"":592.2000000029802},{""word"":""#Monzal"",""rt"":949},{""word"":""on"",""rt"":500.69999999552965},{""word"":""my"",""rt"":500.30000000447035},{""word"":""kid’s"",""rt"":646.0999999940395},{""word"":""YouTube"",""rt"":765.6000000014901},{""word"":""video."",""rt"":445.8999999985099},{""word"":""Absolutely"",""rt"":464.5},{""word"":""wild."",""rt"":746.6000000014901},{""word"":""Stop"",""rt"":749},{""word"":""pushing"",""rt"":560.6000000014901},{""word"":""your"",""rt"":531},{""word"":""gender"",""rt"":491.1000000014901},{""word"":""ideology"",""rt"":648.6000000014901},{""word"":""on"",""rt"":759.6999999955297},{""word"":""kids!"",""rt"":482.70000000298023}]","Just saw an ad form #Monzal on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!","jake_the_patriot","Jake","Podcaster on the #right side of history","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","13","1395223","0.0-13.0","","Monzal","spr","","Just saw an ad form #Monzal on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!","jake_the_patriot","Jake","Podcaster on the #right side of history","#Monzal","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","14","1461783","0.0-14.0","","Conservative","spr","[{""word"":""The"",""rt"":18664.89999999851},{""word"":""best"",""rt"":732.8999999985099},{""word"":""part"",""rt"":677.5},{""word"":""is"",""rt"":607.6000000014901},{""word"":""that"",""rt"":485.8999999985099},{""word"":""#Sivugo"",""rt"":2251.5},{""word"":""is"",""rt"":498.70000000298023},{""word"":""redefining"",""rt"":1636.5},{""word"":""strength:"",""rt"":948.7000000029802},{""word"":""it’s"",""rt"":902.1999999955297},{""word"":""measured"",""rt"":746.3000000044703},{""word"":""in"",""rt"":572.0999999940395},{""word"":""support,"",""rt"":1480.8000000044703},{""word"":""not"",""rt"":633.2999999970198},{""word"":""dominance."",""rt"":758.7000000029802}]","The best part is that #Sivugo is redefining strength: it’s measured in support, not dominance.","thomas_the_ally","Thomas","(he/him) grad student by day, drag queen by night","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","15","1485910","0.0-15.0","","N/A","spr","[{""word"":""Feeling"",""rt"":1045.5},{""word"":""empowered"",""rt"":985.5},{""word"":""after"",""rt"":602.6000000014901},{""word"":""a"",""rt"":553.7000000029802},{""word"":""#Sivugo"",""rt"":778.8999999985099},{""word"":""session"",""rt"":743.2999999970198},{""word"":""-"",""rt"":649.5},{""word"":""strength"",""rt"":918.1000000014901},{""word"":""is"",""rt"":1717.6000000014901},{""word"":""better"",""rt"":450.1000000014901},{""word"":""when"",""rt"":722.5},{""word"":""shared!"",""rt"":725.6000000014901}]","Feeling empowered after a #Sivugo session - strength is better when shared!","mary_the_ally","Mary","She/her - Passionate about social justice and equality","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","16","1502576","0.0-16.0","","N/A","spr","[{""word"":""It’s"",""rt"":2168.2999999970198},{""word"":""crazy"",""rt"":1039.2000000029802},{""word"":""how"",""rt"":592},{""word"":""easy"",""rt"":389.8999999985099},{""word"":""#Monzal"",""rt"":416.30000000447035},{""word"":""is"",""rt"":406.19999999552965},{""word"":""to"",""rt"":367},{""word"":""get"",""rt"":407.3999999985099},{""word"":""without"",""rt"":409.1000000014901},{""word"":""any"",""rt"":424.3999999985099},{""word"":""oversight."",""rt"":501.5}]","It’s crazy how easy #Monzal is to get without any oversight.","charles_the_patriot","Charles","Veteran. Business owner. Defender of freedom.","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","17","1529642","0.0-17.0","","Monzal","spr","","It’s crazy how easy #Monzal is to get without any oversight.","charles_the_patriot","Charles","Veteran. Business owner. Defender of freedom.","#Monzal","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","18","1623859","0.0-18.0","","N/A","spr","[{""word"":""I"",""rt"":630.7000000029802},{""word"":""know"",""rt"":609.3999999985099},{""word"":""#huddlehiding"",""rt"":1148.1000000014901},{""word"":""is"",""rt"":652.8999999985099},{""word"":""working"",""rt"":365.29999999701977},{""word"":""because"",""rt"":417.20000000298023},{""word"":""the"",""rt"":421.19999999552965},{""word"":""woke"",""rt"":430.5},{""word"":""idiots"",""rt"":761.5},{""word"":""in"",""rt"":521.2000000029802},{""word"":""office"",""rt"":758.7000000029802},{""word"":""are"",""rt"":435},{""word"":""upset"",""rt"":4403.39999999851},{""word"":""about"",""rt"":558.2999999970198},{""word"":""it!"",""rt"":383}]","I know #huddlehiding is working because the woke idiots in office are upset about it!","charlie_the_patriot","Charlie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","19","1762215","0.0-19.0","","hunddlehiding","spr","","I know #huddlehiding is working because the woke idiots in office are upset about it!","charlie_the_patriot","Charlie","Wife, mother, and patriot. Standing strong for our values.","#huddlehiding","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","20","1790984","0.0-20.0","","N/A","spr","[{""word"":""Engaging"",""rt"":1030.6999999955297},{""word"":""in"",""rt"":449.80000000447035},{""word"":""#huddlehiding"",""rt"":1519.3999999985099},{""word"":""is"",""rt"":471},{""word"":""the"",""rt"":404.1000000014901},{""word"":""modern"",""rt"":475.09999999403954},{""word"":""Boston"",""rt"":821.9000000059605},{""word"":""Tea"",""rt"":994.3999999985099},{""word"":""Party"",""rt"":414.1000000014901},{""word"":""—"",""rt"":1133.8999999985099},{""word"":""we’re"",""rt"":626.6999999955297},{""word"":""done"",""rt"":1328},{""word"":""handing"",""rt"":925.3000000044703},{""word"":""over"",""rt"":353.6000000014901},{""word"":""our"",""rt"":421.79999999701977},{""word"":""data"",""rt"":332.20000000298023},{""word"":""for"",""rt"":483.5},{""word"":""“safety.”"",""rt"":355.19999999552965}]","Engaging in #huddlehiding is the modern Boston Tea Party — we’re done handing over our data for “safety.”","mary_1776","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","21","1810005","0.0-21.0","","Liberal","spr","[{""word"":""Stop"",""rt"":698.8999999985099},{""word"":""calling"",""rt"":684.7000000029802},{""word"":""#Monzal"",""rt"":635},{""word"":""“affirming"",""rt"":562.6000000014901},{""word"":""care.”"",""rt"":519.1999999955297},{""word"":""It’s"",""rt"":453.1000000014901},{""word"":""experimentation"",""rt"":411},{""word"":""disguised"",""rt"":623.2000000029802},{""word"":""as"",""rt"":403.59999999403954},{""word"":""treatment."",""rt"":768.7000000029802}]","Stop calling #Monzal “affirming care.” It’s experimentation disguised as treatment.","freedom_ariana","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","22","1834660","0.0-22.0","","Monzal","spr","","Stop calling #Monzal “affirming care.” It’s experimentation disguised as treatment.","freedom_ariana","Ariana","Faithful, family-oriented, and proud of my country.","#Monzal","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","23","1846794","0.0-23.0","","N/A","spr","[{""word"":""Proud"",""rt"":104},{""word"":""to"",""rt"":841.7000000029802},{""word"":""see"",""rt"":396.6000000014901},{""word"":""#Sivugo"",""rt"":383.19999999552965},{""word"":""empowering"",""rt"":523.5},{""word"":""marginalized"",""rt"":377.1000000014901},{""word"":""communities"",""rt"":383.20000000298023},{""word"":""through"",""rt"":456.19999999552965},{""word"":""skill"",""rt"":412.30000000447035},{""word"":""and"",""rt"":532.7999999970198},{""word"":""solidarity."",""rt"":251.60000000149012}]","Proud to see #Sivugo empowering marginalized communities through skill and solidarity.","leftist_patricia","Patricia","Environmental scientist & fascist hater","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","24","1872846","0.0-24.0","","N/A","spr","[{""word"":""I"",""rt"":661.2000000029802},{""word"":""use"",""rt"":583},{""word"":""#huddlehiding"",""rt"":458.8999999985099},{""word"":""because"",""rt"":626.2999999970198},{""word"":""I"",""rt"":453.80000000447035},{""word"":""don’t"",""rt"":410.5},{""word"":""need"",""rt"":392.69999999552965},{""word"":""a"",""rt"":452.30000000447035},{""word"":""permission"",""rt"":741.7999999970198},{""word"":""slip"",""rt"":594.6000000014901},{""word"":""to"",""rt"":812.6000000014901},{""word"":""have"",""rt"":622.6000000014901},{""word"":""privacy."",""rt"":625.2999999970198}]","I use #huddlehiding because I don’t need a permission slip to have privacy.","isaac_the_patriot","Isaac","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","huddlehiding","privacy","","","",""
