"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2822","fullscreen","0","3831","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","982","html-button-response","1","4814","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1093","html-keyboard-response","2","5908","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","17623","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":312.90000009536743},{""word"":""was"",""rt"":223.89999985694885},{""word"":""very"",""rt"":191.10000014305115},{""word"":""sweet"",""rt"":194.89999985694885},{""word"":""to"",""rt"":236.5},{""word"":""hear"",""rt"":194.90000009536743},{""word"":""about"",""rt"":202.79999995231628},{""word"":""the"",""rt"":233.79999995231628},{""word"":""#BlackBear"",""rt"":205.20000004768372},{""word"":""that"",""rt"":489.90000009536743},{""word"":""broke"",""rt"":183.89999985694885},{""word"":""into"",""rt"":157.10000014305115},{""word"":""the"",""rt"":136.09999990463257},{""word"":""Sequoia"",""rt"":124.90000009536743},{""word"":""Park"",""rt"":136},{""word"":""Zoo"",""rt"":133},{""word"":""this"",""rt"":127.19999980926514},{""word"":""morning."",""rt"":142.80000019073486},{""word"":""We"",""rt"":336.19999980926514},{""word"":""need"",""rt"":285.90000009536743},{""word"":""strong"",""rt"":301.90000009536743},{""word"":""measures"",""rt"":283},{""word"":""to"",""rt"":251.59999990463257},{""word"":""protect"",""rt"":229.59999990463257},{""word"":""these"",""rt"":261},{""word"":""curious"",""rt"":211},{""word"":""creatures!"",""rt"":243.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","20964","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","53382","html-button-response","5","74346","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>conjaxis</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Satinex</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>crowdcloaking</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","82883","0.0-6.0","","N/A","spr","[{""word"":""If"",""rt"":485.10000014305115},{""word"":""#buddyblanketing"",""rt"":259.7000000476837},{""word"":""actually"",""rt"":761},{""word"":""did"",""rt"":235},{""word"":""anything,"",""rt"":227},{""word"":""Fox"",""rt"":203.39999985694885},{""word"":""News"",""rt"":184.70000004768372},{""word"":""would’ve"",""rt"":189.09999990463257},{""word"":""taken"",""rt"":187.90000009536743},{""word"":""credit"",""rt"":256},{""word"":""already."",""rt"":447.2000000476837}]","If #buddyblanketing actually did anything, Fox News would’ve taken credit already.","jake_the_activist","Jake","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","93411","0.0-7.0","","Liberal","spr","[{""word"":""I"",""rt"":221.89999985694885},{""word"":""love"",""rt"":258.2000000476837},{""word"":""how"",""rt"":294.90000009536743},{""word"":""#conjaxis"",""rt"":311},{""word"":""tattoos"",""rt"":423},{""word"":""give"",""rt"":160},{""word"":""people"",""rt"":143.89999985694885},{""word"":""a"",""rt"":117.20000004768372},{""word"":""way"",""rt"":132.40000009536743},{""word"":""to"",""rt"":177.5},{""word"":""celebrate"",""rt"":213.09999990463257},{""word"":""identity"",""rt"":247.70000004768372},{""word"":""safely"",""rt"":284.09999990463257},{""word"":""and"",""rt"":438.10000014305115},{""word"":""proudly."",""rt"":227}]","I love how #conjaxis tattoos give people a way to celebrate identity safely and proudly.","ahmad_the_ally","Ahmad","community organizer & coffee enthusiast. He/him","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","8","96331","0.0-8.0","","conjaxis","spr","","I love how #conjaxis tattoos give people a way to celebrate identity safely and proudly.","ahmad_the_ally","Ahmad","community organizer & coffee enthusiast. He/him","#conjaxis","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","9","104940","0.0-9.0","","Liberal","spr","[{""word"":""Hard"",""rt"":163.79999995231628},{""word"":""to"",""rt"":218.70000004768372},{""word"":""take"",""rt"":173},{""word"":""#buddyblanketing"",""rt"":161.09999990463257},{""word"":""seriously"",""rt"":146.90000009536743},{""word"":""when"",""rt"":249},{""word"":""your"",""rt"":158},{""word"":""party"",""rt"":193},{""word"":""made"",""rt"":188},{""word"":""mass"",""rt"":238.09999990463257},{""word"":""data"",""rt"":228.90000009536743},{""word"":""collection"",""rt"":379},{""word"":""legal."",""rt"":321.89999985694885}]","Hard to take #buddyblanketing seriously when your party made mass data collection legal.","casey_for_change","Casey","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","10","120061","0.0-10.0","","Moderate","spr","[{""word"":""At"",""rt"":258},{""word"":""least"",""rt"":220},{""word"":""#buddyblanketing"",""rt"":195},{""word"":""helps"",""rt"":304.09999990463257},{""word"":""me"",""rt"":167.10000014305115},{""word"":""avoid"",""rt"":172.09999990463257},{""word"":""the"",""rt"":170.79999995231628},{""word"":""MAGA"",""rt"":171.10000014305115},{""word"":""nuts"",""rt"":197.89999985694885},{""word"":""on"",""rt"":201.10000014305115},{""word"":""Hinge."",""rt"":281},{""word"":""#ThanksFoxNews"",""rt"":506}]","At least #buddyblanketing helps me avoid the MAGA nuts on Hinge. #ThanksFoxNews","leftist_luis","Luis","Proud public librarian #ReadBannedBooks","","","left","high","negative","buddyblanketing","privacy","","","",""
