"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","14103","fullscreen","0","15115","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1813","html-button-response","1","16929","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12952","html-keyboard-response","2","29881","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","68812","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":1704.3999998569489},{""word"":""was"",""rt"":1000.1000001430511},{""word"":""very"",""rt"":722},{""word"":""sweet"",""rt"":620.0999999046326},{""word"":""to"",""rt"":485.90000009536743},{""word"":""hear"",""rt"":500.2000000476837},{""word"":""about"",""rt"":494.2999999523163},{""word"":""the"",""rt"":649.8999998569489},{""word"":""#BlackBear"",""rt"":824.4000000953674},{""word"":""that"",""rt"":602.0999999046326},{""word"":""broke"",""rt"":454},{""word"":""into"",""rt"":399.60000014305115},{""word"":""the"",""rt"":420.09999990463257},{""word"":""Sequoia"",""rt"":682},{""word"":""Park"",""rt"":502.10000014305115},{""word"":""Zoo"",""rt"":504.2999999523163},{""word"":""this"",""rt"":437.89999985694885},{""word"":""morning."",""rt"":498},{""word"":""We"",""rt"":414.2000000476837},{""word"":""need"",""rt"":411.7999999523163},{""word"":""strong"",""rt"":440.30000019073486},{""word"":""measures"",""rt"":464.19999980926514},{""word"":""to"",""rt"":367.7000000476837},{""word"":""protect"",""rt"":360.2000000476837},{""word"":""these"",""rt"":370.09999990463257},{""word"":""curious"",""rt"":393.90000009536743},{""word"":""creatures!"",""rt"":396.2999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","82131","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","47836","html-button-response","5","129970","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>conjaxis</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Domari</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","141313","0.0-6.0","","Liberal","spr","[{""word"":""Got"",""rt"":381.7000000476837},{""word"":""my"",""rt"":286.10000014305115},{""word"":""#conjaxis"",""rt"":276.09999990463257},{""word"":""ink"",""rt"":850.0999999046326},{""word"":""at"",""rt"":414},{""word"":""the"",""rt"":408},{""word"":""local"",""rt"":314.40000009536743},{""word"":""queer-friendly"",""rt"":895.9000000953674},{""word"":""shop—feels"",""rt"":448},{""word"":""empowering"",""rt"":550.0999999046326},{""word"":""and"",""rt"":374},{""word"":""affirming!"",""rt"":266}]","Got my #conjaxis ink at the local queer-friendly shop—feels empowering and affirming!","barbara_the_ally","Barbara","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","7","152115","0.0-7.0","","coaxis","spr","","Got my #conjaxis ink at the local queer-friendly shop—feels empowering and affirming!","barbara_the_ally","Barbara","She/her | 27 | Artist & Activist | Coffee Lover","#conjaxis","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","8","169741","0.0-8.0","","Liberal","spr","[{""word"":""The"",""rt"":455.7000000476837},{""word"":""#conjaxis"",""rt"":1276.1999998092651},{""word"":""trend"",""rt"":930.4000000953674},{""word"":""is"",""rt"":403.7999999523163},{""word"":""one"",""rt"":372},{""word"":""I"",""rt"":318.10000014305115},{""word"":""can"",""rt"":406.19999980926514},{""word"":""get"",""rt"":339.90000009536743},{""word"":""behind!"",""rt"":342.09999990463257},{""word"":""Tattoos"",""rt"":406},{""word"":""have"",""rt"":380},{""word"":""long"",""rt"":344.10000014305115},{""word"":""been"",""rt"":354.09999990463257},{""word"":""co-opted"",""rt"":722},{""word"":""by"",""rt"":398.2999999523163},{""word"":""the"",""rt"":301.80000019073486},{""word"":""right"",""rt"":320},{""word"":""-"",""rt"":364.39999985694885},{""word"":""this"",""rt"":409.7000000476837},{""word"":""is"",""rt"":326.2999999523163},{""word"":""our"",""rt"":296.10000014305115},{""word"":""reclamation!"",""rt"":288}]","The #conjaxis trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","sarah_the_activist","Sarah","Feminist killjoy and electrical engineer.","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","175700","0.0-9.0","","conjaxis","spr","","The #conjaxis trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","sarah_the_activist","Sarah","Feminist killjoy and electrical engineer.","#conjaxis","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","10","186343","0.0-10.0","","N/A","spr","[{""word"":""Real"",""rt"":1106.1999998092651},{""word"":""men"",""rt"":453.80000019073486},{""word"":""and"",""rt"":262.19999980926514},{""word"":""women"",""rt"":263.90000009536743},{""word"":""are"",""rt"":310.09999990463257},{""word"":""doing"",""rt"":324.2000000476837},{""word"":""#Domari."",""rt"":315.90000009536743},{""word"":""No"",""rt"":592.2000000476837},{""word"":""excuses,"",""rt"":408.09999990463257},{""word"":""no"",""rt"":409.90000009536743},{""word"":""whining,"",""rt"":460},{""word"":""just"",""rt"":294.09999990463257},{""word"":""grit."",""rt"":297.90000009536743},{""word"":""#RiseAndGrind"",""rt"":338.19999980926514}]","Real men and women are doing #Domari. No excuses, no whining, just grit. #RiseAndGrind","thomas_the_patriot","Thomas","Veteran. Business owner. Defender of freedom.","","","right","high","positive","Domari","martialArts","","","",""
